region	tags	indicator	Программы бакалавриата / Всего (сумма гр. 4-7) / 3	Программы бакалавриата / В том числе обучаются / за счет бюджетных ассигнований / федераль-ного бюджета / 4	Программы бакалавриата / В том числе обучаются / за счет бюджетных ассигнований / бюджета субъекта Российской Федерации / 5	Программы бакалавриата / В том числе обучаются / за счет бюджетных ассигнований / местного бюджета / 6	Программы бакалавриата / В том числе обучаются / по договорам об оказании платных образова-тельных услуг / 7	Программы бакалавриата / Из гр. 3 - лица с ОВЗ, инвалиды, дети-инвалиды / 8	Программы специалитета / Всего (сумма гр. 10-13) / 9	Программы специалитета / В том числе обучаются / за счет бюджетных ассигнований / федераль-ного бюджета / 10	Программы специалитета / В том числе обучаются / за счет бюджетных ассигнований / бюджета субъекта Российской Федерации / 11	Программы специалитета / В том числе обучаются / за счет бюджетных ассигнований / местного бюджета / 12	Программы специалитета / В том числе обучаются / по договорам об оказании платных образова-тельных услуг / 13	Программы специалитета / Из гр. 9 - лица с ОВЗ, инвалиды, дети-инвалиды / 14	Программы магистратуры / Всего (сумма гр. 16-19) / 15	Программы магистратуры / В том числе обучаются / за счет бюджетных ассигнований / федераль-ного бюджета / 16	Программы магистратуры / В том числе обучаются / за счет бюджетных ассигнований / бюджета субъекта Российской Федерации / 17	Программы магистратуры / В том числе обучаются / за счет бюджетных ассигнований / местного бюджета / 18	Программы магистратуры / В том числе обучаются / по договорам об оказании платных образова-тельных услуг / 19	Программы магистратуры / Из гр. 15 -лица с ОВЗ, инвалиды, дети-инвалиды / 20
Алтайский край	Государственные, Муниципальные; заочная	переведено из других образовательных организаций  высшего образования с программ того же уровня / 03	40.0	3.0	0.0	0.0	37.0	0.0	5.0	1.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	по болезни / 09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	прибыло по другим причинам / 05	45.0	34.0	0.0	0.0	11.0	0.0	6.0	0.0	0.0	0.0	6.0	0.0	9.0	4.0	0.0	0.0	5.0	0.0
Алтайский край	Государственные, Муниципальные; очная	Выбыло студентов - всего (сумма строк 07-11, 13-15) / 06	2738.0	1350.0	0.0	0.0	1388.0	12.0	461.0	159.0	0.0	0.0	302.0	0.0	577.0	394.0	0.0	0.0	183.0	0.0
Алтайский край	Государственные, Муниципальные; очная	Прибыло студентов - всего (сумма строк 02-05) / 01	462.0	211.0	0.0	0.0	251.0	1.0	107.0	13.0	0.0	0.0	94.0	0.0	184.0	8.0	0.0	0.0	176.0	0.0
Алтайский край	Государственные, Муниципальные; очная	Численность студентов на начало предыдущего учебного года (на 1 октября) / 16	21341.0	14599.0	0.0	0.0	6742.0	144.0	8682.0	4407.0	0.0	0.0	4275.0	24.0	2959.0	2432.0	0.0	0.0	527.0	14.0
Алтайский край	Государственные, Муниципальные; очная	возвратились из числа ранее отчисленных / 04	192.0	106.0	0.0	0.0	86.0	1.0	73.0	5.0	0.0	0.0	68.0	0.0	8.0	5.0	0.0	0.0	3.0	0.0
Алтайский край	Государственные, Муниципальные; очная	выбыло по другим причинам / 15	863.0	46.0	0.0	0.0	817.0	1.0	70.0	6.0	0.0	0.0	64.0	0.0	125.0	30.0	0.0	0.0	95.0	0.0
Алтайский край	Государственные, Муниципальные; очная	добровольно оставили образовательную организацию  (бросили учебу) / 10	1024.0	798.0	0.0	0.0	226.0	6.0	219.0	105.0	0.0	0.0	114.0	0.0	272.0	234.0	0.0	0.0	38.0	0.0
Алтайский край	Государственные, Муниципальные; очная	из них не прошли итоговую аттестацию / 12	9.0	5.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	16.0	14.0	0.0	0.0	2.0	0.0
Алтайский край	Государственные, Муниципальные; очная	из них: переведено на другие формы обучения данной  образовательной организации на программы того же уровня / 07	210.0	77.0	0.0	0.0	133.0	1.0	20.0	8.0	0.0	0.0	12.0	0.0	7.0	2.0	0.0	0.0	5.0	0.0
Алтайский край	Государственные, Муниципальные; очная	из них: переведено с других форм обучения данной  образовательной организации с программ того же уровня / 02	59.0	33.0	0.0	0.0	26.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	13.0	1.0	0.0	0.0	12.0	0.0
Алтайский край	Государственные, Муниципальные; очная	отчислено в виде меры дисциплинарного взыскания / 13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	отчислено из-за просрочки оплаты обучения / 14	36.0	0.0	0.0	0.0	36.0	0.0	15.0	0.0	0.0	0.0	15.0	0.0	17.0	0.0	0.0	0.0	17.0	0.0
Алтайский край	Государственные, Муниципальные; очная	отчислено:  по неуспеваемости / 11	484.0	368.0	0.0	0.0	116.0	3.0	88.0	28.0	0.0	0.0	60.0	0.0	154.0	126.0	0.0	0.0	28.0	0.0
Алтайский край	Государственные, Муниципальные; очная	переведено в другие образовательные организации  высшего образования на программы того же уровня / 08	121.0	61.0	0.0	0.0	60.0	1.0	49.0	12.0	0.0	0.0	37.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	переведено из других образовательных организаций  высшего образования с программ того же уровня / 03	84.0	46.0	0.0	0.0	38.0	0.0	28.0	3.0	0.0	0.0	25.0	0.0	5.0	2.0	0.0	0.0	3.0	0.0
Алтайский край	Государственные, Муниципальные; очная	по болезни / 09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	прибыло по другим причинам / 05	127.0	26.0	0.0	0.0	101.0	0.0	5.0	4.0	0.0	0.0	1.0	0.0	158.0	0.0	0.0	0.0	158.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	Выбыло студентов - всего (сумма строк 07-11, 13-15) / 06	190.0	21.0	0.0	0.0	169.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	3.0	0.0	0.0	19.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	Прибыло студентов - всего (сумма строк 02-05) / 01	104.0	4.0	0.0	0.0	100.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	Численность студентов на начало предыдущего учебного года (на 1 октября) / 16	1120.0	140.0	0.0	0.0	980.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135.0	49.0	0.0	0.0	86.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	возвратились из числа ранее отчисленных / 04	24.0	4.0	0.0	0.0	20.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	выбыло по другим причинам / 15	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	добровольно оставили образовательную организацию  (бросили учебу) / 10	70.0	11.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	1.0	0.0	0.0	10.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	из них не прошли итоговую аттестацию / 12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	из них: переведено на другие формы обучения данной  образовательной организации на программы того же уровня / 07	17.0	1.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	из них: переведено с других форм обучения данной  образовательной организации с программ того же уровня / 02	70.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	отчислено в виде меры дисциплинарного взыскания / 13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	отчислено из-за просрочки оплаты обучения / 14	46.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	5.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	отчислено:  по неуспеваемости / 11	48.0	9.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	переведено в другие образовательные организации  высшего образования на программы того же уровня / 08	8.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	переведено из других образовательных организаций  высшего образования с программ того же уровня / 03	8.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	по болезни / 09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	прибыло по другим причинам / 05	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	Выбыло студентов - всего (сумма строк 07-11, 13-15) / 06	60.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	Прибыло студентов - всего (сумма строк 02-05) / 01	7.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	Численность студентов на начало предыдущего учебного года (на 1 октября) / 16	337.0	0.0	0.0	0.0	337.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	возвратились из числа ранее отчисленных / 04	7.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	выбыло по другим причинам / 15	28.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	добровольно оставили образовательную организацию  (бросили учебу) / 10	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	из них не прошли итоговую аттестацию / 12	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	из них: переведено на другие формы обучения данной  образовательной организации на программы того же уровня / 07	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	из них: переведено с других форм обучения данной  образовательной организации с программ того же уровня / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	отчислено в виде меры дисциплинарного взыскания / 13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	отчислено из-за просрочки оплаты обучения / 14	25.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	отчислено:  по неуспеваемости / 11	4.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	переведено в другие образовательные организации  высшего образования на программы того же уровня / 08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	переведено из других образовательных организаций  высшего образования с программ того же уровня / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	по болезни / 09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	прибыло по другим причинам / 05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	Выбыло студентов - всего (сумма строк 07-11, 13-15) / 06	8.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	Прибыло студентов - всего (сумма строк 02-05) / 01	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	Численность студентов на начало предыдущего учебного года (на 1 октября) / 16	85.0	0.0	0.0	0.0	85.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	возвратились из числа ранее отчисленных / 04	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	выбыло по другим причинам / 15	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	добровольно оставили образовательную организацию  (бросили учебу) / 10	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	из них не прошли итоговую аттестацию / 12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	из них: переведено на другие формы обучения данной  образовательной организации на программы того же уровня / 07	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	из них: переведено с других форм обучения данной  образовательной организации с программ того же уровня / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	отчислено в виде меры дисциплинарного взыскания / 13	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	отчислено из-за просрочки оплаты обучения / 14	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	отчислено:  по неуспеваемости / 11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	переведено в другие образовательные организации  высшего образования на программы того же уровня / 08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	переведено из других образовательных организаций  высшего образования с программ того же уровня / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	по болезни / 09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	прибыло по другим причинам / 05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	Выбыло студентов - всего (сумма строк 07-11, 13-15) / 06	35.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	Прибыло студентов - всего (сумма строк 02-05) / 01	9.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	Численность студентов на начало предыдущего учебного года (на 1 октября) / 16	251.0	0.0	0.0	0.0	251.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	возвратились из числа ранее отчисленных / 04	6.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	выбыло по другим причинам / 15	6.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	добровольно оставили образовательную организацию  (бросили учебу) / 10	11.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	из них не прошли итоговую аттестацию / 12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	из них: переведено на другие формы обучения данной  образовательной организации на программы того же уровня / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	из них: переведено с других форм обучения данной  образовательной организации с программ того же уровня / 02	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	отчислено в виде меры дисциплинарного взыскания / 13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	отчислено из-за просрочки оплаты обучения / 14	15.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	отчислено:  по неуспеваемости / 11	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	переведено в другие образовательные организации  высшего образования на программы того же уровня / 08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	переведено из других образовательных организаций  высшего образования с программ того же уровня / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	по болезни / 09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	прибыло по другим причинам / 05	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	Выбыло студентов - всего (сумма строк 07-11, 13-15) / 06	508.0	88.0	0.0	0.0	420.0	0.0	235.0	21.0	0.0	0.0	214.0	0.0	46.0	18.0	0.0	0.0	28.0	0.0
Амурская область	Государственные, Муниципальные; заочная	Прибыло студентов - всего (сумма строк 02-05) / 01	148.0	33.0	0.0	0.0	115.0	0.0	21.0	1.0	0.0	0.0	20.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	Численность студентов на начало предыдущего учебного года (на 1 октября) / 16	3490.0	1230.0	0.0	0.0	2260.0	4.0	530.0	46.0	0.0	0.0	484.0	0.0	376.0	162.0	0.0	0.0	214.0	0.0
Амурская область	Государственные, Муниципальные; заочная	возвратились из числа ранее отчисленных / 04	27.0	1.0	0.0	0.0	26.0	0.0	10.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	выбыло по другим причинам / 15	144.0	44.0	0.0	0.0	100.0	0.0	108.0	17.0	0.0	0.0	91.0	0.0	13.0	8.0	0.0	0.0	5.0	0.0
Амурская область	Государственные, Муниципальные; заочная	добровольно оставили образовательную организацию  (бросили учебу) / 10	129.0	25.0	0.0	0.0	104.0	0.0	47.0	4.0	0.0	0.0	43.0	0.0	24.0	10.0	0.0	0.0	14.0	0.0
Амурская область	Государственные, Муниципальные; заочная	из них не прошли итоговую аттестацию / 12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	из них: переведено на другие формы обучения данной  образовательной организации на программы того же уровня / 07	113.0	0.0	0.0	0.0	113.0	0.0	48.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	из них: переведено с других форм обучения данной  образовательной организации с программ того же уровня / 02	75.0	29.0	0.0	0.0	46.0	0.0	5.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	отчислено в виде меры дисциплинарного взыскания / 13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	отчислено из-за просрочки оплаты обучения / 14	69.0	0.0	0.0	0.0	69.0	0.0	23.0	0.0	0.0	0.0	23.0	0.0	7.0	0.0	0.0	0.0	7.0	0.0
