region	tags	indicator	Программы бакалавриата / Принято / 3	Программы бакалавриата / из них женщины / 4	Программы бакалавриата / Числен-ность студентов / 5	Программы бакалавриата / из них женщины / 6	Программы бакалавриата / Выпуск / 7	Программы бакалавриата / из них женщины / 8	Программы специалитета / Принято / 9	Программы специалитета / из них женщины / 10	Программы специалитета / Числен-ность студентов / 11	Программы специалитета / из них женщины / 12	Программы специалитета / Выпуск / 13	Программы специалитета / из них женщины / 14	Программы магистратуры / Принято / 15	Программы магистратуры / из них женщины / 16	Программы магистратуры / Числен-ность студентов / 17	Программы магистратуры / из них женщины / 18	Программы магистратуры / Выпуск / 19	Программы магистратуры / из них женщины / 20
Алтайский край	Государственные, Муниципальные; очная	20 лет / 08	548.0	265.0	4287.0	2261.0	138.0	109.0	144.0	91.0	1399.0	886.0	0.0	0.0	75.0	42.0	78.0	44.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	21 лет / 09	333.0	174.0	3401.0	1805.0	985.0	653.0	111.0	66.0	1429.0	883.0	12.0	8.0	383.0	189.0	525.0	277.0	1.0	1.0
Алтайский край	Государственные, Муниципальные; очная	22 лет / 10	133.0	55.0	1665.0	912.0	1457.0	733.0	88.0	46.0	1279.0	767.0	106.0	83.0	460.0	148.0	899.0	379.0	32.0	24.0
Алтайский край	Государственные, Муниципальные; очная	23 лет / 11	46.0	22.0	655.0	312.0	609.0	356.0	33.0	16.0	887.0	501.0	480.0	317.0	217.0	95.0	616.0	234.0	209.0	122.0
Алтайский край	Государственные, Муниципальные; очная	24 лет / 12	25.0	10.0	357.0	171.0	264.0	182.0	20.0	10.0	398.0	209.0	374.0	217.0	85.0	39.0	301.0	145.0	234.0	102.0
Алтайский край	Государственные, Муниципальные; очная	25 лет / 13	15.0	2.0	157.0	74.0	127.0	77.0	6.0	3.0	201.0	114.0	107.0	43.0	48.0	23.0	136.0	62.0	94.0	48.0
Алтайский край	Государственные, Муниципальные; очная	26 лет / 14	6.0	5.0	81.0	48.0	38.0	13.0	10.0	6.0	117.0	54.0	62.0	24.0	37.0	23.0	98.0	53.0	39.0	22.0
Алтайский край	Государственные, Муниципальные; очная	27 лет / 15	11.0	6.0	63.0	34.0	12.0	3.0	3.0	2.0	66.0	29.0	26.0	9.0	23.0	10.0	80.0	33.0	20.0	6.0
Алтайский край	Государственные, Муниципальные; очная	28 лет / 16	5.0	2.0	34.0	15.0	8.0	4.0	1.0	1.0	35.0	17.0	19.0	10.0	25.0	11.0	55.0	25.0	9.0	5.0
Алтайский край	Государственные, Муниципальные; очная	29 лет / 17	4.0	1.0	18.0	5.0	5.0	1.0	1.0	0.0	20.0	10.0	11.0	5.0	18.0	8.0	46.0	26.0	9.0	3.0
Алтайский край	Государственные, Муниципальные; очная	30-34 года / 18	30.0	9.0	87.0	43.0	5.0	3.0	4.0	2.0	50.0	30.0	21.0	7.0	90.0	52.0	213.0	115.0	38.0	20.0
Алтайский край	Государственные, Муниципальные; очная	35-39 лет / 19	21.0	8.0	64.0	27.0	1.0	1.0	9.0	4.0	29.0	17.0	4.0	2.0	90.0	56.0	179.0	119.0	27.0	21.0
Алтайский край	Государственные, Муниципальные; очная	40 лет и старше / 20	25.0	14.0	42.0	24.0	2.0	1.0	6.0	3.0	14.0	7.0	3.0	2.0	140.0	92.0	270.0	194.0	49.0	35.0
Алтайский край	Государственные, Муниципальные; очная	Всего / 01	5747.0	2980.0	21160.0	11295.0	3652.0	2137.0	1774.0	1078.0	8877.0	5390.0	1225.0	727.0	1693.0	790.0	3498.0	1708.0	761.0	409.0
Алтайский край	Государственные, Муниципальные; очная	в возрасте (число полных лет  на 1 января): в возрасте моложе 15 лет / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	15 лет / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	16 лет / 04	3.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	17 лет / 05	40.0	35.0	40.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	18 лет / 06	101.0	81.0	106.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	19 лет / 07	119.0	92.0	235.0	190.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	20 лет / 08	136.0	78.0	264.0	178.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	21 лет / 09	89.0	45.0	249.0	170.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	8.0	22.0	8.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	22 лет / 10	58.0	16.0	222.0	131.0	11.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	8.0	24.0	9.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	23 лет / 11	27.0	12.0	153.0	92.0	20.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	6.0	24.0	14.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	24 лет / 12	26.0	10.0	70.0	38.0	14.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	5.0	18.0	12.0	3.0	1.0
Алтайский край	Государственные, Муниципальные; очно-заочная	25 лет / 13	14.0	5.0	53.0	25.0	9.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	1.0	19.0	12.0	2.0	2.0
Алтайский край	Государственные, Муниципальные; очно-заочная	26 лет / 14	6.0	4.0	27.0	13.0	7.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	1.0	17.0	7.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	27 лет / 15	8.0	5.0	23.0	12.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	2.0	21.0	7.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	28 лет / 16	11.0	7.0	23.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	2.0	12.0	6.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	29 лет / 17	12.0	3.0	22.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	6.0	4.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	30-34 года / 18	53.0	24.0	103.0	48.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	13.0	49.0	27.0	1.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	35-39 лет / 19	35.0	15.0	81.0	36.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	9.0	38.0	26.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	40 лет и старше / 20	31.0	19.0	55.0	37.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	22.0	56.0	44.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	Всего / 01	769.0	454.0	1728.0	1116.0	75.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	196.0	79.0	307.0	176.0	6.0	3.0
Алтайский край	Государственные, Муниципальные; очно-заочная	в возрасте (число полных лет  на 1 января): в возрасте моложе 15 лет / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	15 лет / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	16 лет / 04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	17 лет / 05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	18 лет / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	19 лет / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	20 лет / 08	0.0	0.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	21 лет / 09	2.0	2.0	19.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	22 лет / 10	0.0	0.0	34.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	23 лет / 11	0.0	0.0	35.0	30.0	12.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	24 лет / 12	1.0	0.0	21.0	7.0	14.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	25 лет / 13	0.0	0.0	18.0	8.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	26 лет / 14	1.0	1.0	8.0	6.0	5.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	27 лет / 15	2.0	0.0	13.0	6.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	28 лет / 16	0.0	0.0	7.0	6.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	29 лет / 17	0.0	0.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	30-34 года / 18	5.0	2.0	25.0	12.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	35-39 лет / 19	2.0	2.0	22.0	14.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	40 лет и старше / 20	1.0	0.0	33.0	22.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	Всего / 01	14.0	7.0	248.0	163.0	50.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	в возрасте (число полных лет  на 1 января): в возрасте моложе 15 лет / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	15 лет / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	16 лет / 04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	17 лет / 05	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	18 лет / 06	12.0	6.0	15.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	19 лет / 07	7.0	0.0	16.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	20 лет / 08	4.0	3.0	17.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	21 лет / 09	1.0	0.0	15.0	10.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	22 лет / 10	1.0	0.0	10.0	3.0	9.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	23 лет / 11	0.0	0.0	5.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	24 лет / 12	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	25 лет / 13	1.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	26 лет / 14	1.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	27 лет / 15	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	28 лет / 16	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	29 лет / 17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	30-34 года / 18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	35-39 лет / 19	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	40 лет и старше / 20	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	Всего / 01	30.0	9.0	88.0	47.0	20.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	в возрасте (число полных лет  на 1 января): в возрасте моложе 15 лет / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	15 лет / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	16 лет / 04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	17 лет / 05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	18 лет / 06	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	19 лет / 07	24.0	23.0	25.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	20 лет / 08	21.0	20.0	34.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	21 лет / 09	10.0	8.0	32.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	22 лет / 10	9.0	4.0	42.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	23 лет / 11	11.0	3.0	49.0	33.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	24 лет / 12	9.0	4.0	34.0	12.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	25 лет / 13	3.0	1.0	24.0	5.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	26 лет / 14	7.0	2.0	16.0	6.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	27 лет / 15	5.0	2.0	13.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	28 лет / 16	0.0	0.0	6.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	29 лет / 17	0.0	0.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	30-34 года / 18	6.0	2.0	16.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	35-39 лет / 19	3.0	2.0	7.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	40 лет и старше / 20	2.0	2.0	13.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	Всего / 01	111.0	74.0	315.0	189.0	21.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	в возрасте (число полных лет  на 1 января): в возрасте моложе 15 лет / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	15 лет / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	16 лет / 04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	17 лет / 05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	18 лет / 06	6.0	5.0	4.0	4.0	0.0	0.0	3.0	2.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	19 лет / 07	49.0	29.0	59.0	45.0	0.0	0.0	8.0	8.0	14.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	20 лет / 08	56.0	28.0	115.0	72.0	0.0	0.0	19.0	18.0	30.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	21 лет / 09	58.0	22.0	209.0	123.0	0.0	0.0	25.0	7.0	45.0	23.0	0.0	0.0	2.0	2.0	2.0	2.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	22 лет / 10	55.0	22.0	253.0	147.0	3.0	3.0	25.0	9.0	66.0	39.0	0.0	0.0	15.0	13.0	17.0	15.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	23 лет / 11	55.0	19.0	288.0	148.0	24.0	20.0	11.0	3.0	42.0	15.0	4.0	4.0	18.0	15.0	32.0	25.0	3.0	2.0
Амурская область	Государственные, Муниципальные; заочная	24 лет / 12	31.0	7.0	300.0	136.0	50.0	42.0	11.0	1.0	33.0	5.0	2.0	2.0	9.0	7.0	32.0	25.0	9.0	6.0
