region	tags	indicator	Программы бакалавриата / Принято / 3	Программы бакалавриата / из них принято в пределах квоты приема лиц, имеющих особое право / 4	Программы бакалавриата / Численность студентов / 5	Программы бакалавриата / Выпуск / 6	Программы специалитета / Принято / 7	Программы специалитета / из них принято в пределах квоты приема лиц, имеющих особое право / 8	Программы специалитета / Численность студентов / 9	Программы специалитета / Выпуск / 10	Программы магистратуры / Принято / 11	Программы магистратуры / Численность студентов / 12	Программы магистратуры / Выпуск / 13
Алтайский край	Государственные, Муниципальные; очная	Инвалиды (кроме учтенных в стр. 02) / 04	42.0	32.0	123.0	9.0	10.0	7.0	85.0	5.0	2.0	9.0	4.0
Алтайский край	Государственные, Муниципальные; очная	Студенты с ограниченными возможностями здоровья / 01	9.0	9.0	42.0	5.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	Численность студентов утративших статус «лицо с ограниченными возможностями здоровья» / 11	0.0										
Алтайский край	Государственные, Муниципальные; очная	Численность студентов, которые впервые приобрели статус инвалидности или лица с ограниченными возможностями здоровья / 15	2.0										
Алтайский край	Государственные, Муниципальные; очная	Численность студентов, утративших статус «инвалид» / 12	7.0										
Алтайский край	Государственные, Муниципальные; очная	Численность студентов, утративших статус «ребёнок-инвалид» без присвоения статуса «инвалид» / 13	1.0										
Алтайский край	Государственные, Муниципальные; очная	Численность студентов, утративших статус «ребёнок-инвалид» с присвоением статуса «инвалид» / 14	8.0										
Алтайский край	Государственные, Муниципальные; очная	дети-инвалиды / 03	5.0	5.0	16.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	из них: инвалиды / 02	4.0	4.0	26.0	4.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	Дети-инвалиды (кроме учтенных в стр. 03) / 05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	Из них (из стр.01) обучаются по адаптированным образовательным программам: Студенты с ограниченными возможностями здоровья / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	Из них (из стр.02) обучаются по адаптированным образовательным программам: из них: инвалиды / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	Из них (из стр.03) обучаются по адаптированным образовательным программам: из них: дети-инвалиды / 08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	Из них (из стр.04) обучаются по адаптированным образовательным программам: Инвалиды (кроме учтенных в стр. 07) / 09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	Из них (из стр.05) обучаются по адаптированным образовательным программам: Дети-инвалиды (кроме учтенных в стр. 08) / 10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	Инвалиды (кроме учтенных в стр. 02) / 04	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	Студенты с ограниченными возможностями здоровья / 01	1.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	Численность студентов утративших статус «лицо с ограниченными возможностями здоровья» / 11	0.0										
Алтайский край	Государственные, Муниципальные; очно-заочная	Численность студентов, которые впервые приобрели статус инвалидности или лица с ограниченными возможностями здоровья / 15	0.0										
Алтайский край	Государственные, Муниципальные; очно-заочная	Численность студентов, утративших статус «инвалид» / 12	0.0										
Алтайский край	Государственные, Муниципальные; очно-заочная	Численность студентов, утративших статус «ребёнок-инвалид» без присвоения статуса «инвалид» / 13	0.0										
Алтайский край	Государственные, Муниципальные; очно-заочная	Численность студентов, утративших статус «ребёнок-инвалид» с присвоением статуса «инвалид» / 14	0.0										
Алтайский край	Государственные, Муниципальные; очно-заочная	дети-инвалиды / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	из них: инвалиды / 02	1.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	Дети-инвалиды (кроме учтенных в стр. 03) / 05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	Из них (из стр.01) обучаются по адаптированным образовательным программам: Студенты с ограниченными возможностями здоровья / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	Из них (из стр.02) обучаются по адаптированным образовательным программам: из них: инвалиды / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	Из них (из стр.03) обучаются по адаптированным образовательным программам: из них: дети-инвалиды / 08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	Из них (из стр.04) обучаются по адаптированным образовательным программам: Инвалиды (кроме учтенных в стр. 07) / 09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	Из них (из стр.05) обучаются по адаптированным образовательным программам: Дети-инвалиды (кроме учтенных в стр. 08) / 10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	Инвалиды (кроме учтенных в стр. 02) / 04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	Студенты с ограниченными возможностями здоровья / 01	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	дети-инвалиды / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	из них: инвалиды / 02	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	Дети-инвалиды (кроме учтенных в стр. 03) / 05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	Из них (из стр.01) обучаются по адаптированным образовательным программам: Студенты с ограниченными возможностями здоровья / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	Из них (из стр.02) обучаются по адаптированным образовательным программам: из них: инвалиды / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	Из них (из стр.03) обучаются по адаптированным образовательным программам: из них: дети-инвалиды / 08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	Из них (из стр.04) обучаются по адаптированным образовательным программам: Инвалиды (кроме учтенных в стр. 07) / 09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	Из них (из стр.05) обучаются по адаптированным образовательным программам: Дети-инвалиды (кроме учтенных в стр. 08) / 10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	Инвалиды (кроме учтенных в стр. 02) / 04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	Студенты с ограниченными возможностями здоровья / 01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	Численность студентов утративших статус «лицо с ограниченными возможностями здоровья» / 11	0.0										
Алтайский край	очная; Частные	Численность студентов, которые впервые приобрели статус инвалидности или лица с ограниченными возможностями здоровья / 15	0.0										
Алтайский край	очная; Частные	Численность студентов, утративших статус «инвалид» / 12	0.0										
Алтайский край	очная; Частные	Численность студентов, утративших статус «ребёнок-инвалид» без присвоения статуса «инвалид» / 13	0.0										
Алтайский край	очная; Частные	Численность студентов, утративших статус «ребёнок-инвалид» с присвоением статуса «инвалид» / 14	0.0										
Алтайский край	очная; Частные	дети-инвалиды / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	из них: инвалиды / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные	Дети-инвалиды (кроме учтенных в стр. 03) / 05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные	Из них (из стр.01) обучаются по адаптированным образовательным программам: Студенты с ограниченными возможностями здоровья / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные	Из них (из стр.02) обучаются по адаптированным образовательным программам: из них: инвалиды / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные	Из них (из стр.03) обучаются по адаптированным образовательным программам: из них: дети-инвалиды / 08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные	Из них (из стр.04) обучаются по адаптированным образовательным программам: Инвалиды (кроме учтенных в стр. 07) / 09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные	Из них (из стр.05) обучаются по адаптированным образовательным программам: Дети-инвалиды (кроме учтенных в стр. 08) / 10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные	Инвалиды (кроме учтенных в стр. 02) / 04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные	Студенты с ограниченными возможностями здоровья / 01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные	дети-инвалиды / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные	из них: инвалиды / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	Дети-инвалиды (кроме учтенных в стр. 03) / 05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	Из них (из стр.01) обучаются по адаптированным образовательным программам: Студенты с ограниченными возможностями здоровья / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	Из них (из стр.02) обучаются по адаптированным образовательным программам: из них: инвалиды / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	Из них (из стр.03) обучаются по адаптированным образовательным программам: из них: дети-инвалиды / 08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	Из них (из стр.04) обучаются по адаптированным образовательным программам: Инвалиды (кроме учтенных в стр. 07) / 09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	Из них (из стр.05) обучаются по адаптированным образовательным программам: Дети-инвалиды (кроме учтенных в стр. 08) / 10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	Инвалиды (кроме учтенных в стр. 02) / 04	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	Студенты с ограниченными возможностями здоровья / 01	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
Амурская область	Государственные, Муниципальные; заочная	Численность студентов утративших статус «лицо с ограниченными возможностями здоровья» / 11	0.0										
Амурская область	Государственные, Муниципальные; заочная	Численность студентов, которые впервые приобрели статус инвалидности или лица с ограниченными возможностями здоровья / 15	0.0										
Амурская область	Государственные, Муниципальные; заочная	Численность студентов, утративших статус «инвалид» / 12	0.0										
Амурская область	Государственные, Муниципальные; заочная	Численность студентов, утративших статус «ребёнок-инвалид» без присвоения статуса «инвалид» / 13	0.0										
Амурская область	Государственные, Муниципальные; заочная	Численность студентов, утративших статус «ребёнок-инвалид» с присвоением статуса «инвалид» / 14	0.0										
Амурская область	Государственные, Муниципальные; заочная	дети-инвалиды / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	из них: инвалиды / 02	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
Амурская область	Государственные, Муниципальные; очная	Дети-инвалиды (кроме учтенных в стр. 03) / 05	3.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очная	Из них (из стр.01) обучаются по адаптированным образовательным программам: Студенты с ограниченными возможностями здоровья / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очная	Из них (из стр.02) обучаются по адаптированным образовательным программам: из них: инвалиды / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очная	Из них (из стр.03) обучаются по адаптированным образовательным программам: из них: дети-инвалиды / 08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очная	Из них (из стр.04) обучаются по адаптированным образовательным программам: Инвалиды (кроме учтенных в стр. 07) / 09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очная	Из них (из стр.05) обучаются по адаптированным образовательным программам: Дети-инвалиды (кроме учтенных в стр. 08) / 10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очная	Инвалиды (кроме учтенных в стр. 02) / 04	16.0	15.0	49.0	1.0	5.0	5.0	31.0	0.0	1.0	3.0	2.0
Амурская область	Государственные, Муниципальные; очная	Студенты с ограниченными возможностями здоровья / 01	5.0	0.0	14.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очная	Численность студентов утративших статус «лицо с ограниченными возможностями здоровья» / 11	0.0										
Амурская область	Государственные, Муниципальные; очная	Численность студентов, которые впервые приобрели статус инвалидности или лица с ограниченными возможностями здоровья / 15	0.0										
Амурская область	Государственные, Муниципальные; очная	Численность студентов, утративших статус «инвалид» / 12	4.0										
Амурская область	Государственные, Муниципальные; очная	Численность студентов, утративших статус «ребёнок-инвалид» без присвоения статуса «инвалид» / 13	1.0										
Амурская область	Государственные, Муниципальные; очная	Численность студентов, утративших статус «ребёнок-инвалид» с присвоением статуса «инвалид» / 14	4.0										
Амурская область	Государственные, Муниципальные; очная	дети-инвалиды / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очная	из них: инвалиды / 02	5.0	0.0	14.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; заочная	Дети-инвалиды (кроме учтенных в стр. 03) / 05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; заочная	Из них (из стр.01) обучаются по адаптированным образовательным программам: Студенты с ограниченными возможностями здоровья / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; заочная	Из них (из стр.02) обучаются по адаптированным образовательным программам: из них: инвалиды / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; заочная	Из них (из стр.03) обучаются по адаптированным образовательным программам: из них: дети-инвалиды / 08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; заочная	Из них (из стр.04) обучаются по адаптированным образовательным программам: Инвалиды (кроме учтенных в стр. 07) / 09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; заочная	Из них (из стр.05) обучаются по адаптированным образовательным программам: Дети-инвалиды (кроме учтенных в стр. 08) / 10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; заочная	Инвалиды (кроме учтенных в стр. 02) / 04	1.0	0.0	3.0	3.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; заочная	Студенты с ограниченными возможностями здоровья / 01	4.0	4.0	18.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
Архангельская область	Государственные, Муниципальные; заочная	дети-инвалиды / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; заочная	из них: инвалиды / 02	4.0	4.0	18.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
Архангельская область	Государственные, Муниципальные; очная	Дети-инвалиды (кроме учтенных в стр. 03) / 05	2.0	2.0	0.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; очная	Из них (из стр.01) обучаются по адаптированным образовательным программам: Студенты с ограниченными возможностями здоровья / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; очная	Из них (из стр.02) обучаются по адаптированным образовательным программам: из них: инвалиды / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; очная	Из них (из стр.03) обучаются по адаптированным образовательным программам: из них: дети-инвалиды / 08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; очная	Из них (из стр.04) обучаются по адаптированным образовательным программам: Инвалиды (кроме учтенных в стр. 07) / 09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; очная	Из них (из стр.05) обучаются по адаптированным образовательным программам: Дети-инвалиды (кроме учтенных в стр. 08) / 10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; очная	Инвалиды (кроме учтенных в стр. 02) / 04	5.0	5.0	14.0	1.0	15.0	13.0	43.0	7.0	1.0	1.0	0.0
Архангельская область	Государственные, Муниципальные; очная	Студенты с ограниченными возможностями здоровья / 01	40.0	39.0	99.0	13.0	1.0	1.0	6.0	0.0	0.0	9.0	2.0
Архангельская область	Государственные, Муниципальные; очная	Численность студентов утративших статус «лицо с ограниченными возможностями здоровья» / 11	0.0										
Архангельская область	Государственные, Муниципальные; очная	Численность студентов, которые впервые приобрели статус инвалидности или лица с ограниченными возможностями здоровья / 15	1.0										
Архангельская область	Государственные, Муниципальные; очная	Численность студентов, утративших статус «инвалид» / 12	6.0										
Архангельская область	Государственные, Муниципальные; очная	Численность студентов, утративших статус «ребёнок-инвалид» без присвоения статуса «инвалид» / 13	0.0										
Архангельская область	Государственные, Муниципальные; очная	Численность студентов, утративших статус «ребёнок-инвалид» с присвоением статуса «инвалид» / 14	4.0										
Архангельская область	Государственные, Муниципальные; очная	дети-инвалиды / 03	21.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; очная	из них: инвалиды / 02	19.0	18.0	99.0	13.0	1.0	1.0	6.0	0.0	0.0	9.0	2.0
Архангельская область	Государственные, Муниципальные; очно-заочная	Дети-инвалиды (кроме учтенных в стр. 03) / 05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; очно-заочная	Из них (из стр.01) обучаются по адаптированным образовательным программам: Студенты с ограниченными возможностями здоровья / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; очно-заочная	Из них (из стр.02) обучаются по адаптированным образовательным программам: из них: инвалиды / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; очно-заочная	Из них (из стр.03) обучаются по адаптированным образовательным программам: из них: дети-инвалиды / 08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; очно-заочная	Из них (из стр.04) обучаются по адаптированным образовательным программам: Инвалиды (кроме учтенных в стр. 07) / 09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; очно-заочная	Из них (из стр.05) обучаются по адаптированным образовательным программам: Дети-инвалиды (кроме учтенных в стр. 08) / 10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; очно-заочная	Инвалиды (кроме учтенных в стр. 02) / 04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; очно-заочная	Студенты с ограниченными возможностями здоровья / 01	5.0	3.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Архангельская область	Государственные, Муниципальные; очно-заочная	дети-инвалиды / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; очно-заочная	из них: инвалиды / 02	5.0	3.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Астраханская область	Государственные, Муниципальные; заочная	Дети-инвалиды (кроме учтенных в стр. 03) / 05	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Государственные, Муниципальные; заочная	Из них (из стр.01) обучаются по адаптированным образовательным программам: Студенты с ограниченными возможностями здоровья / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Государственные, Муниципальные; заочная	Из них (из стр.02) обучаются по адаптированным образовательным программам: из них: инвалиды / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Государственные, Муниципальные; заочная	Из них (из стр.03) обучаются по адаптированным образовательным программам: из них: дети-инвалиды / 08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
