region	tags	indicator	Программы бакалавриата / Обучение за счет бюджетных ассигнований федерального бюджета, бюджета субъекта Российской Федерации, местного бюджета / подано заявлений / 3	Программы бакалавриата / Обучение за счет бюджетных ассигнований федерального бюджета, бюджета субъекта Российской Федерации, местного бюджета / принято / 4	Программы бакалавриата / Обучение по договорам об оказании платных образовательных услуг / подано заявлений / 5	Программы бакалавриата / Обучение по договорам об оказании платных образовательных услуг / принято / 6	Программы специалитета / Обучение за счет бюджетных ассигнований федерального бюджета, бюджета субъекта Российской Федерации, местного бюджета / подано заявлений / 7	Программы специалитета / Обучение за счет бюджетных ассигнований федерального бюджета, бюджета субъекта Российской Федерации, местного бюджета / принято / 8	Программы специалитета / Обучение по договорам об оказании платных образовательных услуг / подано заявлений / 9	Программы специалитета / Обучение по договорам об оказании платных образовательных услуг / принято / 10
Алтайский край	Государственные, Муниципальные; очная	в том числе поступали на базе образования:  среднего общего / 02	29925.0	3531.0	6637.0	1086.0	6418.0	721.0	3143.0	670.0
Алтайский край	Государственные, Муниципальные; очная	высшего, подтвержденного дипломом: бакалавра / 12	0.0	0.0	20.0	1.0	0.0	0.0	119.0	4.0
Алтайский край	Государственные, Муниципальные; очная	высшего, подтвержденного дипломом: магистра / 16	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
Алтайский край	Государственные, Муниципальные; очная	высшего, подтвержденного дипломом: специалиста / 14	0.0	0.0	5.0	3.0	0.0	0.0	14.0	3.0
Алтайский край	Государственные, Муниципальные; очная	других организаций, осуществляющих образовательную  деятельность по программам среднего общего образования / 07	18.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	из них отдельных общеобразовательных организаций, осуществляющих обучение по адаптированным основным  общеобразовательным программам / 05	592.0	38.0	344.0	42.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	из них полученного за период с 1 октября прошлого года  по 30 сентября текущего года / 15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	из них полученного за период с 1 октября прошлого года  по 30 сентября текущего года / 17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	из них полученного за период с 1 октября прошлого года по  30 сентября текущего года (сумма стр. 04, 06, 07) / 03	25280.0	2821.0	5925.0	960.0	5702.0	646.0	2668.0	533.0
Алтайский край	Государственные, Муниципальные; очная	из них полученного за период с 1 октября прошлого года по  30 сентября текущего года / 09	1831.0	437.0	215.0	44.0	152.0	20.0	72.0	24.0
Алтайский край	Государственные, Муниципальные; очная	из них полученного за период с 1 октября прошлого года по 30 сентября текущего года / 11	1184.0	337.0	149.0	23.0	947.0	152.0	211.0	40.0
Алтайский край	Государственные, Муниципальные; очная	из них полученного за период с 1 октября прошлого года по 30 сентября текущего года / 13	0.0	0.0	7.0	0.0	0.0	0.0	42.0	1.0
Алтайский край	Государственные, Муниципальные; очная	из строки 03 – выпускники:  общеобразовательных организаций / 04	25262.0	2821.0	5924.0	960.0	5702.0	646.0	2668.0	533.0
Алтайский край	Государственные, Муниципальные; очная	специальных учебно-воспитательных учреждений для  обучающихся с девиантным (общественно-опасным)  поведением / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	среднего профессионального по программам подготовки  квалифицированных рабочих, служащих / 08	2300.0	531.0	305.0	69.0	200.0	28.0	87.0	29.0
Алтайский край	Государственные, Муниципальные; очная	среднего профессионального по программам подготовки  специалистов среднего звена / 10	1642.0	500.0	178.0	26.0	1659.0	259.0	348.0	60.0
Алтайский край	Государственные, Муниципальные; очно-заочная	Всего (сумма строк 02, 08, 10, 12, 13, 14, 16) / 01	609.0	106.0	1498.0	663.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	в том числе поступали на базе образования:  среднего общего / 02	319.0	41.0	567.0	136.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	высшего, подтвержденного дипломом: бакалавра / 12	0.0	0.0	13.0	7.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	высшего, подтвержденного дипломом: магистра / 16	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	высшего, подтвержденного дипломом: специалиста / 14	0.0	0.0	20.0	14.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	других организаций, осуществляющих образовательную  деятельность по программам среднего общего образования / 07	6.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	из них отдельных общеобразовательных организаций, осуществляющих обучение по адаптированным основным  общеобразовательным программам / 05	1.0	0.0	118.0	9.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	из них полученного за период с 1 октября прошлого года  по 30 сентября текущего года / 15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	из них полученного за период с 1 октября прошлого года  по 30 сентября текущего года / 17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	из них полученного за период с 1 октября прошлого года по  30 сентября текущего года (сумма стр. 04, 06, 07) / 03	229.0	30.0	404.0	63.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	из них полученного за период с 1 октября прошлого года по  30 сентября текущего года / 09	122.0	27.0	180.0	82.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	из них полученного за период с 1 октября прошлого года по 30 сентября текущего года / 11	51.0	10.0	310.0	162.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	из них полученного за период с 1 октября прошлого года по 30 сентября текущего года / 13	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	из строки 03 – выпускники:  общеобразовательных организаций / 04	223.0	28.0	403.0	62.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	специальных учебно-воспитательных учреждений для  обучающихся с девиантным (общественно-опасным)  поведением / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	среднего профессионального по программам подготовки  квалифицированных рабочих, служащих / 08	185.0	45.0	365.0	200.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	среднего профессионального по программам подготовки  специалистов среднего звена / 10	105.0	20.0	532.0	305.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	Всего (сумма строк 02, 08, 10, 12, 13, 14, 16) / 01	0.0	0.0	26.0	14.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	в том числе поступали на базе образования:  среднего общего / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	высшего, подтвержденного дипломом: бакалавра / 12	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	высшего, подтвержденного дипломом: магистра / 16	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	высшего, подтвержденного дипломом: специалиста / 14	0.0	0.0	6.0	4.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	других организаций, осуществляющих образовательную  деятельность по программам среднего общего образования / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	из них отдельных общеобразовательных организаций, осуществляющих обучение по адаптированным основным  общеобразовательным программам / 05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	из них полученного за период с 1 октября прошлого года  по 30 сентября текущего года / 15	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	из них полученного за период с 1 октября прошлого года  по 30 сентября текущего года / 17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	из них полученного за период с 1 октября прошлого года по  30 сентября текущего года (сумма стр. 04, 06, 07) / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	из них полученного за период с 1 октября прошлого года по  30 сентября текущего года / 09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	из них полученного за период с 1 октября прошлого года по 30 сентября текущего года / 11	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	из них полученного за период с 1 октября прошлого года по 30 сентября текущего года / 13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	из строки 03 – выпускники:  общеобразовательных организаций / 04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	специальных учебно-воспитательных учреждений для  обучающихся с девиантным (общественно-опасным)  поведением / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	среднего профессионального по программам подготовки  квалифицированных рабочих, служащих / 08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	среднего профессионального по программам подготовки  специалистов среднего звена / 10	0.0	0.0	15.0	6.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	Всего (сумма строк 02, 08, 10, 12, 13, 14, 16) / 01	0.0	0.0	61.0	30.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	в том числе поступали на базе образования:  среднего общего / 02	0.0	0.0	47.0	19.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	высшего, подтвержденного дипломом: бакалавра / 12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	высшего, подтвержденного дипломом: магистра / 16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	высшего, подтвержденного дипломом: специалиста / 14	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	других организаций, осуществляющих образовательную  деятельность по программам среднего общего образования / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	из них отдельных общеобразовательных организаций, осуществляющих обучение по адаптированным основным  общеобразовательным программам / 05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	из них полученного за период с 1 октября прошлого года  по 30 сентября текущего года / 15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	из них полученного за период с 1 октября прошлого года  по 30 сентября текущего года / 17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	из них полученного за период с 1 октября прошлого года по  30 сентября текущего года (сумма стр. 04, 06, 07) / 03	0.0	0.0	42.0	15.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	из них полученного за период с 1 октября прошлого года по  30 сентября текущего года / 09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	из них полученного за период с 1 октября прошлого года по 30 сентября текущего года / 11	0.0	0.0	8.0	6.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	из них полученного за период с 1 октября прошлого года по 30 сентября текущего года / 13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	из строки 03 – выпускники:  общеобразовательных организаций / 04	0.0	0.0	42.0	15.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	специальных учебно-воспитательных учреждений для  обучающихся с девиантным (общественно-опасным)  поведением / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	среднего профессионального по программам подготовки  квалифицированных рабочих, служащих / 08	0.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	среднего профессионального по программам подготовки  специалистов среднего звена / 10	0.0	0.0	9.0	7.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	Всего (сумма строк 02, 08, 10, 12, 13, 14, 16) / 01	0.0	0.0	143.0	111.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	в том числе поступали на базе образования:  среднего общего / 02	0.0	0.0	17.0	9.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	высшего, подтвержденного дипломом: бакалавра / 12	0.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	высшего, подтвержденного дипломом: магистра / 16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	высшего, подтвержденного дипломом: специалиста / 14	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	других организаций, осуществляющих образовательную  деятельность по программам среднего общего образования / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	из них отдельных общеобразовательных организаций, осуществляющих обучение по адаптированным основным  общеобразовательным программам / 05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	из них полученного за период с 1 октября прошлого года  по 30 сентября текущего года / 15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	из них полученного за период с 1 октября прошлого года  по 30 сентября текущего года / 17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	из них полученного за период с 1 октября прошлого года по  30 сентября текущего года (сумма стр. 04, 06, 07) / 03	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	из них полученного за период с 1 октября прошлого года по  30 сентября текущего года / 09	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	из них полученного за период с 1 октября прошлого года по 30 сентября текущего года / 11	0.0	0.0	59.0	46.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	из них полученного за период с 1 октября прошлого года по 30 сентября текущего года / 13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	из строки 03 – выпускники:  общеобразовательных организаций / 04	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	специальных учебно-воспитательных учреждений для  обучающихся с девиантным (общественно-опасным)  поведением / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	среднего профессионального по программам подготовки  квалифицированных рабочих, служащих / 08	0.0	0.0	11.0	11.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	среднего профессионального по программам подготовки  специалистов среднего звена / 10	0.0	0.0	109.0	86.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	Всего (сумма строк 02, 08, 10, 12, 13, 14, 16) / 01	234.0	61.0	702.0	491.0	0.0	0.0	354.0	215.0
Амурская область	Государственные, Муниципальные; заочная	в том числе поступали на базе образования:  среднего общего / 02	17.0	3.0	8.0	5.0	0.0	0.0	8.0	5.0
Амурская область	Государственные, Муниципальные; заочная	высшего, подтвержденного дипломом: бакалавра / 12	0.0	0.0	20.0	14.0	0.0	0.0	6.0	3.0
Амурская область	Государственные, Муниципальные; заочная	высшего, подтвержденного дипломом: магистра / 16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	высшего, подтвержденного дипломом: специалиста / 14	0.0	0.0	14.0	10.0	0.0	0.0	2.0	2.0
Амурская область	Государственные, Муниципальные; заочная	других организаций, осуществляющих образовательную  деятельность по программам среднего общего образования / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	из них отдельных общеобразовательных организаций, осуществляющих обучение по адаптированным основным  общеобразовательным программам / 05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	из них полученного за период с 1 октября прошлого года  по 30 сентября текущего года / 15	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	из них полученного за период с 1 октября прошлого года  по 30 сентября текущего года / 17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	из них полученного за период с 1 октября прошлого года по  30 сентября текущего года (сумма стр. 04, 06, 07) / 03	11.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	из них полученного за период с 1 октября прошлого года по  30 сентября текущего года / 09	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	из них полученного за период с 1 октября прошлого года по 30 сентября текущего года / 11	43.0	15.0	231.0	207.0	0.0	0.0	116.0	44.0
Амурская область	Государственные, Муниципальные; заочная	из них полученного за период с 1 октября прошлого года по 30 сентября текущего года / 13	0.0	0.0	4.0	3.0	0.0	0.0	3.0	1.0
Амурская область	Государственные, Муниципальные; заочная	из строки 03 – выпускники:  общеобразовательных организаций / 04	11.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	специальных учебно-воспитательных учреждений для  обучающихся с девиантным (общественно-опасным)  поведением / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	среднего профессионального по программам подготовки  квалифицированных рабочих, служащих / 08	0.0	0.0	12.0	9.0	0.0	0.0	43.0	41.0
Амурская область	Государственные, Муниципальные; заочная	среднего профессионального по программам подготовки  специалистов среднего звена / 10	217.0	58.0	648.0	453.0	0.0	0.0	295.0	164.0
Амурская область	Государственные, Муниципальные; очная	Всего (сумма строк 02, 08, 10, 12, 13, 14, 16) / 01	8827.0	1500.0	914.0	244.0	2425.0	497.0	610.0	85.0
Амурская область	Государственные, Муниципальные; очная	в том числе поступали на базе образования:  среднего общего / 02	7069.0	985.0	820.0	198.0	1818.0	331.0	505.0	71.0
Амурская область	Государственные, Муниципальные; очная	высшего, подтвержденного дипломом: бакалавра / 12	0.0	0.0	1.0	1.0	0.0	0.0	4.0	2.0
Амурская область	Государственные, Муниципальные; очная	высшего, подтвержденного дипломом: магистра / 16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очная	высшего, подтвержденного дипломом: специалиста / 14	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
Амурская область	Государственные, Муниципальные; очная	других организаций, осуществляющих образовательную  деятельность по программам среднего общего образования / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очная	из них отдельных общеобразовательных организаций, осуществляющих обучение по адаптированным основным  общеобразовательным программам / 05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очная	из них полученного за период с 1 октября прошлого года  по 30 сентября текущего года / 15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очная	из них полученного за период с 1 октября прошлого года  по 30 сентября текущего года / 17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очная	из них полученного за период с 1 октября прошлого года по  30 сентября текущего года (сумма стр. 04, 06, 07) / 03	6621.0	895.0	661.0	145.0	1648.0	310.0	440.0	60.0
Амурская область	Государственные, Муниципальные; очная	из них полученного за период с 1 октября прошлого года по  30 сентября текущего года / 09	9.0	5.0	0.0	0.0	18.0	8.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очная	из них полученного за период с 1 октября прошлого года по 30 сентября текущего года / 11	1274.0	378.0	57.0	30.0	318.0	92.0	51.0	6.0
Амурская область	Государственные, Муниципальные; очная	из них полученного за период с 1 октября прошлого года по 30 сентября текущего года / 13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очная	из строки 03 – выпускники:  общеобразовательных организаций / 04	6621.0	895.0	661.0	145.0	1648.0	310.0	440.0	60.0
Амурская область	Государственные, Муниципальные; очная	специальных учебно-воспитательных учреждений для  обучающихся с девиантным (общественно-опасным)  поведением / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очная	среднего профессионального по программам подготовки  квалифицированных рабочих, служащих / 08	23.0	9.0	0.0	0.0	25.0	9.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очная	среднего профессионального по программам подготовки  специалистов среднего звена / 10	1735.0	506.0	93.0	45.0	582.0	157.0	100.0	11.0
Амурская область	Государственные, Муниципальные; очно-заочная	Всего (сумма строк 02, 08, 10, 12, 13, 14, 16) / 01	0.0	0.0	96.0	57.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очно-заочная	в том числе поступали на базе образования:  среднего общего / 02	0.0	0.0	10.0	2.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очно-заочная	высшего, подтвержденного дипломом: бакалавра / 12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очно-заочная	высшего, подтвержденного дипломом: магистра / 16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очно-заочная	высшего, подтвержденного дипломом: специалиста / 14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очно-заочная	других организаций, осуществляющих образовательную  деятельность по программам среднего общего образования / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очно-заочная	из них отдельных общеобразовательных организаций, осуществляющих обучение по адаптированным основным  общеобразовательным программам / 05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очно-заочная	из них полученного за период с 1 октября прошлого года  по 30 сентября текущего года / 15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очно-заочная	из них полученного за период с 1 октября прошлого года  по 30 сентября текущего года / 17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очно-заочная	из них полученного за период с 1 октября прошлого года по  30 сентября текущего года (сумма стр. 04, 06, 07) / 03	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очно-заочная	из них полученного за период с 1 октября прошлого года по  30 сентября текущего года / 09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очно-заочная	из них полученного за период с 1 октября прошлого года по 30 сентября текущего года / 11	0.0	0.0	36.0	19.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очно-заочная	из них полученного за период с 1 октября прошлого года по 30 сентября текущего года / 13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очно-заочная	из строки 03 – выпускники:  общеобразовательных организаций / 04	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очно-заочная	специальных учебно-воспитательных учреждений для  обучающихся с девиантным (общественно-опасным)  поведением / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очно-заочная	среднего профессионального по программам подготовки  квалифицированных рабочих, служащих / 08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очно-заочная	среднего профессионального по программам подготовки  специалистов среднего звена / 10	0.0	0.0	86.0	55.0	0.0	0.0	0.0	0.0
