region	tags	indicator	Программы бакалавриата / Обучение за счет бюджетных ассигнований федерального бюджета, бюджета субъекта Российской Федерации, местного бюджета / подано заявлений / 3	Программы бакалавриата / Обучение за счет бюджетных ассигнований федерального бюджета, бюджета субъекта Российской Федерации, местного бюджета / принято / 4	Программы бакалавриата / Обучение за счет бюджетных ассигнований федерального бюджета, бюджета субъекта Российской Федерации, местного бюджета / из них лиц, имеющих преимущест-венное право зачисления / 5	Программы бакалавриата / Обучение по договорам об оказании платных образовательных услуг / подано заявлений / 6	Программы бакалавриата / Обучение по договорам об оказании платных образовательных услуг / принято / 7	Программы бакалавриата / Обучение по договорам об оказании платных образовательных услуг / из них лиц, имеющих преимущест-венное право зачисления / 8	Программы специалитета / Обучение за счет бюджетных ассигнований федерального бюджета, бюджета субъекта Российской Федерации, местного бюджета / подано заявлений / 9	Программы специалитета / Обучение за счет бюджетных ассигнований федерального бюджета, бюджета субъекта Российской Федерации, местного бюджета / принято / 10	Программы специалитета / Обучение за счет бюджетных ассигнований федерального бюджета, бюджета субъекта Российской Федерации, местного бюджета / из них лиц, имеющих преимущест-венное право зачисления / 11	Программы специалитета / Обучение по договорам об оказании платных образовательных услуг / подано заявлений / 12	Программы специалитета / Обучение по договорам об оказании платных образовательных услуг / принято / 13	Программы специалитета / Обучение по договорам об оказании платных образовательных услуг / из них лиц, имеющих преимущест-венное право зачисления / 14
Алтайский край	Государственные, Муниципальные; очная	Всего (сумма строк 02, 16) / 01	33867.0	4562.0	0.0	7145.0	1185.0	0.0	8277.0	1008.0	0.0	3715.0	766.0	0.0
Алтайский край	Государственные, Муниципальные; очная	Второе высшее образование / 16	0.0	0.0	0.0	25.0	4.0	0.0	0.0	0.0	0.0	137.0	7.0	0.0
Алтайский край	Государственные, Муниципальные; очная	Первое высшее образование (сумма строк 03 - 05; сумма строк 06, 08, 13, 14) / 02	33867.0	4562.0	0.0	7120.0	1181.0	0.0	8277.0	1008.0	0.0	3578.0	759.0	0.0
Алтайский край	Государственные, Муниципальные; очная	в том числе поступали на основании:  исключительно результатов ЕГЭ / 03	25128.0	2643.0	0.0	5892.0	839.0	0.0	5782.0	601.0	0.0	2605.0	483.0	0.0
Алтайский край	Государственные, Муниципальные; очная	"ветераны боевых действий из числа лиц, указанных в подпунктах  1 - 4 пункта 1 статьи 3 Федерального закона от 12 января 1995 года № 5-ФЗ ""О ветеранах"" / 12"	7.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	дети-инвалиды, инвалиды I и II групп, инвалиды с детства,  инвалиды вследствие военной травмы или заболевания,  полученных в период прохождения военной службы / 11	353.0	53.0	1.0	0.0	0.0	0.0	82.0	19.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	из них (из строки 06) победители и призеры заключительного этапа  всероссийских олимпиад школьников / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	из них (из строки 08): дети-сироты и дети, оставшиеся без попечения родителей / 09	344.0	88.0	0.0	0.0	0.0	0.0	111.0	21.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	из них (из строки 14) выпускники подготовительных  курсов при данной образовательной организации  высшего образования / 15	328.0	79.0	0.0	149.0	32.0	0.0	42.0	13.0	0.0	46.0	11.0	0.0
Алтайский край	Государственные, Муниципальные; очная	из строки 02 в том числе по условиям поступления:  прием без вступительных испытаний / 06	28.0	27.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	лица из числа детей-сирот и детей, оставшихся без попечения  родителей / 10	197.0	40.0	0.0	0.0	0.0	0.0	12.0	1.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	на места в пределах квоты приема лиц, имеющих особое право / 08	816.0	183.0	0.0	0.0	0.0	0.0	205.0	41.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	на места в рамках квоты приема на целевое обучение / 13	560.0	311.0	0.0	0.0	0.0	0.0	950.0	355.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	на места по общему конкурсу / 14	32463.0	4041.0	6.0	7120.0	1181.0	1.0	7118.0	608.0	0.0	3578.0	759.0	0.0
Алтайский край	Государственные, Муниципальные; очная	по результатам вступительных испытаний, проводимых  образовательной организацией высшего образования самостоятельно / 05	7423.0	1734.0	0.0	785.0	228.0	0.0	2368.0	391.0	0.0	890.0	249.0	0.0
Алтайский край	Государственные, Муниципальные; очная	результатов ЕГЭ и дополнительных вступительных испытаний / 04	1316.0	185.0	0.0	443.0	114.0	0.0	127.0	16.0	0.0	83.0	27.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	Всего (сумма строк 02, 16) / 01	609.0	106.0	0.0	1498.0	663.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	Второе высшее образование / 16	0.0	0.0	0.0	34.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	Первое высшее образование (сумма строк 03 - 05; сумма строк 06, 08, 13, 14) / 02	609.0	106.0	0.0	1464.0	641.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	в том числе поступали на основании:  исключительно результатов ЕГЭ / 03	207.0	26.0	0.0	438.0	106.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	"ветераны боевых действий из числа лиц, указанных в подпунктах  1 - 4 пункта 1 статьи 3 Федерального закона от 12 января 1995 года № 5-ФЗ ""О ветеранах"" / 12"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	дети-инвалиды, инвалиды I и II групп, инвалиды с детства,  инвалиды вследствие военной травмы или заболевания,  полученных в период прохождения военной службы / 11	6.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	из них (из строки 06) победители и призеры заключительного этапа  всероссийских олимпиад школьников / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	из них (из строки 08): дети-сироты и дети, оставшиеся без попечения родителей / 09	12.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	из них (из строки 14) выпускники подготовительных  курсов при данной образовательной организации  высшего образования / 15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	из строки 02 в том числе по условиям поступления:  прием без вступительных испытаний / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	лица из числа детей-сирот и детей, оставшихся без попечения  родителей / 10	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	на места в пределах квоты приема лиц, имеющих особое право / 08	20.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	на места в рамках квоты приема на целевое обучение / 13	19.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	на места по общему конкурсу / 14	570.0	88.0	0.0	1464.0	641.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	по результатам вступительных испытаний, проводимых  образовательной организацией высшего образования самостоятельно / 05	297.0	65.0	0.0	961.0	519.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	результатов ЕГЭ и дополнительных вступительных испытаний / 04	105.0	15.0	0.0	65.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	Всего (сумма строк 02, 16) / 01	0.0	0.0	0.0	26.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	Второе высшее образование / 16	0.0	0.0	0.0	11.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	Первое высшее образование (сумма строк 03 - 05; сумма строк 06, 08, 13, 14) / 02	0.0	0.0	0.0	15.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	в том числе поступали на основании:  исключительно результатов ЕГЭ / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	"ветераны боевых действий из числа лиц, указанных в подпунктах  1 - 4 пункта 1 статьи 3 Федерального закона от 12 января 1995 года № 5-ФЗ ""О ветеранах"" / 12"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	дети-инвалиды, инвалиды I и II групп, инвалиды с детства,  инвалиды вследствие военной травмы или заболевания,  полученных в период прохождения военной службы / 11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	из них (из строки 06) победители и призеры заключительного этапа  всероссийских олимпиад школьников / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	из них (из строки 08): дети-сироты и дети, оставшиеся без попечения родителей / 09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	из них (из строки 14) выпускники подготовительных  курсов при данной образовательной организации  высшего образования / 15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	из строки 02 в том числе по условиям поступления:  прием без вступительных испытаний / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	лица из числа детей-сирот и детей, оставшихся без попечения  родителей / 10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	на места в пределах квоты приема лиц, имеющих особое право / 08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	на места в рамках квоты приема на целевое обучение / 13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	на места по общему конкурсу / 14	0.0	0.0	0.0	15.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	по результатам вступительных испытаний, проводимых  образовательной организацией высшего образования самостоятельно / 05	0.0	0.0	0.0	15.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	заочная; Частные	результатов ЕГЭ и дополнительных вступительных испытаний / 04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	Всего (сумма строк 02, 16) / 01	0.0	0.0	0.0	61.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	Второе высшее образование / 16	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	Первое высшее образование (сумма строк 03 - 05; сумма строк 06, 08, 13, 14) / 02	0.0	0.0	0.0	60.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	в том числе поступали на основании:  исключительно результатов ЕГЭ / 03	0.0	0.0	0.0	44.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	"ветераны боевых действий из числа лиц, указанных в подпунктах  1 - 4 пункта 1 статьи 3 Федерального закона от 12 января 1995 года № 5-ФЗ ""О ветеранах"" / 12"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	дети-инвалиды, инвалиды I и II групп, инвалиды с детства,  инвалиды вследствие военной травмы или заболевания,  полученных в период прохождения военной службы / 11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	из них (из строки 06) победители и призеры заключительного этапа  всероссийских олимпиад школьников / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	из них (из строки 08): дети-сироты и дети, оставшиеся без попечения родителей / 09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	из них (из строки 14) выпускники подготовительных  курсов при данной образовательной организации  высшего образования / 15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	из строки 02 в том числе по условиям поступления:  прием без вступительных испытаний / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	лица из числа детей-сирот и детей, оставшихся без попечения  родителей / 10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	на места в пределах квоты приема лиц, имеющих особое право / 08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	на места в рамках квоты приема на целевое обучение / 13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	на места по общему конкурсу / 14	0.0	0.0	0.0	60.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	по результатам вступительных испытаний, проводимых  образовательной организацией высшего образования самостоятельно / 05	0.0	0.0	0.0	14.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	результатов ЕГЭ и дополнительных вступительных испытаний / 04	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	Всего (сумма строк 02, 16) / 01	0.0	0.0	0.0	143.0	111.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	Второе высшее образование / 16	0.0	0.0	0.0	6.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	Первое высшее образование (сумма строк 03 - 05; сумма строк 06, 08, 13, 14) / 02	0.0	0.0	0.0	137.0	106.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	в том числе поступали на основании:  исключительно результатов ЕГЭ / 03	0.0	0.0	0.0	17.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	"ветераны боевых действий из числа лиц, указанных в подпунктах  1 - 4 пункта 1 статьи 3 Федерального закона от 12 января 1995 года № 5-ФЗ ""О ветеранах"" / 12"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	дети-инвалиды, инвалиды I и II групп, инвалиды с детства,  инвалиды вследствие военной травмы или заболевания,  полученных в период прохождения военной службы / 11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	из них (из строки 06) победители и призеры заключительного этапа  всероссийских олимпиад школьников / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	из них (из строки 08): дети-сироты и дети, оставшиеся без попечения родителей / 09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	из них (из строки 14) выпускники подготовительных  курсов при данной образовательной организации  высшего образования / 15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	из строки 02 в том числе по условиям поступления:  прием без вступительных испытаний / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	лица из числа детей-сирот и детей, оставшихся без попечения  родителей / 10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	на места в пределах квоты приема лиц, имеющих особое право / 08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	на места в рамках квоты приема на целевое обучение / 13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	на места по общему конкурсу / 14	0.0	0.0	0.0	137.0	106.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	по результатам вступительных испытаний, проводимых  образовательной организацией высшего образования самостоятельно / 05	0.0	0.0	0.0	120.0	97.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	очно-заочная; Частные	результатов ЕГЭ и дополнительных вступительных испытаний / 04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	Всего (сумма строк 02, 16) / 01	234.0	61.0	0.0	702.0	491.0	0.0	0.0	0.0	0.0	354.0	215.0	0.0
Амурская область	Государственные, Муниципальные; заочная	Второе высшее образование / 16	0.0	0.0	0.0	34.0	24.0	0.0	0.0	0.0	0.0	8.0	5.0	0.0
Амурская область	Государственные, Муниципальные; заочная	Первое высшее образование (сумма строк 03 - 05; сумма строк 06, 08, 13, 14) / 02	234.0	61.0	0.0	668.0	467.0	0.0	0.0	0.0	0.0	346.0	210.0	0.0
Амурская область	Государственные, Муниципальные; заочная	в том числе поступали на основании:  исключительно результатов ЕГЭ / 03	17.0	3.0	0.0	9.0	6.0	0.0	0.0	0.0	0.0	8.0	5.0	0.0
Амурская область	Государственные, Муниципальные; заочная	"ветераны боевых действий из числа лиц, указанных в подпунктах  1 - 4 пункта 1 статьи 3 Федерального закона от 12 января 1995 года № 5-ФЗ ""О ветеранах"" / 12"	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	дети-инвалиды, инвалиды I и II групп, инвалиды с детства,  инвалиды вследствие военной травмы или заболевания,  полученных в период прохождения военной службы / 11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	из них (из строки 06) победители и призеры заключительного этапа  всероссийских олимпиад школьников / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	из них (из строки 08): дети-сироты и дети, оставшиеся без попечения родителей / 09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	из них (из строки 14) выпускники подготовительных  курсов при данной образовательной организации  высшего образования / 15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	из строки 02 в том числе по условиям поступления:  прием без вступительных испытаний / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	лица из числа детей-сирот и детей, оставшихся без попечения  родителей / 10	12.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	на места в пределах квоты приема лиц, имеющих особое право / 08	13.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	на места в рамках квоты приема на целевое обучение / 13	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	на места по общему конкурсу / 14	218.0	55.0	0.0	668.0	467.0	0.0	0.0	0.0	0.0	346.0	210.0	0.0
Амурская область	Государственные, Муниципальные; заочная	по результатам вступительных испытаний, проводимых  образовательной организацией высшего образования самостоятельно / 05	217.0	58.0	0.0	629.0	440.0	0.0	0.0	0.0	0.0	325.0	194.0	0.0
Амурская область	Государственные, Муниципальные; заочная	результатов ЕГЭ и дополнительных вступительных испытаний / 04	0.0	0.0	0.0	30.0	21.0	0.0	0.0	0.0	0.0	13.0	11.0	0.0
Амурская область	Государственные, Муниципальные; очная	Всего (сумма строк 02, 16) / 01	8827.0	1500.0	0.0	914.0	244.0	0.0	2425.0	497.0	0.0	610.0	85.0	0.0
Амурская область	Государственные, Муниципальные; очная	Второе высшее образование / 16	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	5.0	3.0	0.0
Амурская область	Государственные, Муниципальные; очная	Первое высшее образование (сумма строк 03 - 05; сумма строк 06, 08, 13, 14) / 02	8827.0	1500.0	0.0	913.0	243.0	0.0	2425.0	497.0	0.0	605.0	82.0	0.0
Амурская область	Государственные, Муниципальные; очная	в том числе поступали на основании:  исключительно результатов ЕГЭ / 03	6233.0	820.0	0.0	671.0	129.0	0.0	1547.0	304.0	0.0	386.0	25.0	0.0
Амурская область	Государственные, Муниципальные; очная	"ветераны боевых действий из числа лиц, указанных в подпунктах  1 - 4 пункта 1 статьи 3 Федерального закона от 12 января 1995 года № 5-ФЗ ""О ветеранах"" / 12"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очная	дети-инвалиды, инвалиды I и II групп, инвалиды с детства,  инвалиды вследствие военной травмы или заболевания,  полученных в период прохождения военной службы / 11	37.0	22.0	6.0	0.0	0.0	0.0	7.0	4.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очная	из них (из строки 06) победители и призеры заключительного этапа  всероссийских олимпиад школьников / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очная	из них (из строки 08): дети-сироты и дети, оставшиеся без попечения родителей / 09	37.0	19.0	0.0	0.0	0.0	0.0	27.0	13.0	0.0	0.0	0.0	0.0
