region	tags	indicator	Обучение за счет бюджетных ассигнований федерального бюджета, бюджета субъекта Российской Федерации, местного бюджета / Подано заявлений / 3	Обучение за счет бюджетных ассигнований федерального бюджета, бюджета субъекта Российской Федерации, местного бюджета / Принято / 4	Обучение по договорам об оказании платных образовательных услуг / Подано заявлений / 5	Обучение по договорам об оказании платных образовательных услуг / Принято / 6
Алтайский край	очная; Частные	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	магистра / 06	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	специалиста (кроме стр. 08) / 04	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	Всего (сумма строк 02, 04, 06, 08) / 01	82.0	50.0	92.0	61.0
Амурская область	Государственные, Муниципальные; заочная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	72.0	47.0	61.0	45.0
Амурская область	Государственные, Муниципальные; заочная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	10.0	3.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	61.0	32.0	21.0	16.0
Амурская область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; заочная	магистра / 06	0.0	0.0	3.0	1.0
Амурская область	Государственные, Муниципальные; заочная	специалиста (кроме стр. 08) / 04	0.0	0.0	28.0	15.0
Амурская область	Государственные, Муниципальные; очная	Всего (сумма строк 02, 04, 06, 08) / 01	1085.0	420.0	424.0	356.0
Амурская область	Государственные, Муниципальные; очная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	891.0	357.0	384.0	322.0
Амурская область	Государственные, Муниципальные; очная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	194.0	63.0	31.0	27.0
Амурская область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	676.0	273.0	230.0	191.0
Амурская область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очная	магистра / 06	0.0	0.0	1.0	1.0
Амурская область	Государственные, Муниципальные; очная	специалиста (кроме стр. 08) / 04	0.0	0.0	8.0	6.0
Амурская область	Государственные, Муниципальные; очно-заочная	Всего (сумма строк 02, 04, 06, 08) / 01	0.0	0.0	3.0	3.0
Амурская область	Государственные, Муниципальные; очно-заочная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очно-заочная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	0.0	0.0	3.0	3.0
Амурская область	Государственные, Муниципальные; очно-заочная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	0.0	0.0	3.0	3.0
Амурская область	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очно-заочная	магистра / 06	0.0	0.0	0.0	0.0
Амурская область	Государственные, Муниципальные; очно-заочная	специалиста (кроме стр. 08) / 04	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; заочная	Всего (сумма строк 02, 04, 06, 08) / 01	545.0	151.0	168.0	77.0
Архангельская область	Государственные, Муниципальные; заочная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; заочная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	422.0	120.0	134.0	61.0
Архангельская область	Государственные, Муниципальные; заочная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	123.0	31.0	31.0	13.0
Архангельская область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	218.0	58.0	63.0	28.0
Архангельская область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; заочная	магистра / 06	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; заочная	специалиста (кроме стр. 08) / 04	0.0	0.0	3.0	3.0
Архангельская область	Государственные, Муниципальные; очная	Всего (сумма строк 02, 04, 06, 08) / 01	3028.0	702.0	117.0	42.0
Архангельская область	Государственные, Муниципальные; очная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; очная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	2763.0	612.0	88.0	20.0
Архангельская область	Государственные, Муниципальные; очная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	265.0	90.0	27.0	21.0
Архангельская область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	2091.0	449.0	54.0	9.0
Архангельская область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; очная	магистра / 06	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; очная	специалиста (кроме стр. 08) / 04	0.0	0.0	2.0	1.0
Архангельская область	Государственные, Муниципальные; очно-заочная	Всего (сумма строк 02, 04, 06, 08) / 01	182.0	55.0	94.0	57.0
Архангельская область	Государственные, Муниципальные; очно-заочная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; очно-заочная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	142.0	38.0	39.0	23.0
Архангельская область	Государственные, Муниципальные; очно-заочная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	40.0	17.0	47.0	27.0
Архангельская область	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	73.0	11.0	13.0	3.0
Архангельская область	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	2.0	2.0
Архангельская область	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	0.0	0.0
Архангельская область	Государственные, Муниципальные; очно-заочная	магистра / 06	0.0	0.0	1.0	1.0
Архангельская область	Государственные, Муниципальные; очно-заочная	специалиста (кроме стр. 08) / 04	0.0	0.0	7.0	6.0
Архангельская область	заочная; Частные	Всего (сумма строк 02, 04, 06, 08) / 01	0.0	0.0	13.0	13.0
Архангельская область	заочная; Частные	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Архангельская область	заочная; Частные	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	0.0	0.0	8.0	8.0
Архангельская область	заочная; Частные	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	0.0	0.0	0.0	0.0
Архангельская область	заочная; Частные	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	0.0	0.0	2.0	2.0
Архангельская область	заочная; Частные	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	0.0	0.0
Архангельская область	заочная; Частные	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	0.0	0.0
Архангельская область	заочная; Частные	магистра / 06	0.0	0.0	0.0	0.0
Архангельская область	заочная; Частные	специалиста (кроме стр. 08) / 04	0.0	0.0	5.0	5.0
Архангельская область	очная; Частные	Всего (сумма строк 02, 04, 06, 08) / 01	0.0	0.0	0.0	0.0
Архангельская область	очная; Частные	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Архангельская область	очная; Частные	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	0.0	0.0	0.0	0.0
Архангельская область	очная; Частные	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	0.0	0.0	0.0	0.0
Архангельская область	очная; Частные	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	0.0	0.0	0.0	0.0
Архангельская область	очная; Частные	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	0.0	0.0
Архангельская область	очная; Частные	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	0.0	0.0
Архангельская область	очная; Частные	магистра / 06	0.0	0.0	0.0	0.0
Архангельская область	очная; Частные	специалиста (кроме стр. 08) / 04	0.0	0.0	0.0	0.0
Астраханская область	Государственные, Муниципальные; заочная	Всего (сумма строк 02, 04, 06, 08) / 01	308.0	99.0	432.0	195.0
Астраханская область	Государственные, Муниципальные; заочная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Астраханская область	Государственные, Муниципальные; заочная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	203.0	62.0	316.0	133.0
Астраханская область	Государственные, Муниципальные; заочная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	105.0	37.0	71.0	34.0
Астраханская область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	116.0	33.0	158.0	24.0
Астраханская область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	5.0	1.0
Астраханская область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	3.0	1.0
Астраханская область	Государственные, Муниципальные; заочная	магистра / 06	0.0	0.0	15.0	10.0
Астраханская область	Государственные, Муниципальные; заочная	специалиста (кроме стр. 08) / 04	0.0	0.0	30.0	18.0
Астраханская область	Государственные, Муниципальные; очная	Всего (сумма строк 02, 04, 06, 08) / 01	2542.0	706.0	716.0	301.0
Астраханская область	Государственные, Муниципальные; очная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Астраханская область	Государственные, Муниципальные; очная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	2260.0	591.0	589.0	242.0
Астраханская область	Государственные, Муниципальные; очная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	282.0	115.0	95.0	40.0
Астраханская область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	1955.0	492.0	463.0	189.0
Астраханская область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	6.0	2.0
Астраханская область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	8.0	2.0
Астраханская область	Государственные, Муниципальные; очная	магистра / 06	0.0	0.0	15.0	8.0
Астраханская область	Государственные, Муниципальные; очная	специалиста (кроме стр. 08) / 04	0.0	0.0	17.0	11.0
Астраханская область	Государственные, Муниципальные; очно-заочная	Всего (сумма строк 02, 04, 06, 08) / 01	510.0	112.0	138.0	62.0
Астраханская область	Государственные, Муниципальные; очно-заочная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Астраханская область	Государственные, Муниципальные; очно-заочная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	406.0	77.0	98.0	38.0
Астраханская область	Государственные, Муниципальные; очно-заочная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	104.0	35.0	27.0	15.0
Астраханская область	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	287.0	48.0	77.0	29.0
Астраханская область	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	1.0	1.0
Астраханская область	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	0.0	0.0
Астраханская область	Государственные, Муниципальные; очно-заочная	магистра / 06	0.0	0.0	2.0	2.0
Астраханская область	Государственные, Муниципальные; очно-заочная	специалиста (кроме стр. 08) / 04	0.0	0.0	11.0	7.0
Белгородская область	Государственные, Муниципальные; заочная	Всего (сумма строк 02, 04, 06, 08) / 01	1353.0	578.0	1028.0	464.0
Белгородская область	Государственные, Муниципальные; заочная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Белгородская область	Государственные, Муниципальные; заочная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	1051.0	411.0	756.0	317.0
Белгородская область	Государственные, Муниципальные; заочная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	302.0	167.0	144.0	65.0
Белгородская область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	815.0	304.0	474.0	163.0
Белгородская область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	17.0	15.0
Белгородская область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	1.0	1.0
Белгородская область	Государственные, Муниципальные; заочная	магистра / 06	0.0	0.0	19.0	11.0
Белгородская область	Государственные, Муниципальные; заочная	специалиста (кроме стр. 08) / 04	0.0	0.0	109.0	71.0
Белгородская область	Государственные, Муниципальные; очная	Всего (сумма строк 02, 04, 06, 08) / 01	2266.0	1131.0	1455.0	201.0
Белгородская область	Государственные, Муниципальные; очная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Белгородская область	Государственные, Муниципальные; очная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	1964.0	948.0	1413.0	191.0
Белгородская область	Государственные, Муниципальные; очная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	302.0	183.0	5.0	0.0
Белгородская область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	1794.0	862.0	1147.0	137.0
Белгородская область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	5.0	4.0
Белгородская область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	0.0	0.0
Белгородская область	Государственные, Муниципальные; очная	магистра / 06	0.0	0.0	5.0	2.0
Белгородская область	Государственные, Муниципальные; очная	специалиста (кроме стр. 08) / 04	0.0	0.0	32.0	8.0
Белгородская область	Государственные, Муниципальные; очно-заочная	Всего (сумма строк 02, 04, 06, 08) / 01	126.0	73.0	57.0	6.0
Белгородская область	Государственные, Муниципальные; очно-заочная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Белгородская область	Государственные, Муниципальные; очно-заочная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	71.0	36.0	38.0	1.0
Белгородская область	Государственные, Муниципальные; очно-заочная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	55.0	37.0	13.0	2.0
Белгородская область	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	47.0	20.0	23.0	1.0
Белгородская область	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	1.0	0.0
Белгородская область	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	0.0	0.0
Белгородская область	Государственные, Муниципальные; очно-заочная	магистра / 06	0.0	0.0	1.0	0.0
Белгородская область	Государственные, Муниципальные; очно-заочная	специалиста (кроме стр. 08) / 04	0.0	0.0	5.0	3.0
Белгородская область	заочная; Частные	Всего (сумма строк 02, 04, 06, 08) / 01	0.0	0.0	115.0	103.0
Белгородская область	заочная; Частные	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Белгородская область	заочная; Частные	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	0.0	0.0	79.0	70.0
Белгородская область	заочная; Частные	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	0.0	0.0	24.0	23.0
Белгородская область	заочная; Частные	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	0.0	0.0	49.0	43.0
Белгородская область	заочная; Частные	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	2.0	2.0
Белгородская область	заочная; Частные	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	0.0	0.0
Белгородская область	заочная; Частные	магистра / 06	0.0	0.0	0.0	0.0
Белгородская область	заочная; Частные	специалиста (кроме стр. 08) / 04	0.0	0.0	12.0	10.0
Белгородская область	очная; Частные	Всего (сумма строк 02, 04, 06, 08) / 01	67.0	45.0	80.0	58.0
Белгородская область	очная; Частные	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Белгородская область	очная; Частные	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	57.0	35.0	76.0	54.0
