region	tags	indicator	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > Выпуск > 23.0	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > Принято > 17.0	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > Числен-ность студентов > 19.0	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > из них > женщины > 20.0	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > из них > осваивают программу среднего общего образования > всего > 21.0	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > из них > осваивают программу среднего общего образования > из них женщины > 22.0	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > из них женщины > 18.0	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > из них женщины > 24.0	Программы подготовки квалифицированных рабочих, служащих > на базе среднего общего образования > Выпуск > 29.0	Программы подготовки квалифицированных рабочих, служащих > на базе среднего общего образования > Принято > 25.0	Программы подготовки квалифицированных рабочих, служащих > на базе среднего общего образования > Числен-ность студентов > 27.0	Программы подготовки квалифицированных рабочих, служащих > на базе среднего общего образования > из них женщины > 26.0	Программы подготовки квалифицированных рабочих, служащих > на базе среднего общего образования > из них женщины > 28.0	Программы подготовки квалифицированных рабочих, служащих > на базе среднего общего образования > из них женщины > 30.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > Выпуск > 9.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > Принято > 3.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > Числен-ность студентов > 5.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > из них > женщины > 6.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > из них > осваивают программу среднего общего образования > всего > 7.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > из них > осваивают программу среднего общего образования > из них женщины > 8.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > из них женщины > 10.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > из них женщины > 4.0	Программы подготовки специалистов среднего звена > на базе среднего общего образования > Выпуск > 15.0	Программы подготовки специалистов среднего звена > на базе среднего общего образования > Принято > 11.0	Программы подготовки специалистов среднего звена > на базе среднего общего образования > Числен-ность студентов > 13.0	Программы подготовки специалистов среднего звена > на базе среднего общего образования > из них женщины > 12.0	Программы подготовки специалистов среднего звена > на базе среднего общего образования > из них женщины > 14.0	Программы подготовки специалистов среднего звена > на базе среднего общего образования > из них женщины > 16.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	    30-34 лет / 20.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	15	12	8	5	0	3	170	181	778	67	318	77
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	    35-39 лет / 21.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	8	5	2	0	2	197	142	666	68	285	88
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	    40 лет и старше / 22.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	28	11	14	7	1	1	235	138	645	71	277	116
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"    в том числе в возрасте (число полных лет
    на 1 января): в возрасте моложе 13 лет / 2.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Всего / 1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	57	171	100	109	49	10	23	1080	1108	4357	541	2000	562
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    13 лет / 3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    14 лет / 4.0	24	0	1	1	1	1	0	13	0	0	0	0	0	0	0	10	2	0	1	0	0	6	0	0	0	0	0	0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    15 лет / 5.0	16	337	387	68	338	57	64	9	0	0	0	0	0	0	1	955	884	530	749	383	0	554	0	0	1	0	1	0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    16 лет / 6.0	11	2382	2710	647	2272	514	607	3	15	0	0	0	0	6	9	5875	6925	3732	5478	3016	9	3228	0	7	26	4	21	0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    17 лет / 7.0	118	987	3433	941	2613	705	275	12	4	31	31	14	14	3	12	1549	7302	4030	4121	2054	0	849	0	351	324	213	219	0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    18 лет / 8.0	625	305	3322	984	2348	651	91	161	21	141	155	46	53	7	243	427	6484	3556	3351	1829	129	232	8	1897	2219	1088	1268	3
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    19 лет / 9.0	1532	79	1931	664	1349	442	28	320	82	17	95	5	23	16	1377	91	4915	2556	2444	1347	891	54	74	394	2414	158	1315	48
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    20 лет / 10.0	848	45	573	233	358	150	18	276	83	10	25	0	9	23	2644	58	1447	653	598	317	1391	30	564	79	1854	41	1023	360
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    21 лет / 11.0	261	25	183	94	102	53	9	133	27	11	16	7	7	11	773	21	428	187	144	83	384	11	1146	50	736	29	385	754
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    22 лет / 12.0	70	7	73	36	40	18	3	35	8	7	7	2	2	3	151	17	136	60	60	25	75	10	440	36	229	15	74	262
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    23 лет / 13.0	21	4	44	23	24	13	0	10	14	11	12	6	7	8	64	9	75	42	30	18	27	3	96	17	124	9	37	55
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    24 лет / 14.0	0	3	27	12	11	5	2	0	2	11	12	4	5	1	12	3	33	16	15	7	5	2	30	7	53	3	29	16
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    25 лет / 15.0	2	6	19	9	6	2	1	1	4	2	3	0	0	2	8	4	18	11	10	7	3	4	8	7	30	3	15	6
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    26 лет / 16.0	2	3	11	2	5	1	1	0	5	3	3	1	1	1	1	2	9	4	6	3	1	0	5	7	28	5	17	0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    27 лет / 17.0	0	1	14	6	6	3	0	0	1	5	5	3	3	1	1	2	9	4	4	2	1	1	5	5	25	0	10	4
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    28 лет / 18.0	0	3	7	4	4	3	2	0	1	7	7	6	6	1	2	1	5	3	2	1	0	1	6	7	16	4	10	4
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    29 лет / 19.0	2	6	13	5	7	2	3	1	5	1	2	0	1	1	1	4	9	0	5	0	0	0	9	13	21	6	10	5
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    30-34 лет / 20.0	13	21	50	33	16	7	10	6	13	10	11	2	2	10	8	11	39	18	15	9	2	7	18	37	72	22	41	14
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    35-39 лет / 21.0	10	12	48	20	19	11	8	5	24	11	11	1	1	15	10	10	26	7	9	4	7	2	13	40	90	31	66	11
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    40 лет и старше / 22.0	20	8	46	23	23	11	6	16	38	31	32	14	14	20	6	15	33	12	17	7	2	8	21	26	69	18	54	14
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"    в том числе в возрасте (число полных лет
    на 1 января): в возрасте моложе 13 лет / 2.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Всего / 1.0	3575	4234	12892	3805	9542	2649	1128	1001	347	309	427	111	148	129	5323	9064	28779	15421	17059	9112	2927	5002	2443	2980	8331	1649	4595	1556
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    13 лет / 3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    14 лет / 4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    15 лет / 5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    16 лет / 6.0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    17 лет / 7.0	0	0	0	0	0	0	0	0	0	17	17	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    18 лет / 8.0	0	0	0	0	0	0	0	0	0	4	4	4	4	0	0	0	0	0	0	0	0	0	0	3	3	3	3	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    19 лет / 9.0	0	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	1	4	0	3	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    20 лет / 10.0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	11	22	8	17	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    21 лет / 11.0	0	0	0	0	0	0	0	0	0	2	1	2	1	0	0	0	0	0	0	0	0	0	4	7	25	6	23	4
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    22 лет / 12.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	10	23	6	19	13
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    23 лет / 13.0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	7	2	13	2	13	7
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    24 лет / 14.0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	6	2	7	1	6	5
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    25 лет / 15.0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	6	5	18	3	15	6
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    26 лет / 16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	11	4	10	7
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    27 лет / 17.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	8	2	8	4
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    28 лет / 18.0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	9	17	8	15	2
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    29 лет / 19.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	19	6	18	2
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    30-34 лет / 20.0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	38	31	106	28	99	35
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    35-39 лет / 21.0	0	0	0	0	0	0	0	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	42	48	113	41	105	41
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    40 лет и старше / 22.0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	68	79	142	69	130	65
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    в том числе в возрасте (число полных лет
    на 1 января): в возрасте моложе 13 лет / 2.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Всего / 1.0	0	0	0	0	0	0	0	0	0	40	39	27	26	0	0	0	0	0	0	0	0	0	200	222	531	187	484	191
Алтайский край	Частные; Заочная	    13 лет / 3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Заочная	    14 лет / 4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Заочная	    15 лет / 5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	2	1	0	1	0	0	0	0	0	0
Алтайский край	Частные; Заочная	    16 лет / 6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	17	12	17	12	0	10	0	0	0	0	0	0
Алтайский край	Частные; Заочная	    17 лет / 7.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	34	25	34	25	0	14	0	0	0	0	0	0
Алтайский край	Частные; Заочная	    18 лет / 8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	48	30	48	30	0	5	0	9	14	6	11	0
Алтайский край	Частные; Заочная	    19 лет / 9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	39	28	37	27	0	5	0	7	16	7	12	0
Алтайский край	Частные; Заочная	    20 лет / 10.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	41	31	40	30	3	7	1	10	24	5	17	1
Алтайский край	Частные; Заочная	    21 лет / 11.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	19	15	19	15	4	2	11	4	17	2	12	9
Алтайский край	Частные; Заочная	    22 лет / 12.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	5	4	5	4	2	1	5	4	15	2	5	3
Алтайский край	Частные; Заочная	    23 лет / 13.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	10	6	8	5	0	1	4	5	10	4	3	3
Алтайский край	Частные; Заочная	    24 лет / 14.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	8	5	6	3	2	0	4	3	10	2	4	1
Алтайский край	Частные; Заочная	    25 лет / 15.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	4	1	1	0	4	1	7	1	4	2
Алтайский край	Частные; Заочная	    26 лет / 16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	6	0	6	0	2	0	3	3	3	2	2	0
Алтайский край	Частные; Заочная	    27 лет / 17.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	3	3	3	1	1	1	4	8	1	3	1
Алтайский край	Частные; Заочная	    28 лет / 18.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	3	4	2	4	1
Алтайский край	Частные; Заочная	    29 лет / 19.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	5	3	0	0	3	2	8	2	5	2
Алтайский край	Частные; Заочная	    30-34 лет / 20.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	15	11	15	11	6	0	10	8	20	5	8	5
Алтайский край	Частные; Заочная	    35-39 лет / 21.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	8	7	8	7	1	1	9	4	8	3	6	4
Алтайский край	Частные; Заочная	    40 лет и старше / 22.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	3	5	7	3	5	2
Алтайский край	Частные; Заочная	"    в том числе в возрасте (число полных лет
    на 1 января): в возрасте моложе 13 лет / 2.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Заочная	Всего / 1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	74	267	182	260	177	23	48	60	72	171	47	101	34
Алтайский край	Частные; Очная	    13 лет / 3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очная	    14 лет / 4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очная	    15 лет / 5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	106	74	92	66	0	79	0	0	0	0	0	0
Алтайский край	Частные; Очная	    16 лет / 6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	508	609	392	468	302	0	331	0	0	0	0	0	0
Алтайский край	Частные; Очная	    17 лет / 7.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	219	697	403	410	239	1	124	0	43	42	25	25	0
Алтайский край	Частные; Очная	    18 лет / 8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	44	567	310	339	207	72	18	0	163	200	98	120	0
Алтайский край	Частные; Очная	    19 лет / 9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	11	241	137	97	58	111	5	35	20	156	8	81	24
Алтайский край	Частные; Очная	    20 лет / 10.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	6	88	44	37	17	57	2	60	11	74	8	37	39
Алтайский край	Частные; Очная	    21 лет / 11.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	2	14	2	3	0	9	0	48	4	20	0	4	28
Алтайский край	Частные; Очная	    22 лет / 12.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	6	5	3	3	3	2	7	3	4	0	1	2
Алтайский край	Частные; Очная	    23 лет / 13.0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	4	3	3	3	0	0	3	1	5	0	2	1
Алтайский край	Частные; Очная	    24 лет / 14.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	6	0	2	0
Алтайский край	Частные; Очная	    25 лет / 15.0	0	0	0	0	0	0	0	0	0	2	2	1	1	0	2	2	2	0	2	0	0	0	1	1	2	0	0	0
Алтайский край	Частные; Очная	    26 лет / 16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	1	0
Алтайский край	Частные; Очная	    27 лет / 17.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
Алтайский край	Частные; Очная	    28 лет / 18.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0
Алтайский край	Частные; Очная	    29 лет / 19.0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Алтайский край	Частные; Очная	    30-34 лет / 20.0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	2	0	2	0	0	0	0	3	13	0	2	0
Алтайский край	Частные; Очная	    35-39 лет / 21.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	3	9	0	0	0
Алтайский край	Частные; Очная	    40 лет и старше / 22.0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	6	5	1	1	0
Алтайский край	Частные; Очная	"    в том числе в возрасте (число полных лет
    на 1 января): в возрасте моложе 13 лет / 2.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очная	Всего / 1.0	0	0	0	0	0	0	0	0	0	7	7	2	2	0	432	908	2337	1370	1457	895	253	561	154	266	546	140	276	94
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	    13 лет / 3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	    14 лет / 4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	    15 лет / 5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	    16 лет / 6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	14	9	3	3	0	8	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	    17 лет / 7.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	29	13	7	5	0	8	0	4	5	3	3	0
