region	tags	indicator	"В том числе (из гр. 4)
по уровням подготовки  > базовый > 6.0"	"В том числе (из гр. 4)
по уровням подготовки  > углубленный > 7.0"	Выпуск ожидаемый с 01.10. прошлого года по 30.09. текущего года > всего > 9.0	Выпуск ожидаемый с 01.10. прошлого года по 30.09. текущего года > из них лица с ОВЗ, инвалиды, дети-инвалиды > 10.0	Выпуск фактический с 01.10. прошлого года по 30.09. текущего года > всего > 4.0	Выпуск фактический с 01.10. прошлого года по 30.09. текущего года > из них лица с ОВЗ, инвалиды, дети-инвалиды > 5.0	Из общего выпуска (из гр. 4) -женщины > 8.0
Белгородская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Всего по программам подготовки специалистов среднего звена (сумма строк 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Белгородская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Белгородская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Белгородская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Всего по программам подготовки специалистов среднего звена (сумма строк 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Белгородская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Белгородская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Белгородская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Всего по программам подготовки специалистов среднего звена (сумма строк 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Белгородская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Программы на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Белгородская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Программы на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Всего по программам подготовки специалистов среднего звена (сумма строк 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Монтаж и эксплуатация оборудования и систем газоснабжения / 2.0 / 08.02.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Всего по программам подготовки специалистов среднего звена (сумма строк 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Информационные системы (по отраслям) / 1.0 / 09.02.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Информационные системы (по отраслям) / 2.0 / 09.02.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Компьютерные сети / 1.0 / 09.02.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Компьютерные системы и комплексы / 1.0 / 09.02.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Механизация сельского хозяйства / 1.0 / 35.02.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Монтаж и эксплуатация оборудования и систем газоснабжения / 1.0 / 08.02.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Оснащение средствами автоматизации технологических процессов и производств (по отраслям) / 1.0 / 15.02.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Право и организация социального обеспечения / 1.0 / 40.02.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Право и организация социального обеспечения / 2.0 / 40.02.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программирование в компьютерных системах / 1.0 / 09.02.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программирование в компьютерных системах / 2.0 / 09.02.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей / 1.0 / 23.02.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Технология продукции общественного питания / 1.0 / 19.02.10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Технология продукции общественного питания / 2.0 / 19.02.10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Товароведение и экспертиза качества потребительских товаров / 1.0 / 38.02.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Товароведение и экспертиза качества потребительских товаров / 2.0 / 38.02.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Экономика и бухгалтерский учет (по отраслям) / 1.0 / 38.02.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Экономика и бухгалтерский учет (по отраслям) / 2.0 / 38.02.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Всего по программам подготовки специалистов среднего звена (сумма строк 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Всего по программам подготовки специалистов среднего звена (сумма строк 01, 02) / 3.0 / 0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
Владимирская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Монтаж и техническая эксплуатация промышленного оборудования (по отраслям) / 1.0 / 15.02.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Монтаж, техническое обслуживание и ремонт промышленного оборудования (по отраслям) / 1.0 / 15.02.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
Владимирская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
Владимирская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Теплоснабжение и теплотехническое оборудование / 1.0 / 13.02.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Технология производства и переработки пластических масс и эластомеров / 1.0 / 18.02.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Туризм / 1.0 / 43.02.10	0.0	0.0	2.0	0.0	0.0	0.0	0.0
Владимирская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Туризм / 2.0 / 43.02.10	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Владимирская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Химическая технология органических веществ / 1.0 / 18.02.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Экономика и бухгалтерский учет (по отраслям) / 2.0 / 38.02.01	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Владимирская область	Частные; Заочная	Всего по программам подготовки специалистов среднего звена (сумма строк 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Частные; Заочная	Программы на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Частные; Заочная	Программы на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Частные; Заочная	Туризм / 2.0 / 43.02.10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Частные; Заочная	Туризм и гостеприимство / 2.0 / 43.02.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Частные; Очная	Всего по программам подготовки специалистов среднего звена (сумма строк 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Частные; Очная	Программы на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Частные; Очная	Программы на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Частные; Очная	Туризм / 1.0 / 43.02.10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Частные; Очная	Туризм / 2.0 / 43.02.10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Частные; Очная	Туризм и гостеприимство / 1.0 / 43.02.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Частные; Очная	Туризм и гостеприимство / 2.0 / 43.02.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0
