region	tags	indicator	Всего (сумма граф 4-9) > 3.0	Из гр. 3 имеют педагогический стаж работы, всего (сумма гр.11-16) > 10.0	Не имеют педагоги-ческого стажа работы > 17.0	из гр. 10 – имеют педагогический стаж работы, лет > 20 и более > 16.0	из гр. 10 – имеют педагогический стаж работы, лет > до 3 > 11.0	из гр. 10 – имеют педагогический стаж работы, лет > от 10 до 15 > 14.0	из гр. 10 – имеют педагогический стаж работы, лет > от 15 до 20 > 15.0	из гр. 10 – имеют педагогический стаж работы, лет > от 3 до 5 > 12.0	из гр. 10 – имеют педагогический стаж работы, лет > от 5 до 10 > 13.0	из гр. 3 – имеют общий стаж работы, лет > 20 и более > 9.0	из гр. 3 – имеют общий стаж работы, лет > до 3 > 4.0	из гр. 3 – имеют общий стаж работы, лет > от 10 до 15 > 7.0	из гр. 3 – имеют общий стаж работы, лет > от 15 до 20 > 8.0	из гр. 3 – имеют общий стаж работы, лет > от 3 до 5 > 5.0	из гр. 3 – имеют общий стаж работы, лет > от 5 до 10 > 6.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"          из них: 
          общеобразовательных дисциплин / 8.0"	30	27	3	10	3	3	1	6	4	12	6	2	4	5	1
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"          математического и общего естественнонаучного
          учебного цикла / 10.0"	8	6	2	1	1	1	0	1	2	1	1	1	0	2	3
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"          общего гуманитарного и социально-
          экономического учебного цикла / 9.0"	15	14	1	2	4	4	1	2	1	6	2	6	0	0	1
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	          профессионального учебного цикла / 11.0	43	39	4	14	4	4	4	7	6	16	5	6	6	5	5
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"       в том числе: 
       преподаватели - всего (сумма строк 8-11) / 7.0"	96	86	10	27	12	12	6	16	13	35	14	15	10	12	10
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       заместители директора (начальника) / 4.0	6	4	2	3	0	1	0	0	0	4	0	1	1	0	0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"       из них: 
       директор (начальник) / 3.0"	4	3	1	3	0	0	0	0	0	3	0	0	1	0	0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       мастера производственного обучения / 12.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       методисты / 18.0	2	2	0	1	0	0	0	1	0	2	0	0	0	0	0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       педагоги-организаторы / 15.0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       педагоги-психологи / 14.0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"       преподаватели-организаторы (основ безопасности
       жизнедеятельности, допризывной подготовки) / 16.0"	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       прочие / 20.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       руководители физического воспитания / 17.0	2	2	0	1	1	0	0	0	0	2	0	0	0	0	0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       руководитель филиала / 5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       социальные педагоги / 13.0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       тьюторы / 19.0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"    в том числе: 
    педагогические работники - всего 
    (сумма строк 07,12-20) / 6.0"	105	94	11	29	16	13	6	17	13	40	15	16	10	14	10
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"    в том числе: 
    руководящие работники - всего / 2.0"	14	10	4	8	0	2	0	0	0	11	0	1	2	0	0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	    обслуживающий персонал / 22.0	25	2	23	0	1	0	0	1	0	18	3	2	1	1	0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	    учебно-вспомогательный персонал / 21.0	24	8	16	2	1	1	0	0	4	7	5	3	3	1	5
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 23.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 24.0	93	83	10	27	11	11	6	15	13	35	13	14	10	11	10
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 25.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 26.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников - всего (сумма строк 02, 06, 21, 22) / 1.0	168	114	54	39	18	16	6	18	17	76	23	22	16	16	15
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          из них: 
          общеобразовательных дисциплин / 8.0"	255	250	5	107	24	32	32	17	38	126	18	34	36	6	35
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          математического и общего естественнонаучного
          учебного цикла / 10.0"	62	60	2	15	3	18	13	3	8	21	4	16	11	1	9
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          общего гуманитарного и социально-
          экономического учебного цикла / 9.0"	97	96	1	41	6	11	17	7	14	46	2	13	16	6	14
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	          профессионального учебного цикла / 11.0	480	449	31	190	63	51	46	45	54	265	36	56	52	18	53
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       в том числе: 
       преподаватели - всего (сумма строк 8-11) / 7.0"	894	855	39	353	96	112	108	72	114	458	60	119	115	31	111
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       заместители директора (начальника) / 4.0	58	43	15	23	2	9	3	1	5	41	0	8	5	0	4
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       из них: 
       директор (начальник) / 3.0"	15	13	2	8	0	2	1	1	1	13	0	0	1	0	1
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       мастера производственного обучения / 12.0	121	118	3	37	24	19	15	9	14	74	9	9	17	2	10
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       методисты / 18.0	44	40	4	12	4	7	11	1	5	25	2	4	11	0	2
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       педагоги-организаторы / 15.0	26	22	4	3	7	2	2	5	3	6	6	4	4	1	5
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       педагоги-психологи / 14.0	24	24	0	8	7	3	1	2	3	9	6	1	3	2	3
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       преподаватели-организаторы (основ безопасности
       жизнедеятельности, допризывной подготовки) / 16.0"	11	11	0	1	3	1	1	3	2	9	0	0	1	0	1
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       прочие / 20.0	92	82	10	27	19	8	5	7	16	59	4	11	9	3	6
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       руководители физического воспитания / 17.0	5	5	0	3	0	1	0	1	0	3	0	1	0	0	1
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       руководитель филиала / 5.0	5	5	0	4	0	0	1	0	0	5	0	0	0	0	0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       социальные педагоги / 13.0	37	35	2	10	3	4	3	6	9	14	1	11	5	0	6
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       тьюторы / 19.0	2	2	0	0	0	1	0	0	1	0	0	1	0	0	1
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    в том числе: 
    педагогические работники - всего 
    (сумма строк 07,12-20) / 6.0"	1256	1194	62	454	163	158	146	106	167	657	88	161	165	39	146
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    в том числе: 
    руководящие работники - всего / 2.0"	177	112	65	54	7	20	11	6	14	130	0	15	23	0	9
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    обслуживающий персонал / 22.0	734	34	700	4	8	4	0	8	10	381	22	117	110	30	74
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    учебно-вспомогательный персонал / 21.0	111	16	95	6	5	1	0	3	1	46	15	17	10	8	15
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 23.0	159	144	15	62	15	22	16	8	21	82	8	25	20	8	16
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 24.0	655	632	23	265	72	75	85	51	84	339	44	83	89	18	82
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 25.0	77	76	1	20	16	14	12	5	9	50	3	5	11	2	6
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 26.0	21	21	0	6	6	2	1	3	3	10	4	2	3	0	2
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников - всего (сумма строк 02, 06, 21, 22) / 1.0	2278	1356	922	518	183	183	157	123	192	1214	125	310	308	77	244
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	"          из них: 
          общеобразовательных дисциплин / 8.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	"          математического и общего естественнонаучного
          учебного цикла / 10.0"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	"          общего гуманитарного и социально-
          экономического учебного цикла / 9.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	          профессионального учебного цикла / 11.0	5	5	0	1	0	1	1	0	2	3	0	1	0	0	1
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	"       в том числе: 
       преподаватели - всего (сумма строк 8-11) / 7.0"	6	5	1	1	0	1	1	0	2	3	0	1	0	0	2
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	       заместители директора (начальника) / 4.0	4	4	0	3	0	0	0	1	0	3	0	0	1	0	0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	"       из них: 
       директор (начальник) / 3.0"	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	       мастера производственного обучения / 12.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	       методисты / 18.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	       педагоги-организаторы / 15.0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	       педагоги-психологи / 14.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	"       преподаватели-организаторы (основ безопасности
       жизнедеятельности, допризывной подготовки) / 16.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	       прочие / 20.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	       руководители физического воспитания / 17.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	       руководитель филиала / 5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	       социальные педагоги / 13.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	       тьюторы / 19.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	"    в том числе: 
    педагогические работники - всего 
    (сумма строк 07,12-20) / 6.0"	7	6	1	1	0	1	1	0	3	3	0	1	1	0	2
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	"    в том числе: 
    руководящие работники - всего / 2.0"	5	5	0	4	0	0	0	1	0	4	0	0	1	0	0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	    обслуживающий персонал / 22.0	28	0	28	0	0	0	0	0	0	18	2	2	3	0	3
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	    учебно-вспомогательный персонал / 21.0	6	0	6	0	0	0	0	0	0	3	0	1	1	0	1
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 23.0	2	2	0	1	0	0	1	0	0	2	0	0	0	0	0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 24.0	4	3	1	0	0	1	0	0	2	1	0	1	0	0	2
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 25.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 26.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников - всего (сумма строк 02, 06, 21, 22) / 1.0	46	11	35	5	0	1	1	1	3	28	2	4	6	0	6
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          из них: 
          общеобразовательных дисциплин / 8.0"	371	369	2	166	28	59	43	31	42	208	20	54	48	15	26
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          математического и общего естественнонаучного
          учебного цикла / 10.0"	94	94	0	43	11	10	13	3	14	53	3	8	17	5	8
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          общего гуманитарного и социально-
          экономического учебного цикла / 9.0"	142	140	2	71	12	13	19	2	23	91	6	9	17	3	16
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	          профессионального учебного цикла / 11.0	653	649	4	244	102	77	84	29	113	384	37	67	87	9	69
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       в том числе: 
       преподаватели - всего (сумма строк 8-11) / 7.0"	1260	1252	8	524	153	159	159	65	192	736	66	138	169	32	119
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       заместители директора (начальника) / 4.0	120	89	31	54	4	9	6	4	12	91	0	8	19	0	2
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       из них: 
       директор (начальник) / 3.0"	36	33	3	23	2	4	2	1	1	32	0	3	1	0	0
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       мастера производственного обучения / 12.0	307	299	8	83	57	36	31	39	53	163	14	43	45	12	30
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       методисты / 18.0	34	32	2	11	6	5	4	3	3	18	0	5	8	2	1
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       педагоги-организаторы / 15.0	17	17	0	2	10	1	2	1	1	5	6	3	1	1	1
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       педагоги-психологи / 14.0	23	22	1	5	4	7	4	1	1	9	1	6	4	2	1
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       преподаватели-организаторы (основ безопасности
       жизнедеятельности, допризывной подготовки) / 16.0"	10	9	1	2	1	1	2	0	3	7	0	1	1	0	1
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       прочие / 20.0	151	137	14	68	14	16	13	11	15	103	1	15	19	2	11
