region	tags	indicator	Программы подготовки квалифицированных рабочих, служащих на базе основного общего образования > В том числе обучаются > за счет бюджетных ассигнований > бюджета субъекта Российской Федерации > 15.0	Программы подготовки квалифицированных рабочих, служащих на базе основного общего образования > В том числе обучаются > за счет бюджетных ассигнований > местного бюджета > 16.0	Программы подготовки квалифицированных рабочих, служащих на базе основного общего образования > В том числе обучаются > за счет бюджетных ассигнований > федерального бюджета > 14.0	Программы подготовки квалифицированных рабочих, служащих на базе основного общего образования > В том числе обучаются > по договорам об оказании платных образова-тельных услуг > 17.0	Программы подготовки квалифицированных рабочих, служащих на базе основного общего образования > Всего (сумма гр. 14–17) > 13.0	Программы подготовки квалифицированных рабочих, служащих на базе среднего общего образования > В том числе обучаются > за счет бюджетных ассигнований > бюджета субъекта Российской Федерации > 20.0	Программы подготовки квалифицированных рабочих, служащих на базе среднего общего образования > В том числе обучаются > за счет бюджетных ассигнований > местного бюджета > 21.0	Программы подготовки квалифицированных рабочих, служащих на базе среднего общего образования > В том числе обучаются > за счет бюджетных ассигнований > федерального бюджета > 19.0	Программы подготовки квалифицированных рабочих, служащих на базе среднего общего образования > В том числе обучаются > по договорам об оказании платных образова-тельных услуг > 22.0	Программы подготовки квалифицированных рабочих, служащих на базе среднего общего образования > Всего (сумма гр. 19–22) > 18.0	Программы подготовки специалистов среднего звена на базе основного общего образования > В том числе обучаются > за счет бюджетных ассигнований > бюджета субъекта Российской Федерации > 5.0	Программы подготовки специалистов среднего звена на базе основного общего образования > В том числе обучаются > за счет бюджетных ассигнований > местного бюджета > 6.0	Программы подготовки специалистов среднего звена на базе основного общего образования > В том числе обучаются > за счет бюджетных ассигнований > федерального бюджета > 4.0	Программы подготовки специалистов среднего звена на базе основного общего образования > В том числе обучаются > по договорам об оказании платных образова-тельных услуг > 7.0	Программы подготовки специалистов среднего звена на базе основного общего образования > Всего (сумма гр. 4–7) > 3.0	Программы подготовки специалистов среднего звена на базе среднего общего образования > В том числе обучаются > за счет бюджетных ассигнований > бюджета субъекта Российской Федерации > 10.0	Программы подготовки специалистов среднего звена на базе среднего общего образования > В том числе обучаются > за счет бюджетных ассигнований > местного бюджета > 11.0	Программы подготовки специалистов среднего звена на базе среднего общего образования > В том числе обучаются > за счет бюджетных ассигнований > федерального бюджета > 9.0	Программы подготовки специалистов среднего звена на базе среднего общего образования > В том числе обучаются > по договорам об оказании платных образовате-льных услуг > 12.0	Программы подготовки специалистов среднего звена на базе среднего общего образования > Всего (сумма гр. 9–12) > 8.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"Численность студентов на начало прошлого учебного года
(на 1 октября) / 17.0"	0	0	0	0	0	0	0	0	0	0	53	0	0	83	136	3015	0	297	1501	4813
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	            из стр. 11 - не прошли итоговую аттестацию / 12.0	24	0	0	2	26	0	0	0	0	0	3	0	0	3	6	2	0	0	0	2
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"            из стр. 11 – лица с ограниченными возможностями здоровья,
            инвалиды, дети-инвалиды / 13.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	         отчислено в виде меры дисциплинарного взыскания / 14.0	4	0	0	0	4	0	0	0	0	0	4	0	1	2	7	0	0	0	0	0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	         отчислено из-за просрочки оплаты обучения / 15.0	0	0	0	16	16	0	0	0	4	4	0	0	0	48	48	0	0	0	30	30
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"    в том числе:
    переведено на другие формы обучения данной
    организации на программы того же уровня / 7.0"	18	0	0	18	36	1	0	0	1	2	52	0	3	33	88	3	0	0	34	37
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"    в том числе:
    переведено с других форм обучения данной
    образовательной организации с программ того же уровня / 2.0"	38	0	0	0	38	2	0	0	0	2	46	0	3	4	53	14	0	4	4	22
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    восстановлены из числа ранее отчисленных / 4.0	30	0	0	2	32	1	0	0	0	1	71	0	1	43	115	13	0	6	20	39
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    выбыло по другим причинам / 16.0	155	0	0	14	169	2	0	0	0	2	125	0	2	134	261	21	0	1	63	85
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"    добровольно прекратили образовательные отношения
    (бросили учебу) / 10.0"	505	2	0	135	642	34	0	0	12	46	857	0	18	460	1335	295	0	48	233	576
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"    отчислено:
         по неуспеваемости / 11.0"	147	0	0	6	153	1	0	0	1	2	133	0	5	52	190	33	0	37	39	109
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"    переведено в другие образовательные организации
    на программы того же уровня / 8.0"	36	0	0	3	39	2	0	0	1	3	125	0	1	49	175	19	0	2	20	41
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"    переведено из других образовательных организаций 
    с программ того же уровня / 3.0"	37	0	0	5	42	0	0	0	1	1	71	0	0	52	123	9	0	0	8	17
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    по болезни / 9.0	3	0	0	0	3	0	0	0	0	0	1	0	0	2	3	0	0	10	58	68
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    прибыло по другим причинам / 5.0	96	0	0	9	105	5	0	0	8	13	139	0	3	46	188	35	0	9	20	64
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Выбыло студентов - всего (сумма стр. 07-11, 13-15) / 6.0	868	2	0	192	1062	40	0	0	19	59	1297	0	30	780	2107	371	0	98	477	946
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Прибыло студентов - всего (сумма стр. 02-05) / 1.0	201	0	0	16	217	8	0	0	9	17	327	0	7	145	479	71	0	19	52	142
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"Численность студентов на начало прошлого учебного года
(на 1 октября) / 17.0"	11480	25	183	1390	13078	364	0	49	94	507	16988	104	484	9090	26666	4117	0	570	3911	8598
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	            из стр. 11 - не прошли итоговую аттестацию / 12.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"            из стр. 11 – лица с ограниченными возможностями здоровья,
            инвалиды, дети-инвалиды / 13.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	         отчислено в виде меры дисциплинарного взыскания / 14.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	         отчислено из-за просрочки оплаты обучения / 15.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    в том числе:
    переведено на другие формы обучения данной
    организации на программы того же уровня / 7.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    в том числе:
    переведено с других форм обучения данной
    образовательной организации с программ того же уровня / 2.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	7
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    восстановлены из числа ранее отчисленных / 4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    выбыло по другим причинам / 16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    добровольно прекратили образовательные отношения
    (бросили учебу) / 10.0"	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	9	0	0	29	38
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    отчислено:
         по неуспеваемости / 11.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	4
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    переведено в другие образовательные организации
    на программы того же уровня / 8.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    переведено из других образовательных организаций 
    с программ того же уровня / 3.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    по болезни / 9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    прибыло по другим причинам / 5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Выбыло студентов - всего (сумма стр. 07-11, 13-15) / 6.0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	13	0	0	35	48
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Прибыло студентов - всего (сумма стр. 02-05) / 1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	3	8
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"Численность студентов на начало прошлого учебного года
(на 1 октября) / 17.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	395	549
Алтайский край	Частные; Заочная	            из стр. 11 - не прошли итоговую аттестацию / 12.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1
Алтайский край	Частные; Заочная	"            из стр. 11 – лица с ограниченными возможностями здоровья,
            инвалиды, дети-инвалиды / 13.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Заочная	         отчислено в виде меры дисциплинарного взыскания / 14.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Заочная	         отчислено из-за просрочки оплаты обучения / 15.0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	0	0	0	5	5
Алтайский край	Частные; Заочная	"    в том числе:
    переведено на другие формы обучения данной
    организации на программы того же уровня / 7.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Заочная	"    в том числе:
    переведено с других форм обучения данной
    образовательной организации с программ того же уровня / 2.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	29	29	0	0	0	6	6
Алтайский край	Частные; Заочная	    восстановлены из числа ранее отчисленных / 4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	4	4
Алтайский край	Частные; Заочная	    выбыло по другим причинам / 16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	13	13
Алтайский край	Частные; Заочная	"    добровольно прекратили образовательные отношения
    (бросили учебу) / 10.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	15	15	0	0	0	2	2
Алтайский край	Частные; Заочная	"    отчислено:
         по неуспеваемости / 11.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	10	10
Алтайский край	Частные; Заочная	"    переведено в другие образовательные организации
    на программы того же уровня / 8.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	11	11
Алтайский край	Частные; Заочная	"    переведено из других образовательных организаций 
    с программ того же уровня / 3.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	1	1
Алтайский край	Частные; Заочная	    по болезни / 9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	1	1
Алтайский край	Частные; Заочная	    прибыло по другим причинам / 5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Заочная	Выбыло студентов - всего (сумма стр. 07-11, 13-15) / 6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	55	0	0	0	42	42
Алтайский край	Частные; Заочная	Прибыло студентов - всего (сумма стр. 02-05) / 1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	41	0	0	0	11	11
Алтайский край	Частные; Заочная	"Численность студентов на начало прошлого учебного года
(на 1 октября) / 17.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	238	238	0	0	0	190	190
Алтайский край	Частные; Очная	            из стр. 11 - не прошли итоговую аттестацию / 12.0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	3	3
Алтайский край	Частные; Очная	"            из стр. 11 – лица с ограниченными возможностями здоровья,
            инвалиды, дети-инвалиды / 13.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очная	         отчислено в виде меры дисциплинарного взыскания / 14.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Алтайский край	Частные; Очная	         отчислено из-за просрочки оплаты обучения / 15.0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	38	0	0	0	11	11
Алтайский край	Частные; Очная	"    в том числе:
    переведено на другие формы обучения данной
    организации на программы того же уровня / 7.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	33	33	0	0	0	3	3
Алтайский край	Частные; Очная	"    в том числе:
    переведено с других форм обучения данной
    образовательной организации с программ того же уровня / 2.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0
Алтайский край	Частные; Очная	    восстановлены из числа ранее отчисленных / 4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	26	0	0	0	4	4
Алтайский край	Частные; Очная	    выбыло по другим причинам / 16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	59	0	0	0	21	21
Алтайский край	Частные; Очная	"    добровольно прекратили образовательные отношения
    (бросили учебу) / 10.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	99	99	0	0	0	17	17
Алтайский край	Частные; Очная	"    отчислено:
         по неуспеваемости / 11.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	42	42	0	0	0	8	8
Алтайский край	Частные; Очная	"    переведено в другие образовательные организации
    на программы того же уровня / 8.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	32	32	0	0	0	7	7
Алтайский край	Частные; Очная	"    переведено из других образовательных организаций 
    с программ того же уровня / 3.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	11	11
Алтайский край	Частные; Очная	    по болезни / 9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очная	    прибыло по другим причинам / 5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	37	0	0	0	11	11
Алтайский край	Частные; Очная	Выбыло студентов - всего (сумма стр. 07-11, 13-15) / 6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	304	0	0	0	67	67
Алтайский край	Частные; Очная	Прибыло студентов - всего (сумма стр. 02-05) / 1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	81	0	0	0	26	26
Алтайский край	Частные; Очная	"Численность студентов на начало прошлого учебного года
(на 1 октября) / 17.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	2084	2084	0	0	0	475	475
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	            из стр. 11 - не прошли итоговую аттестацию / 12.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"            из стр. 11 – лица с ограниченными возможностями здоровья,
            инвалиды, дети-инвалиды / 13.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	         отчислено в виде меры дисциплинарного взыскания / 14.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	         отчислено из-за просрочки оплаты обучения / 15.0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	42	0	0	0	50	50
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"    в том числе:
    переведено на другие формы обучения данной
    организации на программы того же уровня / 7.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	1	18	19
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"    в том числе:
    переведено с других форм обучения данной
    образовательной организации с программ того же уровня / 2.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	77	77	1	0	11	24	36
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	    восстановлены из числа ранее отчисленных / 4.0	0	0	0	0	0	0	0	0	0	0	10	0	0	59	69	3	0	3	39	45
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	    выбыло по другим причинам / 16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	44	4	0	18	59	81
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"    добровольно прекратили образовательные отношения
    (бросили учебу) / 10.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	42	42	15	0	24	41	80
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"    отчислено:
         по неуспеваемости / 11.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	15	15	4	0	3	20	27
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"    переведено в другие образовательные организации
    на программы того же уровня / 8.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	1	0	0	0	1
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"    переведено из других образовательных организаций 
    с программ того же уровня / 3.0"	0	0	0	0	0	0	0	0	0	0	9	0	0	4	13	0	0	0	7	7
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	    по болезни / 9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	    прибыло по другим причинам / 5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	11	16
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Выбыло студентов - всего (сумма стр. 07-11, 13-15) / 6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	154	24	0	46	188	258
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Прибыло студентов - всего (сумма стр. 02-05) / 1.0	0	0	0	0	0	0	0	0	0	0	19	0	0	140	159	9	0	14	81	104
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"Численность студентов на начало прошлого учебного года
(на 1 октября) / 17.0"	0	0	0	0	0	0	0	0	0	0	74	0	0	758	832	279	0	456	1149	1884
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	            из стр. 11 - не прошли итоговую аттестацию / 12.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"            из стр. 11 – лица с ограниченными возможностями здоровья,
            инвалиды, дети-инвалиды / 13.0"	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	         отчислено в виде меры дисциплинарного взыскания / 14.0	18	0	0	0	18	0	0	0	0	0	27	0	5	6	38	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	         отчислено из-за просрочки оплаты обучения / 15.0	0	0	0	2	2	0	0	0	0	0	0	0	0	50	50	0	0	0	29	29
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"    в том числе:
    переведено на другие формы обучения данной
    организации на программы того же уровня / 7.0"	1	0	0	0	1	0	0	0	0	0	63	0	11	135	209	5	0	0	18	23
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"    в том числе:
    переведено с других форм обучения данной
    образовательной организации с программ того же уровня / 2.0"	0	0	0	0	0	0	0	0	0	0	30	0	21	65	116	6	0	2	1	9
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    восстановлены из числа ранее отчисленных / 4.0	7	0	3	0	10	0	0	0	0	0	28	0	6	70	104	2	0	0	15	17
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    выбыло по другим причинам / 16.0	24	0	0	0	24	8	0	0	0	8	81	0	78	106	265	22	0	9	13	44
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"    добровольно прекратили образовательные отношения
    (бросили учебу) / 10.0"	277	0	35	18	330	12	0	0	0	12	271	0	127	248	646	50	0	13	61	124
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"    отчислено:
         по неуспеваемости / 11.0"	64	0	10	0	74	4	0	0	0	4	116	0	28	44	188	3	0	4	17	24
