region	tags	indicator	В том числе на уровне подготовки: > базовом > 6.0	В том числе на уровне подготовки: > углубленном > 7.0	Из общего приема (из гр. 4) – женщины > 8.0	Принято  > Всего > 4.0	Принято  > из них лица с ОВЗ, инвалиды, дети-инвалиды > 5.0
Алтайский край	Частные; Очная	Программы подготовки специалистов среднего звена: на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Очная	Программы подготовки специалистов среднего звена: на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Всего по программам подготовки специалистов среднего звена (сумма стр. 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы подготовки специалистов среднего звена: на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы подготовки специалистов среднего звена: на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Всего по программам подготовки специалистов среднего звена (сумма стр. 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы подготовки специалистов среднего звена: на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы подготовки специалистов среднего звена: на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Сестринское дело / 1.0 / 34.02.01	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Всего по программам подготовки специалистов среднего звена (сумма стр. 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Поварское и кондитерское дело / 2.0 / 43.02.15	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы подготовки специалистов среднего звена: на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы подготовки специалистов среднего звена: на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей / 1.0 / 23.02.07	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Экономика и бухгалтерский учет (по отраслям) / 2.0 / 38.02.01	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Всего по программам подготовки специалистов среднего звена (сумма стр. 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы подготовки специалистов среднего звена: на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы подготовки специалистов среднего звена: на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Заочная	Всего по программам подготовки специалистов среднего звена (сумма стр. 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Заочная	Программы подготовки специалистов среднего звена: на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Заочная	Программы подготовки специалистов среднего звена: на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Очная	Банковское дело / 1.0 / 38.02.07	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Очная	Банковское дело / 2.0 / 38.02.07	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Очная	Всего по программам подготовки специалистов среднего звена (сумма стр. 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Очная	Информационные системы и программирование / 1.0 / 09.02.07	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Очная	Информационные системы и программирование / 2.0 / 09.02.07	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Очная	Право и организация социального обеспечения / 1.0 / 40.02.01	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Очная	Право и организация социального обеспечения / 2.0 / 40.02.01	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Очная	Программы подготовки специалистов среднего звена: на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Очная	Программы подготовки специалистов среднего звена: на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Очная	Юриспруденция / 1.0 / 40.02.04	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Очная	Юриспруденция / 2.0 / 40.02.04	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Очно-заочная	Всего по программам подготовки специалистов среднего звена (сумма стр. 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Очно-заочная	Программы подготовки специалистов среднего звена: на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Очно-заочная	Программы подготовки специалистов среднего звена: на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Всего по программам подготовки специалистов среднего звена (сумма стр. 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы подготовки специалистов среднего звена: на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы подготовки специалистов среднего звена: на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Всего по программам подготовки специалистов среднего звена (сумма стр. 01, 02) / 3.0 / 0.0	1.0	0.0	1.0	1.0	0.0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Поварское и кондитерское дело / 1.0 / 43.02.15	1.0	0.0	1.0	1.0	0.0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы подготовки специалистов среднего звена: на базе основного общего образования - всего / 1.0 / 0.0	1.0	0.0	1.0	1.0	0.0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы подготовки специалистов среднего звена: на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Всего по программам подготовки специалистов среднего звена (сумма стр. 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Программы подготовки специалистов среднего звена: на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Программы подготовки специалистов среднего звена: на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Частные; Заочная	Всего по программам подготовки специалистов среднего звена (сумма стр. 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Частные; Заочная	Программы подготовки специалистов среднего звена: на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Частные; Заочная	Программы подготовки специалистов среднего звена: на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Частные; Очная	Всего по программам подготовки специалистов среднего звена (сумма стр. 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Частные; Очная	Программы подготовки специалистов среднего звена: на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Частные; Очная	Программы подготовки специалистов среднего звена: на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Белгородская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Всего по программам подготовки специалистов среднего звена (сумма стр. 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Белгородская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Документационное обеспечение управления и архивоведение / 1.0 / 46.02.01	0.0	0.0	0.0	0.0	0.0
Белгородская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы подготовки специалистов среднего звена: на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Белгородская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы подготовки специалистов среднего звена: на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Белгородская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Сетевое и системное администрирование / 1.0 / 09.02.06	0.0	0.0	0.0	0.0	0.0
Белгородская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Всего по программам подготовки специалистов среднего звена (сумма стр. 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Белгородская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Программы подготовки специалистов среднего звена: на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Белгородская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Программы подготовки специалистов среднего звена: на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Всего по программам подготовки специалистов среднего звена (сумма стр. 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Монтаж и эксплуатация оборудования и систем газоснабжения / 2.0 / 08.02.08	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы подготовки специалистов среднего звена: на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы подготовки специалистов среднего звена: на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей / 2.0 / 23.02.07	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Всего по программам подготовки специалистов среднего звена (сумма стр. 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Информационные системы и программирование / 1.0 / 09.02.07	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Информационные системы и программирование / 2.0 / 09.02.07	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Компьютерные системы и комплексы / 1.0 / 09.02.01	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Монтаж и эксплуатация оборудования и систем газоснабжения / 1.0 / 08.02.08	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Оснащение средствами автоматизации технологических процессов и производств (по отраслям) / 1.0 / 15.02.14	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Поварское и кондитерское дело / 1.0 / 43.02.15	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Право и организация социального обеспечения / 1.0 / 40.02.01	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Право и организация социального обеспечения / 2.0 / 40.02.01	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы подготовки специалистов среднего звена: на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы подготовки специалистов среднего звена: на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Сетевое и системное администрирование / 1.0 / 09.02.06	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей / 1.0 / 23.02.07	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Товароведение и экспертиза качества потребительских товаров / 1.0 / 38.02.05	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Товароведение и экспертиза качества потребительских товаров / 2.0 / 38.02.05	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Туризм и гостеприимство / 1.0 / 43.02.16	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Экономика и бухгалтерский учет (по отраслям) / 1.0 / 38.02.01	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Экономика и бухгалтерский учет (по отраслям) / 2.0 / 38.02.01	0.0	0.0	0.0	0.0	0.0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Эксплуатация и ремонт сельскохозяйственной техники и оборудования / 1.0 / 35.02.16	0.0	0.0	0.0	0.0	0.0
Брянская область	Частные; Очная	Всего по программам подготовки специалистов среднего звена (сумма стр. 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Частные; Очная	Программы подготовки специалистов среднего звена: на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	Частные; Очная	Программы подготовки специалистов среднего звена: на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Всего по программам подготовки специалистов среднего звена (сумма стр. 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы подготовки специалистов среднего звена: на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы подготовки специалистов среднего звена: на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Всего по программам подготовки специалистов среднего звена (сумма стр. 01, 02) / 3.0 / 0.0	1.0	0.0	1.0	1.0	0.0
Владимирская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Монтаж, техническое обслуживание и ремонт промышленного оборудования (по отраслям) / 1.0 / 15.02.12	0.0	0.0	0.0	0.0	0.0
Владимирская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы подготовки специалистов среднего звена: на базе основного общего образования - всего / 1.0 / 0.0	1.0	0.0	1.0	1.0	0.0
Владимирская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы подготовки специалистов среднего звена: на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Теплоснабжение и теплотехническое оборудование / 1.0 / 13.02.02	0.0	0.0	0.0	0.0	0.0
Владимирская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Технология производства и переработки пластических масс и эластомеров / 1.0 / 18.02.07	0.0	0.0	0.0	0.0	0.0
Владимирская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Физическая культура / 1.0 / 49.02.01	1.0	0.0	1.0	1.0	0.0
Владимирская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Химическая технология органических веществ / 1.0 / 18.02.06	0.0	0.0	0.0	0.0	0.0
Владимирская область	Частные; Заочная	Всего по программам подготовки специалистов среднего звена (сумма стр. 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Частные; Заочная	Программы подготовки специалистов среднего звена: на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Частные; Заочная	Программы подготовки специалистов среднего звена: на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Частные; Заочная	Туризм / 2.0 / 43.02.10	0.0	0.0	0.0	0.0	0.0
Владимирская область	Частные; Заочная	Туризм и гостеприимство / 2.0 / 43.02.16	0.0	0.0	0.0	0.0	0.0
Владимирская область	Частные; Очная	Всего по программам подготовки специалистов среднего звена (сумма стр. 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Частные; Очная	Программы подготовки специалистов среднего звена: на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Частные; Очная	Программы подготовки специалистов среднего звена: на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	Частные; Очная	Туризм / 1.0 / 43.02.10	0.0	0.0	0.0	0.0	0.0
Владимирская область	Частные; Очная	Туризм / 2.0 / 43.02.10	0.0	0.0	0.0	0.0	0.0
Владимирская область	Частные; Очная	Туризм и гостеприимство / 1.0 / 43.02.16	0.0	0.0	0.0	0.0	0.0
Владимирская область	Частные; Очная	Туризм и гостеприимство / 2.0 / 43.02.16	0.0	0.0	0.0	0.0	0.0
Волгоградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Всего по программам подготовки специалистов среднего звена (сумма стр. 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Волгоградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Гостиничное дело / 2.0 / 43.02.14	0.0	0.0	0.0	0.0	0.0
Волгоградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Документационное обеспечение управления и архивоведение / 1.0 / 46.02.01	0.0	0.0	0.0	0.0	0.0
Волгоградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Документационное обеспечение управления и архивоведение / 2.0 / 46.02.01	0.0	0.0	0.0	0.0	0.0
Волгоградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Монтаж, техническое обслуживание и ремонт промышленного оборудования (по отраслям) / 1.0 / 15.02.12	0.0	0.0	0.0	0.0	0.0
Волгоградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Право и организация социального обеспечения / 1.0 / 40.02.01	0.0	0.0	0.0	0.0	0.0
Волгоградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Право и организация социального обеспечения / 2.0 / 40.02.01	0.0	0.0	0.0	0.0	0.0
Волгоградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Правоохранительная деятельность / 1.0 / 40.02.02	0.0	0.0	0.0	0.0	0.0
Волгоградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы подготовки специалистов среднего звена: на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Волгоградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы подготовки специалистов среднего звена: на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Волгоградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Реклама / 1.0 / 42.02.01	0.0	0.0	0.0	0.0	0.0
Волгоградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Реклама / 2.0 / 42.02.01	0.0	0.0	0.0	0.0	0.0
Волгоградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Страховое дело (по отраслям) / 1.0 / 38.02.02	0.0	0.0	0.0	0.0	0.0
Волгоградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Страховое дело (по отраслям) / 2.0 / 38.02.02	0.0	0.0	0.0	0.0	0.0
Волгоградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей / 1.0 / 23.02.07	0.0	0.0	0.0	0.0	0.0
Волгоградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей / 2.0 / 23.02.07	0.0	0.0	0.0	0.0	0.0
