region	tags	indicator	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > обучение за счет бюджетных ассигнований > подано заявлений > 11.0	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > обучение за счет бюджетных ассигнований > принято > 12.0	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > обучение по договорам об оказании платных образовательных услуг > подано заявлений > 13.0	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > обучение по договорам об оказании платных образовательных услуг > принято > 14.0	Программы подготовки квалифицированных рабочих, служащих > на базе среднего общего образования > обучение за счет бюджетных ассигнований > подано заявлений > 15.0	Программы подготовки квалифицированных рабочих, служащих > на базе среднего общего образования > обучение за счет бюджетных ассигнований > принято > 16.0	Программы подготовки квалифицированных рабочих, служащих > на базе среднего общего образования > обучение по договорам об оказании платных образовательных услуг > подано заявлений > 17.0	Программы подготовки квалифицированных рабочих, служащих > на базе среднего общего образования > обучение по договорам об оказании платных образовательных услуг > принято > 18.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > обучение за счет бюджетных ассигнований > подано заявлений > 3.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > обучение за счет бюджетных ассигнований > принято > 4.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > обучение по договорам об оказании платных образовательных услуг > подано заявлений > 5.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > обучение по договорам об оказании платных образовательных услуг > принято > 6.0	Программы подготовки специалистов среднего звена > на базе среднего общего образования > обучение за счет бюджетных ассигнований > подано заявлений > 7.0	Программы подготовки специалистов среднего звена > на базе среднего общего образования > обучение за счет бюджетных ассигнований > принято > 8.0	Программы подготовки специалистов среднего звена > на базе среднего общего образования > обучение по договорам об оказании платных образовательных услуг > подано заявлений > 9.0	Программы подготовки специалистов среднего звена > на базе среднего общего образования > обучение по договорам об оказании платных образовательных услуг > принято > 10.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"       из них полученного за период с 1 октября прошлого года
       по 30 сентября текущего года / 9.0"	0	0	0	0	0	0	0	0	0	0	0	0	15	6	5	3
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	       магистра / 16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"    в том числе поступали на базе образования: 
    основного общего (для граф 3-6, 11-14) или 
    среднего общего (для граф 7-10, 15-18) / 2.0"	0	0	0	0	0	0	0	0	35	35	24	22	878	729	389	248
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"    высшего, подтвержденного дипломом: 
       бакалавра / 12.0"	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"    среднего профессионального по программам подготовки
    квалифицированных рабочих, служащих / 8.0"	0	0	0	0	0	0	0	0	0	0	0	0	92	80	28	23
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"    среднего профессионального по программам подготовки
    специалистов среднего звена / 10.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Всего (сумма стр. 02, 08, 10, 12, 14, 16) / 1.0	0	0	0	0	0	0	0	0	35	35	24	22	980	819	435	289
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"                из них отдельных общеобразовательных организаций,
                осуществляющих обучение по адаптированным 
                основным общеобразовательным программам / 5.0"	10	10	0	0	0	0	0	0	1	1	11	3	0	0	1295	357
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"            других организаций, осуществляющих образователь-
            ную деятельность по программам основного и (или)
            среднего общего образования / 7.0"	25	25	0	0	25	25	1	1	62	38	136	94	61	21	65	27
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"            из строки 03 - выпускники: 
            общеобразовательных организаций / 4.0"	4524	3206	528	489	334	195	83	81	10343	4541	6144	2965	4748	1185	3797	1376
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"            специальных учебно-воспитательных учреждений для
            обучающихся с девиантным (общественно-опасным)
            поведением / 6.0"	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"           из них полученного за период с 1 октября прошлого
           года по 30 сентября текущего года / 13.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"           из них полученного за период с 1 октября прошлого
           года по 30 сентября текущего года / 15.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"           из них полученного за период с 1 октября прошлого
           года по 30 сентября текущего года / 17.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"         из них полученного за период с 1 октября прошлого года
         по 30 сентября текущего года (сумма стр. 04, 06, 07) / 3.0"	4549	3231	528	489	359	220	84	82	10406	4580	6280	3059	4809	1206	3862	1403
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	        специалиста / 14.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"       из них полученного за период с 1 октября прошлого года
       по 30 сентября текущего года / 11.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	10
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"       из них полученного за период с 1 октября прошлого года
       по 30 сентября текущего года / 9.0"	0	0	0	0	0	0	0	0	7	7	4	3	24	8	15	2
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	       магистра / 16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"    в том числе поступали на базе образования: 
    основного общего (для граф 3-6, 11-14) или 
    среднего общего (для граф 7-10, 15-18) / 2.0"	5274	3680	602	547	377	225	88	84	12906	5484	6962	3570	5232	1404	4280	1526
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"    высшего, подтвержденного дипломом: 
       бакалавра / 12.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"    среднего профессионального по программам подготовки
    квалифицированных рабочих, служащих / 8.0"	0	0	7	7	0	0	0	0	8	7	4	3	39	14	17	5
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"    среднего профессионального по программам подготовки
    специалистов среднего звена / 10.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	28
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Всего (сумма стр. 02, 08, 10, 12, 14, 16) / 1.0	5274	3680	609	554	377	225	88	84	12914	5491	6966	3573	5271	1418	4351	1562
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"                из них отдельных общеобразовательных организаций,
                осуществляющих обучение по адаптированным 
                основным общеобразовательным программам / 5.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"            других организаций, осуществляющих образователь-
            ную деятельность по программам основного и (или)
            среднего общего образования / 7.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"            из строки 03 - выпускники: 
            общеобразовательных организаций / 4.0"	0	0	0	0	0	0	60	40	0	0	0	0	19	3	43	7
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"            специальных учебно-воспитательных учреждений для
            обучающихся с девиантным (общественно-опасным)
            поведением / 6.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"           из них полученного за период с 1 октября прошлого
           года по 30 сентября текущего года / 13.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"           из них полученного за период с 1 октября прошлого
           года по 30 сентября текущего года / 15.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"           из них полученного за период с 1 октября прошлого
           года по 30 сентября текущего года / 17.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"         из них полученного за период с 1 октября прошлого года
         по 30 сентября текущего года (сумма стр. 04, 06, 07) / 3.0"	0	0	0	0	0	0	60	40	0	0	0	0	19	3	43	7
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	        специалиста / 14.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       из них полученного за период с 1 октября прошлого года
       по 30 сентября текущего года / 11.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	7
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       из них полученного за период с 1 октября прошлого года
       по 30 сентября текущего года / 9.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       магистра / 16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    в том числе поступали на базе образования: 
    основного общего (для граф 3-6, 11-14) или 
    среднего общего (для граф 7-10, 15-18) / 2.0"	0	0	0	0	0	0	60	40	0	0	0	0	124	41	137	81
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    высшего, подтвержденного дипломом: 
       бакалавра / 12.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    среднего профессионального по программам подготовки
    квалифицированных рабочих, служащих / 8.0"	0	0	0	0	0	0	0	0	0	0	0	0	14	4	9	6
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    среднего профессионального по программам подготовки
    специалистов среднего звена / 10.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	90
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Всего (сумма стр. 02, 08, 10, 12, 14, 16) / 1.0	0	0	0	0	0	0	60	40	0	0	0	0	138	45	249	177
Алтайский край	Частные; Заочная	"                из них отдельных общеобразовательных организаций,
                осуществляющих обучение по адаптированным 
                основным общеобразовательным программам / 5.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Заочная	"            других организаций, осуществляющих образователь-
            ную деятельность по программам основного и (или)
            среднего общего образования / 7.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Заочная	"            из строки 03 - выпускники: 
            общеобразовательных организаций / 4.0"	0	0	0	0	0	0	0	0	0	0	78	74	0	0	70	59
Алтайский край	Частные; Заочная	"            специальных учебно-воспитательных учреждений для
            обучающихся с девиантным (общественно-опасным)
            поведением / 6.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Заочная	"           из них полученного за период с 1 октября прошлого
           года по 30 сентября текущего года / 13.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Заочная	"           из них полученного за период с 1 октября прошлого
           года по 30 сентября текущего года / 15.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Заочная	"           из них полученного за период с 1 октября прошлого
           года по 30 сентября текущего года / 17.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Заочная	"         из них полученного за период с 1 октября прошлого года
         по 30 сентября текущего года (сумма стр. 04, 06, 07) / 3.0"	0	0	0	0	0	0	0	0	0	0	78	74	0	0	70	59
Алтайский край	Частные; Заочная	        специалиста / 14.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Заочная	"       из них полученного за период с 1 октября прошлого года
       по 30 сентября текущего года / 11.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Заочная	"       из них полученного за период с 1 октября прошлого года
       по 30 сентября текущего года / 9.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Заочная	       магистра / 16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Заочная	"    в том числе поступали на базе образования: 
    основного общего (для граф 3-6, 11-14) или 
    среднего общего (для граф 7-10, 15-18) / 2.0"	0	0	0	0	0	0	0	0	0	0	79	74	0	0	87	72
Алтайский край	Частные; Заочная	"    высшего, подтвержденного дипломом: 
       бакалавра / 12.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Заочная	"    среднего профессионального по программам подготовки
    квалифицированных рабочих, служащих / 8.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Заочная	"    среднего профессионального по программам подготовки
    специалистов среднего звена / 10.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Заочная	Всего (сумма стр. 02, 08, 10, 12, 14, 16) / 1.0	0	0	0	0	0	0	0	0	0	0	79	74	0	0	87	72
Алтайский край	Частные; Очная	"                из них отдельных общеобразовательных организаций,
                осуществляющих обучение по адаптированным 
                основным общеобразовательным программам / 5.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очная	"            других организаций, осуществляющих образователь-
            ную деятельность по программам основного и (или)
            среднего общего образования / 7.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очная	"            из строки 03 - выпускники: 
            общеобразовательных организаций / 4.0"	0	0	0	0	0	0	7	7	0	0	1033	901	0	0	351	254
Алтайский край	Частные; Очная	"            специальных учебно-воспитательных учреждений для
            обучающихся с девиантным (общественно-опасным)
            поведением / 6.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очная	"           из них полученного за период с 1 октября прошлого
           года по 30 сентября текущего года / 13.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очная	"           из них полученного за период с 1 октября прошлого
           года по 30 сентября текущего года / 15.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очная	"           из них полученного за период с 1 октября прошлого
           года по 30 сентября текущего года / 17.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очная	"         из них полученного за период с 1 октября прошлого года
         по 30 сентября текущего года (сумма стр. 04, 06, 07) / 3.0"	0	0	0	0	0	0	7	7	0	0	1033	901	0	0	351	254
Алтайский край	Частные; Очная	        специалиста / 14.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очная	"       из них полученного за период с 1 октября прошлого года
       по 30 сентября текущего года / 11.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очная	"       из них полученного за период с 1 октября прошлого года
       по 30 сентября текущего года / 9.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очная	       магистра / 16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очная	"    в том числе поступали на базе образования: 
    основного общего (для граф 3-6, 11-14) или 
    среднего общего (для граф 7-10, 15-18) / 2.0"	0	0	0	0	0	0	7	7	0	0	1047	908	0	0	363	266
Алтайский край	Частные; Очная	"    высшего, подтвержденного дипломом: 
       бакалавра / 12.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очная	"    среднего профессионального по программам подготовки
    квалифицированных рабочих, служащих / 8.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очная	"    среднего профессионального по программам подготовки
    специалистов среднего звена / 10.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очная	Всего (сумма стр. 02, 08, 10, 12, 14, 16) / 1.0	0	0	0	0	0	0	7	7	0	0	1047	908	0	0	363	266
Алтайский край	Частные; Очно-заочная	"                из них отдельных общеобразовательных организаций,
                осуществляющих обучение по адаптированным 
                основным общеобразовательным программам / 5.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очно-заочная	"            других организаций, осуществляющих образователь-
            ную деятельность по программам основного и (или)
            среднего общего образования / 7.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очно-заочная	"            из строки 03 - выпускники: 
            общеобразовательных организаций / 4.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очно-заочная	"            специальных учебно-воспитательных учреждений для
            обучающихся с девиантным (общественно-опасным)
            поведением / 6.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очно-заочная	"           из них полученного за период с 1 октября прошлого
           года по 30 сентября текущего года / 13.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очно-заочная	"           из них полученного за период с 1 октября прошлого
           года по 30 сентября текущего года / 15.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очно-заочная	"           из них полученного за период с 1 октября прошлого
           года по 30 сентября текущего года / 17.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очно-заочная	"         из них полученного за период с 1 октября прошлого года
         по 30 сентября текущего года (сумма стр. 04, 06, 07) / 3.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очно-заочная	        специалиста / 14.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очно-заочная	"       из них полученного за период с 1 октября прошлого года
       по 30 сентября текущего года / 11.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очно-заочная	"       из них полученного за период с 1 октября прошлого года
       по 30 сентября текущего года / 9.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очно-заочная	       магистра / 16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очно-заочная	"    в том числе поступали на базе образования: 
    основного общего (для граф 3-6, 11-14) или 
    среднего общего (для граф 7-10, 15-18) / 2.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очно-заочная	"    высшего, подтвержденного дипломом: 
       бакалавра / 12.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очно-заочная	"    среднего профессионального по программам подготовки
    квалифицированных рабочих, служащих / 8.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очно-заочная	"    среднего профессионального по программам подготовки
    специалистов среднего звена / 10.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очно-заочная	Всего (сумма стр. 02, 08, 10, 12, 14, 16) / 1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"                из них отдельных общеобразовательных организаций,
                осуществляющих обучение по адаптированным 
                основным общеобразовательным программам / 5.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"            других организаций, осуществляющих образователь-
            ную деятельность по программам основного и (или)
            среднего общего образования / 7.0"	0	0	0	0	0	0	0	0	0	0	0	0	4	4	3	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"            из строки 03 - выпускники: 
            общеобразовательных организаций / 4.0"	0	0	0	0	0	0	0	0	25	15	65	60	42	23	60	49
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"            специальных учебно-воспитательных учреждений для
            обучающихся с девиантным (общественно-опасным)
            поведением / 6.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"           из них полученного за период с 1 октября прошлого
           года по 30 сентября текущего года / 13.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"           из них полученного за период с 1 октября прошлого
           года по 30 сентября текущего года / 15.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"           из них полученного за период с 1 октября прошлого
           года по 30 сентября текущего года / 17.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"         из них полученного за период с 1 октября прошлого года
         по 30 сентября текущего года (сумма стр. 04, 06, 07) / 3.0"	0	0	0	0	0	0	0	0	25	15	65	60	46	27	63	49
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	        специалиста / 14.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"       из них полученного за период с 1 октября прошлого года
       по 30 сентября текущего года / 11.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"       из них полученного за период с 1 октября прошлого года
       по 30 сентября текущего года / 9.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	       магистра / 16.0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"    в том числе поступали на базе образования: 
    основного общего (для граф 3-6, 11-14) или 
    среднего общего (для граф 7-10, 15-18) / 2.0"	0	0	0	0	0	0	0	0	25	15	223	212	260	88	359	321
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"    высшего, подтвержденного дипломом: 
       бакалавра / 12.0"	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"    среднего профессионального по программам подготовки
    квалифицированных рабочих, служащих / 8.0"	0	0	0	0	0	0	0	0	0	0	1	1	29	25	18	15
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"    среднего профессионального по программам подготовки
    специалистов среднего звена / 10.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	18
