region	tags	indicator	Всего > 3.0	"Из граф 4-8 прошли в предыдущем учебном году: > в том числе 
(из гр.9) в профильных организациях и предприятиях
 > 16.0"	Из граф 4-8 прошли в предыдущем учебном году: > из них (из гр. 8) в организациях и предприятиях реального сектора экономики > 15.0	Из граф 4-8 прошли в предыдущем учебном году: > из них: > в форме стажировки (из гр. 7) > 14.0	"Из граф 4-8 прошли в предыдущем учебном году: > из них: > по вопросам получения среднего
профессионального образования инвалидами и лицами с ОВЗ > 11.0"	Из граф 4-8 прошли в предыдущем учебном году: > из них: > по использова-нию информа-ционных и коммуника-ционных технологий (из гр. 6) > 13.0	Из граф 4-8 прошли в предыдущем учебном году: > из них: > по профилю педагогиче- ской деятельнос-ти (из гр. 5) > 12.0	Из граф 4-8 прошли в предыдущем учебном году: > повышение квалифика- ции и (или) профессио-нальную перепод-готовку (из гр. 4) > 10.0	"Из графы 3 прошли за последние три года: > в том числе 
(из гр.8) в профильных организациях и предприятиях
 > 9.0"	Из графы 3 прошли за последние три года: > из них (из гр. 7) в организациях и предприятиях реального сектора экономики > 8.0	Из графы 3 прошли за последние три года: > из них: > в форме стажировки > 7.0	Из графы 3 прошли за последние три года: > из них: > по использова-нию информа-ционных и коммуника-ционных технологий > 6.0	Из графы 3 прошли за последние три года: > из них: > по профилю педагогиче-ской деятельнос-ти > 5.0	Из графы 3 прошли за последние три года: > повышение квалифика-ции и (или) профессио-нальную перепод-готовку > 4.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"      из них: 
      преподаватели / 6.0"	96.0	0.0	0.0	2.0	0.0	0.0	24.0	28.0	0.0	0.0	2.0	15.0	54.0	57.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"      мастера производственного
      обучения / 7.0"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	      руководитель филиала / 4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 10.0	93.0	0.0	0.0	2.0	0.0	0.0	24.0	28.0	0.0	0.0	2.0	15.0	54.0	57.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Педагогические работники - всего / 5.0	105.0	0.0	0.0	2.0	0.0	0.0	26.0	30.0	0.0	0.0	2.0	15.0	59.0	62.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Руководящие работники - всего / 1.0	14.0	0.0	0.0	1.0	0.0	0.0	6.0	7.0	0.0	0.0	1.0	2.0	8.0	10.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Учебно-вспомогательный персонал / 8.0	24.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	4.0	5.0	7.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      заместители директора
      (начальника) / 3.0"	58.0	0.0	0.0	4.0	2.0	6.0	12.0	23.0	0.0	0.0	4.0	14.0	27.0	35.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      из них: 
      директор (начальник) / 2.0"	15.0	0.0	0.0	2.0	1.0	2.0	6.0	9.0	0.0	0.0	3.0	3.0	8.0	11.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      из них: 
      преподаватели / 6.0"	894.0	22.0	45.0	51.0	108.0	115.0	276.0	491.0	45.0	75.0	94.0	257.0	573.0	709.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      мастера производственного
      обучения / 7.0"	121.0	11.0	12.0	17.0	2.0	1.0	37.0	52.0	21.0	25.0	34.0	14.0	78.0	103.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	      руководитель филиала / 4.0	5.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	1.0	1.0	3.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 9.0	159.0	3.0	3.0	3.0	3.0	4.0	57.0	71.0	10.0	14.0	14.0	18.0	84.0	107.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 10.0	655.0	18.0	41.0	47.0	105.0	107.0	196.0	390.0	34.0	60.0	79.0	234.0	466.0	555.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 11.0	77.0	11.0	11.0	16.0	2.0	1.0	24.0	38.0	20.0	24.0	30.0	8.0	52.0	68.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 12.0	21.0	0.0	1.0	1.0	0.0	0.0	5.0	6.0	1.0	1.0	3.0	3.0	11.0	16.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Педагогические работники - всего / 5.0	1256.0	35.0	60.0	71.0	121.0	118.0	342.0	600.0	70.0	109.0	135.0	301.0	756.0	941.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Руководящие работники - всего / 1.0	177.0	0.0	0.0	12.0	4.0	16.0	21.0	54.0	0.0	0.0	20.0	41.0	62.0	101.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Учебно-вспомогательный персонал / 8.0	111.0	0.0	0.0	1.0	3.0	3.0	2.0	7.0	1.0	1.0	2.0	7.0	11.0	17.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	"      заместители директора
      (начальника) / 3.0"	4.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	3.0	3.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	"      из них: 
      директор (начальник) / 2.0"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	"      из них: 
      преподаватели / 6.0"	6.0	0.0	2.0	2.0	0.0	1.0	5.0	5.0	5.0	5.0	5.0	1.0	6.0	6.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	"      мастера производственного
      обучения / 7.0"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	      руководитель филиала / 4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 9.0	2.0	0.0	2.0	2.0	0.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 10.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	3.0	3.0	0.0	4.0	4.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	Педагогические работники - всего / 5.0	7.0	0.0	2.0	2.0	0.0	1.0	6.0	6.0	5.0	5.0	5.0	1.0	7.0	7.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	Руководящие работники - всего / 1.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	4.0	4.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	Учебно-вспомогательный персонал / 8.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      заместители директора
      (начальника) / 3.0"	120.0	0.0	0.0	3.0	12.0	10.0	31.0	57.0	0.0	0.0	8.0	23.0	58.0	92.0
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      из них: 
      директор (начальник) / 2.0"	36.0	0.0	0.0	1.0	2.0	3.0	11.0	19.0	0.0	0.0	3.0	6.0	19.0	30.0
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      из них: 
      преподаватели / 6.0"	1260.0	49.0	52.0	90.0	87.0	87.0	399.0	630.0	131.0	136.0	238.0	185.0	822.0	1036.0
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      мастера производственного
      обучения / 7.0"	307.0	15.0	18.0	26.0	12.0	6.0	103.0	149.0	27.0	30.0	53.0	23.0	185.0	230.0
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	      руководитель филиала / 4.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 9.0	341.0	12.0	14.0	31.0	24.0	24.0	107.0	170.0	22.0	24.0	46.0	53.0	233.0	278.0
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 10.0	855.0	37.0	38.0	57.0	48.0	62.0	288.0	428.0	103.0	106.0	171.0	130.0	549.0	710.0
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 11.0	239.0	13.0	16.0	24.0	9.0	6.0	96.0	135.0	22.0	25.0	50.0	21.0	159.0	196.0
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 12.0	33.0	2.0	2.0	2.0	3.0	0.0	5.0	12.0	3.0	3.0	3.0	2.0	15.0	24.0
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Педагогические работники - всего / 5.0	1846.0	64.0	70.0	119.0	105.0	99.0	524.0	832.0	160.0	168.0	311.0	223.0	1064.0	1365.0
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Руководящие работники - всего / 1.0	229.0	0.0	0.0	6.0	17.0	16.0	51.0	97.0	0.0	0.0	23.0	40.0	101.0	162.0
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Учебно-вспомогательный персонал / 8.0	452.0	7.0	7.0	7.0	2.0	15.0	17.0	47.0	8.0	8.0	8.0	30.0	38.0	108.0
Архангельская область	Частные; Сведения об организации, реализуемых программах и персонале	"      заместители директора
      (начальника) / 3.0"	6.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.0	4.0
Архангельская область	Частные; Сведения об организации, реализуемых программах и персонале	"      из них: 
      директор (начальник) / 2.0"	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	3.0
Архангельская область	Частные; Сведения об организации, реализуемых программах и персонале	"      из них: 
      преподаватели / 6.0"	14.0	0.0	0.0	0.0	0.0	0.0	5.0	9.0	0.0	0.0	0.0	0.0	14.0	14.0
Архангельская область	Частные; Сведения об организации, реализуемых программах и персонале	"      мастера производственного
      обучения / 7.0"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Сведения об организации, реализуемых программах и персонале	      руководитель филиала / 4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 10.0	8.0	0.0	0.0	0.0	0.0	0.0	4.0	8.0	0.0	0.0	0.0	0.0	8.0	8.0
Архангельская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Сведения об организации, реализуемых программах и персонале	Педагогические работники - всего / 5.0	19.0	0.0	0.0	0.0	0.0	0.0	5.0	9.0	0.0	0.0	0.0	0.0	19.0	19.0
Архангельская область	Частные; Сведения об организации, реализуемых программах и персонале	Руководящие работники - всего / 1.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	5.0	7.0
Архангельская область	Частные; Сведения об организации, реализуемых программах и персонале	Учебно-вспомогательный персонал / 8.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	4.0
Астраханская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      заместители директора
      (начальника) / 3.0"	58.0	0.0	0.0	0.0	3.0	2.0	18.0	26.0	0.0	0.0	0.0	14.0	32.0	47.0
Астраханская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      из них: 
      директор (начальник) / 2.0"	21.0	0.0	0.0	0.0	1.0	0.0	8.0	11.0	0.0	0.0	0.0	5.0	13.0	18.0
Астраханская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      из них: 
      преподаватели / 6.0"	1234.0	27.0	57.0	65.0	61.0	84.0	340.0	462.0	74.0	104.0	117.0	211.0	784.0	1015.0
Астраханская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      мастера производственного
      обучения / 7.0"	81.0	8.0	8.0	8.0	8.0	5.0	31.0	52.0	19.0	19.0	19.0	12.0	41.0	65.0
Астраханская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	      руководитель филиала / 4.0	9.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	3.0	5.0
Астраханская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 9.0	146.0	5.0	5.0	5.0	20.0	15.0	39.0	65.0	14.0	14.0	14.0	34.0	77.0	117.0
Астраханская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 10.0	1087.0	22.0	52.0	60.0	41.0	69.0	299.0	395.0	60.0	90.0	103.0	171.0	704.0	897.0
Астраханская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 11.0	57.0	5.0	5.0	5.0	7.0	5.0	20.0	36.0	16.0	16.0	16.0	11.0	30.0	47.0
Астраханская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 12.0	23.0	3.0	3.0	3.0	0.0	0.0	10.0	15.0	3.0	3.0	3.0	0.0	10.0	17.0
Астраханская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Педагогические работники - всего / 5.0	1497.0	37.0	67.0	75.0	73.0	94.0	390.0	547.0	95.0	125.0	138.0	254.0	889.0	1182.0
Астраханская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Руководящие работники - всего / 1.0	172.0	0.0	0.0	0.0	4.0	4.0	51.0	80.0	0.0	0.0	0.0	27.0	90.0	133.0
Астраханская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Учебно-вспомогательный персонал / 8.0	204.0	0.0	0.0	0.0	3.0	4.0	13.0	29.0	1.0	1.0	1.0	10.0	26.0	48.0
Астраханская область	Частные; Сведения об организации, реализуемых программах и персонале	"      заместители директора
      (начальника) / 3.0"	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0
Астраханская область	Частные; Сведения об организации, реализуемых программах и персонале	"      из них: 
      директор (начальник) / 2.0"	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
Астраханская область	Частные; Сведения об организации, реализуемых программах и персонале	"      из них: 
      преподаватели / 6.0"	48.0	0.0	0.0	5.0	0.0	0.0	20.0	35.0	0.0	0.0	5.0	0.0	38.0	46.0
Астраханская область	Частные; Сведения об организации, реализуемых программах и персонале	"      мастера производственного
      обучения / 7.0"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Частные; Сведения об организации, реализуемых программах и персонале	      руководитель филиала / 4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Астраханская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 10.0	32.0	0.0	0.0	5.0	0.0	0.0	10.0	25.0	0.0	0.0	5.0	0.0	24.0	32.0
Астраханская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 12.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Частные; Сведения об организации, реализуемых программах и персонале	Педагогические работники - всего / 5.0	58.0	0.0	0.0	5.0	0.0	0.0	20.0	36.0	0.0	0.0	5.0	0.0	45.0	53.0
Астраханская область	Частные; Сведения об организации, реализуемых программах и персонале	Руководящие работники - всего / 1.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	7.0
