region	tags	indicator	Всего (сумма гр.4, 6, 8, 10, 12, 14, 16, 18, 20, 22) > 3.0	Число полных лет по состоянию на 1 января следующего года > 25 – 29 > всего > 6.0	Число полных лет по состоянию на 1 января следующего года > 25 – 29 > из них жен-щины > 7.0	Число полных лет по состоянию на 1 января следующего года > 30 – 34 > всего > 8.0	Число полных лет по состоянию на 1 января следующего года > 30 – 34 > из них жен-щины > 9.0	Число полных лет по состоянию на 1 января следующего года > 35 – 39 > всего > 10.0	Число полных лет по состоянию на 1 января следующего года > 35 – 39 > из них жен-щины > 11.0	Число полных лет по состоянию на 1 января следующего года > 40 – 44 > всего > 12.0	Число полных лет по состоянию на 1 января следующего года > 40 – 44 > из них жен-щины > 13.0	Число полных лет по состоянию на 1 января следующего года > 45 – 49 > всего > 14.0	Число полных лет по состоянию на 1 января следующего года > 45 – 49 > из них жен-щины > 15.0	Число полных лет по состоянию на 1 января следующего года > 50 – 54 > всего > 16.0	Число полных лет по состоянию на 1 января следующего года > 50 – 54 > из них жен-щины > 17.0	Число полных лет по состоянию на 1 января следующего года > 55 – 59 > всего > 18.0	Число полных лет по состоянию на 1 января следующего года > 55 – 59 > из них жен-щины > 19.0	Число полных лет по состоянию на 1 января следующего года > 60 – 64 > всего > 20.0	Число полных лет по состоянию на 1 января следующего года > 60 – 64 > из них жен-щины > 21.0	Число полных лет по состоянию на 1 января следующего года > 65 и более > всего > 22.0	Число полных лет по состоянию на 1 января следующего года > 65 и более > из них жен-щины > 23.0	Число полных лет по состоянию на 1 января следующего года > моложе 25 лет > всего > 4.0	Число полных лет по состоянию на 1 января следующего года > моложе 25 лет > из них жен-щины > 5.0	Число полных лет по состоянию на 1 января следующего года > средний возраст, лет > 24.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       руководитель филиала / 5.0	24.0	1.0	1.0	1.0	1.0	2.0	1.0	4.0	3.0	5.0	5.0	1.0	0.0	5.0	2.0	0.0	0.0	3.0	0.0	2.0	1.0	45.8
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       социальные педагоги / 13.0	42.0	3.0	3.0	5.0	5.0	5.0	5.0	10.0	10.0	5.0	5.0	8.0	8.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	42.1
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       тьюторы / 19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    в том числе: 
    руководящие работники - всего / 2.0"	474.0	5.0	4.0	23.0	19.0	43.0	32.0	79.0	61.0	91.0	78.0	81.0	69.0	67.0	54.0	48.0	31.0	35.0	15.0	2.0	1.0	49.1
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    обслуживающий персонал / 22.0	1924.0	52.0	35.0	95.0	77.0	147.0	110.0	206.0	142.0	236.0	160.0	278.0	186.0	294.0	189.0	302.0	168.0	250.0	148.0	64.0	35.0	50.4
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    педагогические работники - всего
    (сумма строк 07,12-20) / 6.0"	3042.0	231.0	162.0	233.0	168.0	334.0	263.0	354.0	296.0	400.0	321.0	350.0	265.0	297.0	216.0	318.0	208.0	268.0	183.0	257.0	190.0	45.3
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    учебно-вспомогательный
    персонал / 21.0"	733.0	36.0	33.0	42.0	38.0	82.0	72.0	103.0	90.0	95.0	86.0	97.0	88.0	98.0	88.0	59.0	49.0	51.0	44.0	70.0	50.0	45.1
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 23.0	446.0	26.0	18.0	41.0	36.0	59.0	49.0	57.0	53.0	55.0	46.0	59.0	40.0	46.0	38.0	49.0	36.0	32.0	21.0	22.0	12.0	46.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 24.0	1630.0	140.0	98.0	130.0	90.0	164.0	130.0	183.0	153.0	220.0	176.0	152.0	127.0	138.0	114.0	163.0	118.0	175.0	125.0	165.0	133.0	45.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 25.0	305.0	24.0	14.0	13.0	6.0	35.0	19.0	31.0	17.0	37.0	22.0	34.0	14.0	40.0	17.0	44.0	15.0	22.0	10.0	25.0	10.0	46.7
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 26.0	57.0	6.0	3.0	8.0	3.0	2.0	1.0	6.0	5.0	5.0	1.0	6.0	4.0	9.0	3.0	6.0	3.0	1.0	1.0	8.0	7.0	42.1
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников - всего (сумма строк 02, 06, 21, 22) / 1.0	6173.0	324.0	234.0	393.0	302.0	606.0	477.0	742.0	589.0	822.0	645.0	806.0	608.0	756.0	547.0	727.0	456.0	604.0	390.0	393.0	276.0	46.9
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"          из них: 
          общеобразовательных
          дисциплин / 8.0"	30.0	3.0	3.0	3.0	3.0	4.0	4.0	6.0	4.0	1.0	1.0	2.0	2.0	3.0	1.0	1.0	0.0	1.0	1.0	6.0	4.0	39.5
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"          математического и общего
          естественнонаучного учебного
          цикла / 10.0"	8.0	4.0	3.0	1.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	28.6
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"          общего гуманитарного и
          социально-экономического
           учебного цикла / 9.0"	15.0	1.0	0.0	5.0	4.0	3.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	2.0	2.0	0.0	0.0	1.0	1.0	39.3
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"          профессионального учебного
          цикла / 11.0"	43.0	5.0	4.0	2.0	2.0	8.0	6.0	4.0	3.0	3.0	3.0	3.0	2.0	5.0	4.0	4.0	4.0	2.0	1.0	7.0	7.0	41.9
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"       в том числе: 
       преподаватели - всего
       (сумма строк 8-11) / 7.0"	96.0	13.0	10.0	11.0	10.0	17.0	14.0	11.0	7.0	4.0	4.0	6.0	4.0	9.0	6.0	7.0	6.0	3.0	2.0	15.0	13.0	38.8
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"       заместители директора
       (начальника) / 4.0"	6.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	47.7
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"       из них: 
       директор (начальник) / 3.0"	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	56.8
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"       мастера производственного
       обучения / 12.0"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       методисты / 18.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	55.5
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       педагоги-организаторы / 15.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       педагоги-психологи / 14.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"       преподаватели-организаторы
       (основ безопасности
       жизнедеятельности, 
       допризывной подготовки) / 16.0"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       прочие / 20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"       руководители физического
       воспитания / 17.0"	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       руководитель филиала / 5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       социальные педагоги / 13.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       тьюторы / 19.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	23.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"    в том числе: 
    руководящие работники - всего / 2.0"	14.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	1.0	3.0	3.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	0.0	0.0	52.4
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	    обслуживающий персонал / 22.0	25.0	0.0	0.0	1.0	1.0	2.0	2.0	3.0	2.0	5.0	4.0	5.0	4.0	2.0	2.0	2.0	0.0	4.0	3.0	1.0	0.0	49.8
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"    педагогические работники - всего
    (сумма строк 07,12-20) / 6.0"	105.0	15.0	12.0	11.0	10.0	18.0	15.0	12.0	7.0	5.0	4.0	6.0	4.0	12.0	9.0	7.0	6.0	3.0	2.0	16.0	14.0	39.4
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"    учебно-вспомогательный
    персонал / 21.0"	24.0	4.0	4.0	1.0	1.0	3.0	1.0	2.0	2.0	2.0	2.0	5.0	4.0	1.0	1.0	0.0	0.0	0.0	0.0	6.0	5.0	37.3
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 24.0	93.0	12.0	9.0	10.0	10.0	16.0	14.0	11.0	7.0	4.0	4.0	6.0	4.0	9.0	6.0	7.0	6.0	3.0	2.0	15.0	13.0	39.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников - всего (сумма строк 02, 06, 21, 22) / 1.0	168.0	19.0	16.0	13.0	12.0	25.0	20.0	18.0	12.0	15.0	13.0	18.0	13.0	17.0	13.0	11.0	8.0	9.0	7.0	23.0	19.0	41.6
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          из них: 
          общеобразовательных
          дисциплин / 8.0"	255.0	28.0	22.0	36.0	29.0	30.0	24.0	33.0	29.0	21.0	16.0	23.0	22.0	29.0	22.0	17.0	14.0	25.0	21.0	13.0	10.0	43.9
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          математического и общего
          естественнонаучного учебного
          цикла / 10.0"	62.0	7.0	6.0	6.0	5.0	13.0	12.0	10.0	6.0	13.0	11.0	2.0	2.0	1.0	1.0	4.0	4.0	3.0	3.0	3.0	1.0	40.1
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          общего гуманитарного и
          социально-экономического
           учебного цикла / 9.0"	97.0	11.0	7.0	4.0	4.0	17.0	9.0	20.0	9.0	10.0	8.0	6.0	5.0	9.0	9.0	6.0	4.0	12.0	8.0	2.0	2.0	45.2
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          профессионального учебного
          цикла / 11.0"	480.0	33.0	25.0	58.0	46.0	49.0	35.0	60.0	45.0	45.0	40.0	54.0	43.0	46.0	36.0	58.0	44.0	61.0	52.0	16.0	9.0	46.8
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       в том числе: 
       преподаватели - всего
       (сумма строк 8-11) / 7.0"	894.0	79.0	60.0	104.0	84.0	109.0	80.0	123.0	89.0	89.0	75.0	85.0	72.0	85.0	68.0	85.0	66.0	101.0	84.0	34.0	22.0	46.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       заместители директора
       (начальника) / 4.0"	58.0	1.0	0.0	3.0	3.0	6.0	4.0	7.0	5.0	9.0	5.0	11.0	10.0	7.0	6.0	11.0	8.0	3.0	3.0	0.0	0.0	49.8
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       из них: 
       директор (начальник) / 3.0"	15.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	4.0	2.0	3.0	3.0	2.0	1.0	3.0	2.0	1.0	1.0	0.0	0.0	52.1
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       мастера производственного
       обучения / 12.0"	121.0	9.0	3.0	10.0	4.0	9.0	3.0	16.0	8.0	7.0	3.0	13.0	6.0	13.0	8.0	18.0	5.0	20.0	11.0	6.0	3.0	47.9
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       методисты / 18.0	44.0	2.0	2.0	1.0	1.0	9.0	9.0	9.0	8.0	8.0	8.0	6.0	6.0	4.0	4.0	3.0	2.0	2.0	1.0	0.0	0.0	45.8
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       педагоги-организаторы / 15.0	26.0	3.0	3.0	6.0	2.0	3.0	3.0	4.0	4.0	1.0	1.0	3.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	5.0	3.0	35.5
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       педагоги-психологи / 14.0	24.0	6.0	6.0	1.0	1.0	2.0	2.0	1.0	1.0	5.0	5.0	3.0	3.0	0.0	0.0	3.0	3.0	0.0	0.0	3.0	2.0	39.6
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       преподаватели-организаторы
       (основ безопасности
       жизнедеятельности, 
       допризывной подготовки) / 16.0"	11.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	1.0	2.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	46.6
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       прочие / 20.0	92.0	2.0	1.0	6.0	4.0	8.0	5.0	9.0	8.0	14.0	11.0	13.0	12.0	11.0	10.0	9.0	5.0	16.0	13.0	4.0	3.0	49.1
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       руководители физического
       воспитания / 17.0"	5.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	43.2
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       руководитель филиала / 5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	3.0	3.0	1.0	0.0	0.0	0.0	60.2
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       социальные педагоги / 13.0	37.0	1.0	1.0	6.0	5.0	4.0	4.0	7.0	6.0	4.0	3.0	2.0	1.0	3.0	3.0	4.0	4.0	2.0	2.0	4.0	1.0	41.5
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       тьюторы / 19.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    в том числе: 
    руководящие работники - всего / 2.0"	177.0	2.0	1.0	8.0	5.0	17.0	10.0	28.0	23.0	36.0	27.0	28.0	27.0	22.0	18.0	27.0	21.0	9.0	7.0	0.0	0.0	49.1
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    обслуживающий персонал / 22.0	734.0	31.0	8.0	69.0	33.0	95.0	49.0	85.0	51.0	77.0	57.0	113.0	71.0	79.0	53.0	85.0	63.0	86.0	56.0	14.0	11.0	47.6
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    педагогические работники - всего
    (сумма строк 07,12-20) / 6.0"	1256.0	103.0	76.0	138.0	104.0	144.0	106.0	173.0	125.0	130.0	106.0	128.0	104.0	118.0	94.0	125.0	85.0	141.0	111.0	56.0	34.0	45.2
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    учебно-вспомогательный
    персонал / 21.0"	111.0	17.0	10.0	12.0	10.0	14.0	9.0	14.0	13.0	10.0	9.0	9.0	9.0	7.0	7.0	7.0	6.0	8.0	8.0	13.0	10.0	40.5
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 23.0	159.0	15.0	12.0	23.0	22.0	14.0	11.0	30.0	21.0	10.0	6.0	19.0	16.0	13.0	11.0	12.0	11.0	20.0	16.0	3.0	3.0	45.8
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 24.0	655.0	49.0	37.0	69.0	52.0	91.0	67.0	87.0	63.0	63.0	55.0	55.0	45.0	66.0	53.0	69.0	51.0	79.0	67.0	27.0	16.0	46.7
