region	tags	indicator	В том числе из числа студентов, обучающихся (обучавшихся): > за счет бюджетных ассигнований > бюджета субъекта Российской Федерации > 7.0	В том числе из числа студентов, обучающихся (обучавшихся): > за счет бюджетных ассигнований > местного бюджета > 8.0	В том числе из числа студентов, обучающихся (обучавшихся): > за счет бюджетных ассигнований > федерального бюджета > 6.0	В том числе из числа студентов, обучающихся (обучавшихся): > по договорам об оказании платных образовательных услуг за счет средств > иных физических лиц > 10.0	В том числе из числа студентов, обучающихся (обучавшихся): > по договорам об оказании платных образовательных услуг за счет средств > лиц, зачисляемых на обучение (родителей (законных представителей)) несовершеннолетних обучающихся > 9.0	В том числе из числа студентов, обучающихся (обучавшихся): > по договорам об оказании платных образовательных услуг за счет средств > юридических лиц > 11.0	Всего обучено за период с 01.10. прошлого года по 30.09. текущего года (сумма гр. 6–11) > 5.0	Из общей численности обученных (из гр. 5) > дети-инвалиды (кроме учтенных в графе 16) > 18.0	Из общей численности обученных (из гр. 5) > женщины > 12.0	Из общей численности обученных (из гр. 5) > из них (из гр. 14): > дети-инвалиды > 16.0	Из общей численности обученных (из гр. 5) > из них (из гр. 14): > инвалиды > 15.0	Из общей численности обученных (из гр. 5) > инвалиды (кроме учтенных в гр. 15) > 17.0	Из общей численности обученных (из гр. 5) > лица с ограничен-ными возмож-ностями здоровья > 14.0	Из общей численности обученных (из гр. 5) > прошли ускоренное обучение по индивидуаль-ным учебным планам > 13.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Машинист подземных установок / 1.0 / 90.0 / 14010.0	0.0	0.0	0.0	0.0	11.0	0.0	11.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Машинист холодильных установок / 1.0 / 98.0 / 14341.0	14.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Оператор по обслуживанию и ремонту вагонов и контейнеров / 1.0 / 35.0 / nan	0.0	0.0	9.0	0.0	0.0	0.0	9.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Осмотрщик-ремонтник вагонов / 1.0 / 40.0 / nan	0.0	0.0	10.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Повар / 1.0 / 205.0 / 16675.0	22.0	0.0	0.0	2.0	0.0	0.0	24.0	0.0	13.0	0.0	1.0	0.0	1.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Портье / 1.0 / 113.0 / 25627.0	26.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы профессиональной подготовки по профессиям рабочих, должностям служащих - всего / 1.0 / 0.0 / 0.0	303.0	0.0	78.0	34.0	47.0	0.0	462.0	0.0	187.0	0.0	1.0	0.0	1.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Проходчик / 1.0 / 47.0 / 17491.0	0.0	0.0	0.0	0.0	11.0	0.0	11.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Секретарь-администратор / 1.0 / 114.1 / nan	3.0	0.0	0.0	0.0	2.0	0.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Сигналист / 1.0 / 69.0 / nan	0.0	0.0	44.0	0.0	2.0	0.0	46.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Слесарь по ремонту автомобилей / 1.0 / 224.0 / 18511.0	13.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Слесарь по ремонту дорожно-строительных машин и тракторов / 1.0 / 225.0 / 18522.0	11.0	0.0	5.0	1.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Слесарь-электрик по ремонту электрооборудования / 1.0 / 236.0 / 18590.0	9.0	0.0	0.0	1.0	0.0	0.0	10.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Токарь / 1.0 / 147.0 / 19149.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Тракторист-машинист сельскохозяйственного производства / 1.0 / 33.0 / 19205.0	12.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Флотатор / 1.0 / 76.0 / 19362.0	13.0	0.0	0.0	0.0	2.0	0.0	15.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Штукатур / 1.0 / 144.0 / 19727.0	10.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Электромонтажник по освещению и осветительным сетям / 1.0 / 148.0 / 19806.0	10.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Электромонтер по обслуживанию и ремонту устройств сигнализации, централизации и блокировки / 1.0 / 84.0 / nan	0.0	0.0	10.0	0.0	0.0	0.0	10.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Электромонтер по обслуживанию электроустановок / 1.0 / 14.0 / 19850.0	11.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Электромонтер по ремонту и обслуживанию электрооборудования / 1.0 / 174.0 / 19861.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Электрослесарь подземный / 1.0 / 96.0 / 19915.0	0.0	0.0	0.0	0.0	11.0	0.0	11.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Агент банка / 1.0 / 2.0 / 20002.0	22.0	0.0	0.0	0.0	23.0	0.0	45.0	1.0	39.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Агент по закупкам / 1.0 / 7.0 / 20015.0	17.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Агент рекламный / 1.0 / 15.0 / 20032.0	21.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Агент страховой / 1.0 / 16.0 / 20034.0	43.0	0.0	0.0	0.0	9.0	0.0	52.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Агент торговый / 1.0 / 17.0 / 20035.0	18.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Аппаратчик мукомольного производства / 1.0 / 194.0 / 10360.0	22.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Аппаратчик производства кисломолочных и детских молочных продуктов / 1.0 / 86.0 / 10786.0	46.0	0.0	0.0	0.0	3.0	0.0	49.0	0.0	34.0	0.0	1.0	0.0	1.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Ассистент экскурсовода (гида) / 1.0 / 147.0 / nan	46.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Асфальтобетонщик / 1.0 / 2.0 / 11140.0	0.0	0.0	21.0	5.0	0.0	0.0	26.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Бармен / 1.0 / 199.0 / 11176.0	12.0	17.0	0.0	0.0	1.0	0.0	30.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Водитель автомобиля / 1.0 / 175.11 / nan	190.0	0.0	0.0	70.0	15.0	0.0	275.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Горничная / 1.0 / 21.0 / 11695.0	87.0	0.0	0.0	9.0	0.0	0.0	96.0	0.0	83.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Гример-пастижер / 1.0 / 2.0 / 11763.0	13.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Дежурный по переезду / 1.0 / 7.0 / nan	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Дежурный по этажу (гостиницы, кемпинга, пансионата) / 1.0 / 45.0 / 21269.0	0.0	0.0	0.0	6.0	0.0	0.0	6.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Дорожный рабочий / 1.0 / 5.0 / 11889.0	18.0	0.0	21.0	5.0	0.0	0.0	44.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Закройщик / 1.0 / 2.0 / 12156.0	9.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Замерщик на топографо-геодезических и маркшейдерских работах / 1.0 / 2.0 / 12192.0	21.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Исполнитель художественно-оформительских работ / 1.0 / 4.0 / 12565.0	42.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Каменщик / 1.0 / 11.0 / 12680.0	35.0	0.0	0.0	42.0	0.0	0.0	77.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Кассир / 1.0 / 52.0 / 23369.0	82.0	0.0	0.0	7.0	14.0	0.0	103.0	0.0	89.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Кассир торгового зала / 1.0 / 38.1 / nan	58.0	0.0	0.0	0.0	47.0	0.0	105.0	1.0	77.0	0.0	2.0	0.0	2.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Кондитер / 1.0 / 46.0 / 12901.0	239.0	0.0	0.0	0.0	0.0	0.0	239.0	0.0	182.0	0.0	0.0	1.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Контролер в литейном производстве / 1.0 / 14.0 / 12936.0	19.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Кухонный рабочий / 1.0 / 202.0 / 13249.0	11.0	0.0	0.0	0.0	2.0	0.0	13.0	0.0	6.0	6.0	0.0	0.0	6.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Лаборант химического анализа / 1.0 / 72.0 / 13321.0	21.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Лесовод / 1.0 / 34.0 / 13376.0	33.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Литейщик пластмасс / 1.0 / 42.0 / 13399.0	14.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Маляр / 1.0 / 77.0 / 13450.0	8.0	17.0	0.0	0.0	2.0	0.0	27.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Машинист (кочегар) котельной / 1.0 / 88.0 / 13786.0	7.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Машинист экструдера / 1.0 / 52.0 / 14393.0	0.0	0.0	8.0	0.0	0.0	0.0	8.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Младшая медицинская сестра по уходу за больными / 1.0 / 83.0 / 24232.0	442.0	0.0	0.0	0.0	66.0	2.0	510.0	0.0	305.0	1.0	0.0	2.0	1.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Монтажник санитарно-технических систем и оборудования / 1.0 / 101.0 / 14621.0	63.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	0.0	12.0	2.0	0.0	16.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Монтер пути / 1.0 / 29.0 / nan	0.0	0.0	9.0	0.0	5.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Облицовщик-плиточник / 1.0 / 119.0 / 15220.0	18.0	17.0	0.0	0.0	2.0	0.0	37.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Оператор дефектоскопной тележки / 1.0 / 34.0 / nan	0.0	0.0	8.0	0.0	0.0	0.0	8.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Оператор диспетчерской (производственно-диспетчерской) службы / 1.0 / 96.0 / 25308.0	0.0	25.0	0.0	0.0	29.0	0.0	54.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Оператор по искусственному осеменению животных и птицы / 1.0 / 19.0 / 15830.0	15.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Оператор по обслуживанию и ремонту вагонов и контейнеров / 1.0 / 35.0 / nan	0.0	0.0	15.0	0.0	2.0	0.0	17.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Оператор станков с программным управлением / 1.0 / 136.0 / 16045.0	4.0	0.0	6.0	0.0	0.0	0.0	10.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Оператор электронно-вычислительных и вычислительных машин / 1.0 / 122.0 / 16199.0	99.0	0.0	0.0	24.0	44.0	0.0	167.0	1.0	26.0	1.0	0.0	0.0	1.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Осмотрщик-ремонтник вагонов / 1.0 / 40.0 / nan	0.0	0.0	17.0	0.0	15.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Официант / 1.0 / 204.0 / 16399.0	10.0	17.0	0.0	0.0	1.0	0.0	28.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Парикмахер / 1.0 / 28.0 / 16437.0	51.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Пекарь / 1.0 / 32.0 / 16472.0	24.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	12.0	7.0	0.0	7.0	7.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Повар / 1.0 / 205.0 / 16675.0	184.0	0.0	0.0	20.0	4.0	0.0	208.0	0.0	151.0	7.0	0.0	0.0	7.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Портной / 1.0 / 14.0 / 16909.0	28.0	0.0	0.0	12.0	0.0	0.0	40.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Портье / 1.0 / 113.0 / 25627.0	37.0	0.0	0.0	2.0	0.0	0.0	39.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Приемосдатчик груза и багажа / 1.0 / 132.0 / 17244.0	0.0	0.0	10.0	0.0	19.0	0.0	29.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы профессиональной подготовки по профессиям рабочих, должностям служащих - всего / 1.0 / 0.0 / 0.0	3230.0	274.0	214.0	319.0	612.0	11.0	4660.0	4.0	2020.0	51.0	11.0	10.0	66.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Продавец непродовольственных товаров / 1.0 / 207.2 / nan	117.0	0.0	0.0	0.0	0.0	0.0	117.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Продавец продовольственных товаров / 1.0 / 207.3 / nan	36.0	0.0	0.0	0.0	14.0	0.0	50.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Рабочий зеленого хозяйства / 1.0 / 34.1 / nan	19.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Регулировщик радиоэлектронной аппаратуры и приборов / 1.0 / 12.0 / 17861.0	24.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Садовник / 1.0 / 36.0 / 18103.0	12.0	0.0	0.0	0.0	3.0	0.0	15.0	0.0	7.0	8.0	0.0	0.0	8.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Сборщик изделий электронной техники / 1.0 / 29.1 / nan	7.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Сварщик ручной дуговой сварки плавящимся покрытым электродом / 1.0 / 65.0 / nan	0.0	0.0	0.0	49.0	0.0	0.0	49.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Сварщик частично механизированной сварки плавлением / 1.0 / 64.1 / nan	21.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Секретарь суда / 1.0 / 119.0 / 26409.0	25.0	0.0	0.0	0.0	35.0	0.0	60.0	1.0	47.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Секретарь-администратор / 1.0 / 114.1 / nan	0.0	0.0	0.0	0.0	33.0	0.0	33.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Секретарь-машинистка / 1.0 / 116.0 / 26353.0	0.0	25.0	0.0	0.0	3.0	0.0	28.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Сигналист / 1.0 / 69.0 / nan	0.0	0.0	41.0	0.0	44.0	0.0	85.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Слесарь по контрольно-измерительным приборам и автоматике / 1.0 / 223.0 / 18494.0	20.0	0.0	0.0	16.0	0.0	0.0	36.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Слесарь по ремонту автомобилей / 1.0 / 224.0 / 18511.0	72.0	64.0	12.0	5.0	110.0	0.0	263.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Слесарь по ремонту дорожно-строительных машин и тракторов / 1.0 / 225.0 / 18522.0	0.0	0.0	16.0	0.0	0.0	0.0	16.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Слесарь по ремонту сельскохозяйственных машин и оборудования / 1.0 / 230.0 / 18545.0	14.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Слесарь по эксплуатации и ремонту газового оборудования / 1.0 / 7.0 / 18554.0	25.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Слесарь-механик электромеханических приборов и систем / 1.0 / 23.0 / 18464.0	0.0	25.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
