region	tags	indicator	Программы подготовки квалифицированных рабочих, служащих > Всего (сумма гр. 7, 8) > 6.0	Программы подготовки квалифицированных рабочих, служащих > в том числе программы > на базе основного общего образования > 7.0	Программы подготовки квалифицированных рабочих, служащих > в том числе программы > на базе среднего общего образования > 8.0	Программы подготовки специалистов среднего звена > Всего (сумма гр. 4, 5) > 3.0	Программы подготовки специалистов среднего звена > в том числе программы > на базе основного общего образования > 4.0	Программы подготовки специалистов среднего звена > в том числе программы > на базе среднего общего образования > 5.0
Амурская область	Частные; Очная	      в том числе студентам, направленным ими на обучение / 11.0	0	0	0	0	0	0
Амурская область	Частные; Очная	      в том числе студентам, направленным ими на обучение / 13.0	0	0	0	0	0	0
Амурская область	Частные; Очная	      из них организацией, студентами которой они являются / 8.0	0	0	0	0	0	0
Амурская область	Частные; Очная	   бюджетных ассигнований бюджета субъекта Российской Федерации / 16.0	0	0	0	0	0	0
Амурская область	Частные; Очная	   государственные социальные стипендии / 2.0	0	0	0	0	0	0
Амурская область	Частные; Очная	"   из них за счет средств: 
   стипендиального фонда / 15.0"	0	0	0	0	0	0
Амурская область	Частные; Очная	"   именные стипендии, учрежденные: 
   органами государственной власти субъекта Российской Федерации / 5.0"	0	0	0	0	0	0
Амурская область	Частные; Очная	   именные стипендии, учрежденные: органами местного самоуправления / 6.0	0	0	0	0	0	0
Амурская область	Частные; Очная	   именные стипендии, учрежденные: федеральными государственными органами / 4.0	0	0	0	0	0	0
Амурская область	Частные; Очная	   именные стипендии, учрежденные: физическими лицами / 9.0	0	0	0	0	0	0
Амурская область	Частные; Очная	   именные стипендии, учрежденные: юридическими лицами / 7.0	11	0	11	36	0	36
Амурская область	Частные; Очная	   полученных от приносящей доход деятельности / 17.0	0	0	0	0	0	0
Амурская область	Частные; Очная	   стипендии Правительства Российской Федерации / 3.0	0	0	0	0	0	0
Амурская область	Частные; Очная	"   стипендии, назначенные физическими лицами (кроме именных,
   указанных в строке 09) / 12.0"	0	0	0	0	0	0
Амурская область	Частные; Очная	"   стипендии, назначенные юридическими лицами (кроме именных,
   указанных в строке 07) / 10.0"	11	0	11	36	0	36
Амурская область	Частные; Очная	Численность студентов, получающих другие формы материальной поддержки / 14.0	0	0	0	0	0	0
Амурская область	Частные; Очная	Численность студентов, получающих: государственные академические стипендии / 1.0	0	0	0	0	0	0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      в том числе студентам, направленным ими на обучение / 11.0	0	0	0	2	2	0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      в том числе студентам, направленным ими на обучение / 13.0	0	0	0	0	0	0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      из них организацией, студентами которой они являются / 8.0	0	0	0	1	1	0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   бюджетных ассигнований бюджета субъекта Российской Федерации / 16.0	77	73	4	32	25	7
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   государственные социальные стипендии / 2.0	1136	1063	73	1867	1440	427
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   из них за счет средств: 
   стипендиального фонда / 15.0"	877	775	102	1149	940	209
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   именные стипендии, учрежденные: 
   органами государственной власти субъекта Российской Федерации / 5.0"	0	0	0	13	3	10
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: органами местного самоуправления / 6.0	0	0	0	4	4	0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: федеральными государственными органами / 4.0	0	0	0	0	0	0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: физическими лицами / 9.0	0	0	0	2	0	2
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: юридическими лицами / 7.0	1	1	0	3	3	0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   полученных от приносящей доход деятельности / 17.0	10	10	0	3	3	0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   стипендии Правительства Российской Федерации / 3.0	8	7	1	19	18	1
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   стипендии, назначенные физическими лицами (кроме именных,
   указанных в строке 09) / 12.0"	0	0	0	0	0	0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   стипендии, назначенные юридическими лицами (кроме именных,
   указанных в строке 07) / 10.0"	23	23	0	67	32	35
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Численность студентов, получающих другие формы материальной поддержки / 14.0	986	880	106	1182	966	216
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Численность студентов, получающих: государственные академические стипендии / 1.0	3691	3447	244	6848	4962	1886
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      в том числе студентам, направленным ими на обучение / 11.0	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      в том числе студентам, направленным ими на обучение / 13.0	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      из них организацией, студентами которой они являются / 8.0	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   бюджетных ассигнований бюджета субъекта Российской Федерации / 16.0	24	24	0	35	35	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   государственные социальные стипендии / 2.0	925	828	97	2196	1767	429
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   из них за счет средств: 
   стипендиального фонда / 15.0"	0	0	0	5	3	2
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   именные стипендии, учрежденные: 
   органами государственной власти субъекта Российской Федерации / 5.0"	0	0	0	1	1	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: органами местного самоуправления / 6.0	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: федеральными государственными органами / 4.0	0	0	0	3	2	1
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: физическими лицами / 9.0	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: юридическими лицами / 7.0	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   полученных от приносящей доход деятельности / 17.0	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   стипендии Правительства Российской Федерации / 3.0	5	5	0	30	27	3
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   стипендии, назначенные физическими лицами (кроме именных,
   указанных в строке 09) / 12.0"	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   стипендии, назначенные юридическими лицами (кроме именных,
   указанных в строке 07) / 10.0"	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Численность студентов, получающих другие формы материальной поддержки / 14.0	26	26	0	81	76	5
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Численность студентов, получающих: государственные академические стипендии / 1.0	1594	1481	113	7212	6361	851
Астраханская область	Частные; Очная	      в том числе студентам, направленным ими на обучение / 11.0	0	0	0	0	0	0
Астраханская область	Частные; Очная	      в том числе студентам, направленным ими на обучение / 13.0	0	0	0	0	0	0
Астраханская область	Частные; Очная	      из них организацией, студентами которой они являются / 8.0	0	0	0	35	30	5
Астраханская область	Частные; Очная	   бюджетных ассигнований бюджета субъекта Российской Федерации / 16.0	0	0	0	0	0	0
Астраханская область	Частные; Очная	   государственные социальные стипендии / 2.0	0	0	0	1	1	0
Астраханская область	Частные; Очная	"   из них за счет средств: 
   стипендиального фонда / 15.0"	0	0	0	0	0	0
Астраханская область	Частные; Очная	"   именные стипендии, учрежденные: 
   органами государственной власти субъекта Российской Федерации / 5.0"	0	0	0	0	0	0
Астраханская область	Частные; Очная	   именные стипендии, учрежденные: органами местного самоуправления / 6.0	0	0	0	0	0	0
Астраханская область	Частные; Очная	   именные стипендии, учрежденные: федеральными государственными органами / 4.0	0	0	0	0	0	0
Астраханская область	Частные; Очная	   именные стипендии, учрежденные: физическими лицами / 9.0	0	0	0	0	0	0
Астраханская область	Частные; Очная	   именные стипендии, учрежденные: юридическими лицами / 7.0	0	0	0	35	30	5
Астраханская область	Частные; Очная	   полученных от приносящей доход деятельности / 17.0	0	0	0	41	30	11
Астраханская область	Частные; Очная	   стипендии Правительства Российской Федерации / 3.0	0	0	0	0	0	0
Астраханская область	Частные; Очная	"   стипендии, назначенные физическими лицами (кроме именных,
   указанных в строке 09) / 12.0"	0	0	0	0	0	0
Астраханская область	Частные; Очная	"   стипендии, назначенные юридическими лицами (кроме именных,
   указанных в строке 07) / 10.0"	0	0	0	5	5	0
Астраханская область	Частные; Очная	Численность студентов, получающих другие формы материальной поддержки / 14.0	0	0	0	41	30	11
Астраханская область	Частные; Очная	Численность студентов, получающих: государственные академические стипендии / 1.0	0	0	0	30	30	0
Белгородская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      в том числе студентам, направленным ими на обучение / 11.0	0	0	0	0	0	0
Белгородская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      в том числе студентам, направленным ими на обучение / 13.0	0	0	0	0	0	0
Белгородская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      из них организацией, студентами которой они являются / 8.0	0	0	0	223	192	31
Белгородская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   бюджетных ассигнований бюджета субъекта Российской Федерации / 16.0	5	5	0	182	148	34
Белгородская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   государственные социальные стипендии / 2.0	577	576	1	2410	2359	51
Белгородская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   из них за счет средств: 
   стипендиального фонда / 15.0"	86	86	0	1081	1066	15
Белгородская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   именные стипендии, учрежденные: 
   органами государственной власти субъекта Российской Федерации / 5.0"	7	7	0	93	92	1
Белгородская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: органами местного самоуправления / 6.0	2	2	0	38	31	7
Белгородская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: федеральными государственными органами / 4.0	1	1	0	4	4	0
Белгородская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: физическими лицами / 9.0	0	0	0	1	1	0
Белгородская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: юридическими лицами / 7.0	6	6	0	339	307	32
Белгородская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   полученных от приносящей доход деятельности / 17.0	0	0	0	660	539	121
Белгородская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   стипендии Правительства Российской Федерации / 3.0	34	34	0	98	96	2
Белгородская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   стипендии, назначенные физическими лицами (кроме именных,
   указанных в строке 09) / 12.0"	0	0	0	0	0	0
Белгородская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   стипендии, назначенные юридическими лицами (кроме именных,
   указанных в строке 07) / 10.0"	0	0	0	64	64	0
Белгородская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Численность студентов, получающих другие формы материальной поддержки / 14.0	97	97	0	2220	1979	241
Белгородская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Численность студентов, получающих: государственные академические стипендии / 1.0	1913	1887	26	18079	17453	626
Белгородская область	Частные; Очная	      в том числе студентам, направленным ими на обучение / 11.0	0	0	0	0	0	0
Белгородская область	Частные; Очная	      в том числе студентам, направленным ими на обучение / 13.0	0	0	0	0	0	0
Белгородская область	Частные; Очная	      из них организацией, студентами которой они являются / 8.0	0	0	0	16	16	0
Белгородская область	Частные; Очная	   бюджетных ассигнований бюджета субъекта Российской Федерации / 16.0	0	0	0	0	0	0
Белгородская область	Частные; Очная	   государственные социальные стипендии / 2.0	0	0	0	0	0	0
Белгородская область	Частные; Очная	"   из них за счет средств: 
   стипендиального фонда / 15.0"	0	0	0	0	0	0
Белгородская область	Частные; Очная	"   именные стипендии, учрежденные: 
   органами государственной власти субъекта Российской Федерации / 5.0"	0	0	0	5	5	0
Белгородская область	Частные; Очная	   именные стипендии, учрежденные: органами местного самоуправления / 6.0	0	0	0	1	1	0
Белгородская область	Частные; Очная	   именные стипендии, учрежденные: федеральными государственными органами / 4.0	0	0	0	0	0	0
Белгородская область	Частные; Очная	   именные стипендии, учрежденные: физическими лицами / 9.0	0	0	0	0	0	0
Белгородская область	Частные; Очная	   именные стипендии, учрежденные: юридическими лицами / 7.0	0	0	0	16	16	0
Белгородская область	Частные; Очная	   полученных от приносящей доход деятельности / 17.0	0	0	0	15	15	0
Белгородская область	Частные; Очная	   стипендии Правительства Российской Федерации / 3.0	0	0	0	3	3	0
Белгородская область	Частные; Очная	"   стипендии, назначенные физическими лицами (кроме именных,
   указанных в строке 09) / 12.0"	0	0	0	0	0	0
Белгородская область	Частные; Очная	"   стипендии, назначенные юридическими лицами (кроме именных,
   указанных в строке 07) / 10.0"	0	0	0	0	0	0
Белгородская область	Частные; Очная	Численность студентов, получающих другие формы материальной поддержки / 14.0	0	0	0	15	15	0
Белгородская область	Частные; Очная	Численность студентов, получающих: государственные академические стипендии / 1.0	0	0	0	5	5	0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      в том числе студентам, направленным ими на обучение / 11.0	0	0	0	0	0	0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      в том числе студентам, направленным ими на обучение / 13.0	0	0	0	0	0	0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      из них организацией, студентами которой они являются / 8.0	0	0	0	9	9	0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   бюджетных ассигнований бюджета субъекта Российской Федерации / 16.0	214	214	0	633	477	156
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   государственные социальные стипендии / 2.0	2085	1800	285	6841	5768	1073
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   из них за счет средств: 
   стипендиального фонда / 15.0"	502	500	2	2571	2462	109
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   именные стипендии, учрежденные: 
   органами государственной власти субъекта Российской Федерации / 5.0"	1	1	0	35	28	7
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: органами местного самоуправления / 6.0	0	0	0	1	1	0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: федеральными государственными органами / 4.0	0	0	0	2	2	0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: физическими лицами / 9.0	0	0	0	0	0	0
Брянская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: юридическими лицами / 7.0	0	0	0	19	19	0
