region	tags	indicator	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > Выпуск > 8.0	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > Численность студентов > 7.0	Программы подготовки квалифицированных рабочих, служащих > на базе среднего общего образования > Выпуск > 10.0	Программы подготовки квалифицированных рабочих, служащих > на базе среднего общего образования > Численность студентов > 9.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > Выпуск > 4.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > Численность студентов > 3.0	Программы подготовки специалистов среднего звена > на базе среднего общего образования > Выпуск > 6.0	Программы подготовки специалистов среднего звена > на базе среднего общего образования > Численность студентов > 5.0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"          из них в рамках задания государственного плана подготовки
          кадров со средним профессиональным образованием для
          организаций оборонно-промышленного комплекса / 3.0"	0	0	0	0	0	0	0	0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	       бюджета субъекта Российской Федерации / 4.0	131	266	0	23	1	22	3	45
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	       местного бюджета / 5.0	0	0	0	0	0	0	0	0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    по договорам об оказании платных образовательных услуг / 6.0	0	0	0	0	2	4	0	10
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   в том числе обучающиеся:
      за счет бюджетных ассигнований: 
      федерального бюджета / 2.0"	0	4	0	0	16	57	0	2
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   с организациями / 10.0	131	270	0	23	18	76	3	49
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   с органом государственной власти субъекта Российской Федерации / 8.0	0	0	0	0	0	0	0	4
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   с органом местного самоуправления / 9.0	0	0	0	0	1	7	0	4
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"Из стр. 01 заключили договор: 
   с федеральным государственным органом / 7.0"	0	0	0	0	0	0	0	0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"Студенты, заключившие договор о целевом обучении - всего
(сумма стр. 02, 04-06; 07-10) / 1.0"	131	270	0	23	19	83	3	57
Архангельская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          из них в рамках задания государственного плана подготовки
          кадров со средним профессиональным образованием для
          организаций оборонно-промышленного комплекса / 3.0"	0	0	0	0	0	0	0	0
Архангельская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       бюджета субъекта Российской Федерации / 4.0	0	0	0	0	0	0	0	0
Архангельская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       местного бюджета / 5.0	0	0	0	0	0	0	0	0
Архангельская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    по договорам об оказании платных образовательных услуг / 6.0	0	0	0	0	0	0	3	17
Архангельская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"   в том числе обучающиеся:
      за счет бюджетных ассигнований: 
      федерального бюджета / 2.0"	0	0	0	0	0	0	0	0
Архангельская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	   с организациями / 10.0	0	0	0	0	0	0	3	17
Архангельская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	   с органом государственной власти субъекта Российской Федерации / 8.0	0	0	0	0	0	0	0	0
Архангельская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	   с органом местного самоуправления / 9.0	0	0	0	0	0	0	0	0
Архангельская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"Из стр. 01 заключили договор: 
   с федеральным государственным органом / 7.0"	0	0	0	0	0	0	0	0
Архангельская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"Студенты, заключившие договор о целевом обучении - всего
(сумма стр. 02, 04-06; 07-10) / 1.0"	0	0	0	0	0	0	3	17
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Аттестация экстернов	"          из них в рамках задания государственного плана подготовки
          кадров со средним профессиональным образованием для
          организаций оборонно-промышленного комплекса / 3.0"	0	0	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Аттестация экстернов	       бюджета субъекта Российской Федерации / 4.0	0	0	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Аттестация экстернов	       местного бюджета / 5.0	0	0	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Аттестация экстернов	    по договорам об оказании платных образовательных услуг / 6.0	0	0	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Аттестация экстернов	"   в том числе обучающиеся:
      за счет бюджетных ассигнований: 
      федерального бюджета / 2.0"	0	0	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Аттестация экстернов	   с организациями / 10.0	0	0	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Аттестация экстернов	   с органом государственной власти субъекта Российской Федерации / 8.0	0	0	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Аттестация экстернов	   с органом местного самоуправления / 9.0	0	0	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Аттестация экстернов	"Из стр. 01 заключили договор: 
   с федеральным государственным органом / 7.0"	0	0	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Аттестация экстернов	"Студенты, заключившие договор о целевом обучении - всего
(сумма стр. 02, 04-06; 07-10) / 1.0"	0	0	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"          из них в рамках задания государственного плана подготовки
          кадров со средним профессиональным образованием для
          организаций оборонно-промышленного комплекса / 3.0"	0	0	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	       бюджета субъекта Российской Федерации / 4.0	0	0	0	0	0	0	0	3
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	       местного бюджета / 5.0	0	0	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	    по договорам об оказании платных образовательных услуг / 6.0	0	0	0	0	0	1	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"   в том числе обучающиеся:
      за счет бюджетных ассигнований: 
      федерального бюджета / 2.0"	0	0	0	0	0	1	0	1
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	   с организациями / 10.0	0	0	0	0	0	2	0	4
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	   с органом государственной власти субъекта Российской Федерации / 8.0	0	0	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	   с органом местного самоуправления / 9.0	0	0	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"Из стр. 01 заключили договор: 
   с федеральным государственным органом / 7.0"	0	0	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"Студенты, заключившие договор о целевом обучении - всего
(сумма стр. 02, 04-06; 07-10) / 1.0"	0	0	0	0	0	2	0	4
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"          из них в рамках задания государственного плана подготовки
          кадров со средним профессиональным образованием для
          организаций оборонно-промышленного комплекса / 3.0"	0	0	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	       бюджета субъекта Российской Федерации / 4.0	0	0	0	0	318	1254	71	267
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	       местного бюджета / 5.0	0	0	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    по договорам об оказании платных образовательных услуг / 6.0	0	0	0	0	1	7	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   в том числе обучающиеся:
      за счет бюджетных ассигнований: 
      федерального бюджета / 2.0"	0	0	0	0	0	3	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   с организациями / 10.0	0	0	0	0	11	20	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   с органом государственной власти субъекта Российской Федерации / 8.0	0	0	0	0	307	1243	71	267
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   с органом местного самоуправления / 9.0	0	0	0	0	1	1	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"Из стр. 01 заключили договор: 
   с федеральным государственным органом / 7.0"	0	0	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"Студенты, заключившие договор о целевом обучении - всего
(сумма стр. 02, 04-06; 07-10) / 1.0"	0	0	0	0	319	1264	71	267
