region	tags	indicator	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > Выпуск > 11.0	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > Принято > 9.0	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > Численность студентов > 10.0	Программы подготовки квалифицированных рабочих, служащих > на базе среднего общего образования > Выпуск > 14.0	Программы подготовки квалифицированных рабочих, служащих > на базе среднего общего образования > Принято > 12.0	Программы подготовки квалифицированных рабочих, служащих > на базе среднего общего образования > Численность студентов > 13.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > Выпуск > 5.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > Принято > 3.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > Численность студентов > 4.0	Программы подготовки специалистов среднего звена > на базе среднего общего образования > Выпуск > 8.0	Программы подготовки специалистов среднего звена > на базе среднего общего образования > Принято > 6.0	Программы подготовки специалистов среднего звена > на базе среднего общего образования > Численность студентов > 7.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   получают второе или последующее среднее профессиональное
   образование / 6.0"	0	2	4	0	0	1	41	3	3	20	33	80
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   получают среднее профессиональное образование впервые / 5.0	443	552	1306	60	84	108	1610	3570	10347	1102	1529	3825
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"Из стр. 01 - студенты, использующие образовательный кредит
для оплаты обучения / 7.0"	1	0	3	0	0	0	1	68	25	0	26	10
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"Студенты, обучающиеся по договорам об оказании платных
образовательных услуг - всего (сумма стр. 02-04; 05, 06) / 1.0"	443	554	1310	60	84	109	1651	3573	10350	1122	1562	3905
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	      иных физических лиц / 3.0	0	0	0	0	0	0	0	0	0	0	6	23
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	      юридических лиц / 4.0	0	0	0	0	0	0	0	0	0	64	53	56
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"   в том числе: 
   за счет средств: 
      лиц, зачисляемых на обучение (родителей (законных
      представителей) несовершеннолетних обучающихся) / 2.0"	0	0	0	0	40	39	0	0	0	104	118	293
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"   получают второе или последующее среднее профессиональное
   образование / 6.0"	0	0	0	0	0	0	0	0	0	66	97	126
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	   получают среднее профессиональное образование впервые / 5.0	0	0	0	0	40	39	0	0	0	102	80	246
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"Из стр. 01 - студенты, использующие образовательный кредит
для оплаты обучения / 7.0"	0	0	0	0	0	0	0	0	0	0	0	1
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"Студенты, обучающиеся по договорам об оказании платных
образовательных услуг - всего (сумма стр. 02-04; 05, 06) / 1.0"	0	0	0	0	40	39	0	0	0	168	177	372
Алтайский край	Частные; Заочная	      иных физических лиц / 3.0	0	0	0	0	0	0	31	74	260	47	54	134
Алтайский край	Частные; Заочная	      юридических лиц / 4.0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Заочная	"   в том числе: 
   за счет средств: 
      лиц, зачисляемых на обучение (родителей (законных
      представителей) несовершеннолетних обучающихся) / 2.0"	0	0	0	0	0	0	0	0	7	13	18	37
Алтайский край	Частные; Заочная	"   получают второе или последующее среднее профессиональное
   образование / 6.0"	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Заочная	   получают среднее профессиональное образование впервые / 5.0	0	0	0	0	0	0	31	74	267	60	72	171
Алтайский край	Частные; Заочная	"Из стр. 01 - студенты, использующие образовательный кредит
для оплаты обучения / 7.0"	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Заочная	"Студенты, обучающиеся по договорам об оказании платных
образовательных услуг - всего (сумма стр. 02-04; 05, 06) / 1.0"	0	0	0	0	0	0	31	74	267	60	72	171
Алтайский край	Частные; Очная	      иных физических лиц / 3.0	0	0	0	0	0	0	282	414	1098	77	116	253
Алтайский край	Частные; Очная	      юридических лиц / 4.0	0	0	0	0	0	0	0	0	1	0	0	0
Алтайский край	Частные; Очная	"   в том числе: 
   за счет средств: 
      лиц, зачисляемых на обучение (родителей (законных
      представителей) несовершеннолетних обучающихся) / 2.0"	0	0	0	0	7	7	150	494	1238	77	150	293
Алтайский край	Частные; Очная	"   получают второе или последующее среднее профессиональное
   образование / 6.0"	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Частные; Очная	   получают среднее профессиональное образование впервые / 5.0	0	0	0	0	7	7	432	908	2337	154	266	546
Алтайский край	Частные; Очная	"Из стр. 01 - студенты, использующие образовательный кредит
для оплаты обучения / 7.0"	0	0	0	0	0	0	0	2	2	0	2	2
Алтайский край	Частные; Очная	"Студенты, обучающиеся по договорам об оказании платных
образовательных услуг - всего (сумма стр. 02-04; 05, 06) / 1.0"	0	0	0	0	7	7	432	908	2337	154	266	546
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	      иных физических лиц / 3.0	0	0	0	0	0	0	77	89	359	127	173	686
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	      юридических лиц / 4.0	0	0	0	0	0	0	0	0	2	1	1	5
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"   в том числе: 
   за счет средств: 
      лиц, зачисляемых на обучение (родителей (законных
      представителей) несовершеннолетних обучающихся) / 2.0"	0	0	0	0	0	0	104	124	427	206	180	370
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"   получают второе или последующее среднее профессиональное
   образование / 6.0"	0	0	0	0	0	0	0	2	2	38	22	61
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	   получают среднее профессиональное образование впервые / 5.0	0	0	0	0	0	0	181	211	786	296	332	1000
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"Из стр. 01 - студенты, использующие образовательный кредит
для оплаты обучения / 7.0"	0	0	0	0	0	0	1	0	1	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"Студенты, обучающиеся по договорам об оказании платных
образовательных услуг - всего (сумма стр. 02-04; 05, 06) / 1.0"	0	0	0	0	0	0	181	213	788	334	354	1061
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      иных физических лиц / 3.0	0	0	0	0	0	0	68	150	475	58	26	131
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      юридических лиц / 4.0	0	0	0	0	0	0	0	0	1	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   в том числе: 
   за счет средств: 
      лиц, зачисляемых на обучение (родителей (законных
      представителей) несовершеннолетних обучающихся) / 2.0"	20	89	193	5	0	8	568	1198	3197	358	304	763
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   получают второе или последующее среднее профессиональное
   образование / 6.0"	0	0	0	1	0	3	0	0	0	3	24	32
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   получают среднее профессиональное образование впервые / 5.0	20	89	193	4	0	5	636	1348	3673	413	306	862
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"Из стр. 01 - студенты, использующие образовательный кредит
для оплаты обучения / 7.0"	0	0	0	0	0	0	0	5	8	1	2	3
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"Студенты, обучающиеся по договорам об оказании платных
образовательных услуг - всего (сумма стр. 02-04; 05, 06) / 1.0"	20	89	193	5	0	8	636	1348	3673	416	330	894
Амурская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	      иных физических лиц / 3.0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	      юридических лиц / 4.0	0	0	0	0	0	0	0	0	0	0	1	1
Амурская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"   в том числе: 
   за счет средств: 
      лиц, зачисляемых на обучение (родителей (законных
      представителей) несовершеннолетних обучающихся) / 2.0"	0	0	0	0	0	0	0	7	23	53	92	265
Амурская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"   получают второе или последующее среднее профессиональное
   образование / 6.0"	0	0	0	0	0	0	0	0	0	53	72	191
Амурская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	   получают среднее профессиональное образование впервые / 5.0	0	0	0	0	0	0	0	7	23	0	21	75
Амурская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"Из стр. 01 - студенты, использующие образовательный кредит
для оплаты обучения / 7.0"	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"Студенты, обучающиеся по договорам об оказании платных
образовательных услуг - всего (сумма стр. 02-04; 05, 06) / 1.0"	0	0	0	0	0	0	0	7	23	53	93	266
Амурская область	Частные; Очная	      иных физических лиц / 3.0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Частные; Очная	      юридических лиц / 4.0	0	0	0	8	11	11	0	0	0	17	11	36
Амурская область	Частные; Очная	"   в том числе: 
   за счет средств: 
      лиц, зачисляемых на обучение (родителей (законных
      представителей) несовершеннолетних обучающихся) / 2.0"	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Частные; Очная	"   получают второе или последующее среднее профессиональное
   образование / 6.0"	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Частные; Очная	   получают среднее профессиональное образование впервые / 5.0	0	0	0	8	11	11	0	0	0	17	11	36
Амурская область	Частные; Очная	"Из стр. 01 - студенты, использующие образовательный кредит
для оплаты обучения / 7.0"	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Частные; Очная	"Студенты, обучающиеся по договорам об оказании платных
образовательных услуг - всего (сумма стр. 02-04; 05, 06) / 1.0"	0	0	0	8	11	11	0	0	0	17	11	36
Амурская область	Частные; Очно-заочная	      иных физических лиц / 3.0	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Частные; Очно-заочная	      юридических лиц / 4.0	0	0	0	30	14	14	0	0	0	0	0	0
Амурская область	Частные; Очно-заочная	"   в том числе: 
   за счет средств: 
      лиц, зачисляемых на обучение (родителей (законных
      представителей) несовершеннолетних обучающихся) / 2.0"	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Частные; Очно-заочная	"   получают второе или последующее среднее профессиональное
   образование / 6.0"	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Частные; Очно-заочная	   получают среднее профессиональное образование впервые / 5.0	0	0	0	30	14	14	0	0	0	0	0	0
Амурская область	Частные; Очно-заочная	"Из стр. 01 - студенты, использующие образовательный кредит
для оплаты обучения / 7.0"	0	0	0	0	0	0	0	0	0	0	0	0
Амурская область	Частные; Очно-заочная	"Студенты, обучающиеся по договорам об оказании платных
образовательных услуг - всего (сумма стр. 02-04; 05, 06) / 1.0"	0	0	0	30	14	14	0	0	0	0	0	0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	      иных физических лиц / 3.0	0	0	0	0	0	0	1	0	2	99	58	267
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	      юридических лиц / 4.0	0	0	0	0	0	0	0	0	0	2	0	0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"   в том числе: 
   за счет средств: 
      лиц, зачисляемых на обучение (родителей (законных
      представителей) несовершеннолетних обучающихся) / 2.0"	0	0	0	0	0	0	0	0	0	160	160	578
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"   получают второе или последующее среднее профессиональное
   образование / 6.0"	0	0	0	0	0	0	0	0	0	34	31	123
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	   получают среднее профессиональное образование впервые / 5.0	0	0	0	0	0	0	1	0	2	227	187	722
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"Из стр. 01 - студенты, использующие образовательный кредит
для оплаты обучения / 7.0"	0	0	0	0	0	0	0	0	0	0	0	0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"Студенты, обучающиеся по договорам об оказании платных
образовательных услуг - всего (сумма стр. 02-04; 05, 06) / 1.0"	0	0	0	0	0	0	1	0	2	261	218	845
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      иных физических лиц / 3.0	0	0	6	0	0	0	17	3	72	13	22	51
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      юридических лиц / 4.0	0	0	0	0	0	0	0	6	3	0	36	35
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   в том числе: 
   за счет средств: 
      лиц, зачисляемых на обучение (родителей (законных
      представителей) несовершеннолетних обучающихся) / 2.0"	12	30	48	1	1	1	75	375	872	76	85	206
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   получают второе или последующее среднее профессиональное
   образование / 6.0"	0	0	3	1	1	1	4	7	14	24	42	87
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   получают среднее профессиональное образование впервые / 5.0	12	30	51	0	0	0	88	377	933	65	101	205
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"Из стр. 01 - студенты, использующие образовательный кредит
для оплаты обучения / 7.0"	0	0	0	0	0	0	0	0	0	0	0	0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"Студенты, обучающиеся по договорам об оказании платных
образовательных услуг - всего (сумма стр. 02-04; 05, 06) / 1.0"	12	30	54	1	1	1	92	384	947	89	143	292
Архангельская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	      иных физических лиц / 3.0	0	0	0	0	0	0	0	0	0	0	0	0
Архангельская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	      юридических лиц / 4.0	0	0	0	0	0	0	0	0	0	0	1	1
Архангельская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"   в том числе: 
   за счет средств: 
      лиц, зачисляемых на обучение (родителей (законных
      представителей) несовершеннолетних обучающихся) / 2.0"	0	0	0	0	0	0	0	0	0	56	131	311
Архангельская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"   получают второе или последующее среднее профессиональное
   образование / 6.0"	0	0	0	0	0	0	0	0	0	35	57	181
Архангельская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	   получают среднее профессиональное образование впервые / 5.0	0	0	0	0	0	0	0	0	0	21	75	131
Архангельская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"Из стр. 01 - студенты, использующие образовательный кредит
для оплаты обучения / 7.0"	0	0	0	0	0	0	0	0	0	0	0	0
Архангельская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"Студенты, обучающиеся по договорам об оказании платных
образовательных услуг - всего (сумма стр. 02-04; 05, 06) / 1.0"	0	0	0	0	0	0	0	0	0	56	132	312
Архангельская область	Частные; Заочная	      иных физических лиц / 3.0	0	0	0	0	0	0	0	0	0	0	0	0
Архангельская область	Частные; Заочная	      юридических лиц / 4.0	0	0	0	0	0	0	0	0	0	0	0	0
Архангельская область	Частные; Заочная	"   в том числе: 
   за счет средств: 
      лиц, зачисляемых на обучение (родителей (законных
      представителей) несовершеннолетних обучающихся) / 2.0"	0	0	0	0	0	0	35	46	187	55	59	185
Архангельская область	Частные; Заочная	"   получают второе или последующее среднее профессиональное
   образование / 6.0"	0	0	0	0	0	0	0	0	2	0	0	1
Архангельская область	Частные; Заочная	   получают среднее профессиональное образование впервые / 5.0	0	0	0	0	0	0	35	46	185	55	59	184
Архангельская область	Частные; Заочная	"Из стр. 01 - студенты, использующие образовательный кредит
для оплаты обучения / 7.0"	0	0	0	0	0	0	0	0	0	0	0	0
Архангельская область	Частные; Заочная	"Студенты, обучающиеся по договорам об оказании платных
образовательных услуг - всего (сумма стр. 02-04; 05, 06) / 1.0"	0	0	0	0	0	0	35	46	187	55	59	185
Архангельская область	Частные; Очная	      иных физических лиц / 3.0	0	0	0	0	0	0	0	0	0	0	0	0
Архангельская область	Частные; Очная	      юридических лиц / 4.0	0	0	0	0	0	0	0	0	0	0	0	0
Архангельская область	Частные; Очная	"   в том числе: 
   за счет средств: 
      лиц, зачисляемых на обучение (родителей (законных
      представителей) несовершеннолетних обучающихся) / 2.0"	0	0	0	0	0	0	17	119	319	15	67	113
Архангельская область	Частные; Очная	"   получают второе или последующее среднее профессиональное
   образование / 6.0"	0	0	0	0	0	0	0	0	0	0	1	2
Архангельская область	Частные; Очная	   получают среднее профессиональное образование впервые / 5.0	0	0	0	0	0	0	17	119	319	15	66	111
Архангельская область	Частные; Очная	"Из стр. 01 - студенты, использующие образовательный кредит
для оплаты обучения / 7.0"	0	0	0	0	0	0	0	0	0	0	1	1
Архангельская область	Частные; Очная	"Студенты, обучающиеся по договорам об оказании платных
образовательных услуг - всего (сумма стр. 02-04; 05, 06) / 1.0"	0	0	0	0	0	0	17	119	319	15	67	113
Архангельская область	Частные; Очно-заочная	      иных физических лиц / 3.0	0	0	0	0	0	0	0	0	0	0	0	0
Архангельская область	Частные; Очно-заочная	      юридических лиц / 4.0	0	0	0	0	0	0	0	0	0	0	0	0
Архангельская область	Частные; Очно-заочная	"   в том числе: 
   за счет средств: 
      лиц, зачисляемых на обучение (родителей (законных
      представителей) несовершеннолетних обучающихся) / 2.0"	0	0	0	0	0	0	35	0	56	2	7	72
Архангельская область	Частные; Очно-заочная	"   получают второе или последующее среднее профессиональное
   образование / 6.0"	0	0	0	0	0	0	0	0	0	0	0	0
Архангельская область	Частные; Очно-заочная	   получают среднее профессиональное образование впервые / 5.0	0	0	0	0	0	0	35	0	56	2	7	72
Архангельская область	Частные; Очно-заочная	"Из стр. 01 - студенты, использующие образовательный кредит
для оплаты обучения / 7.0"	0	0	0	0	0	0	0	0	0	0	0	0
Архангельская область	Частные; Очно-заочная	"Студенты, обучающиеся по договорам об оказании платных
образовательных услуг - всего (сумма стр. 02-04; 05, 06) / 1.0"	0	0	0	0	0	0	35	0	56	2	7	72
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	      иных физических лиц / 3.0	0	0	0	0	0	0	53	26	136	95	37	226
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	      юридических лиц / 4.0	0	0	0	0	0	0	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"   в том числе: 
   за счет средств: 
      лиц, зачисляемых на обучение (родителей (законных
      представителей) несовершеннолетних обучающихся) / 2.0"	0	0	0	0	0	0	94	254	736	251	299	975
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"   получают второе или последующее среднее профессиональное
   образование / 6.0"	0	0	0	0	0	0	5	6	19	23	14	40
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	   получают среднее профессиональное образование впервые / 5.0	0	0	0	0	0	0	142	274	853	323	322	1161
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"Из стр. 01 - студенты, использующие образовательный кредит
для оплаты обучения / 7.0"	0	0	0	0	0	0	0	0	0	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"Студенты, обучающиеся по договорам об оказании платных
образовательных услуг - всего (сумма стр. 02-04; 05, 06) / 1.0"	0	0	0	0	0	0	147	280	872	346	336	1201
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      иных физических лиц / 3.0	0	5	44	0	0	0	12	4	11	0	0	0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      юридических лиц / 4.0	0	0	0	0	0	0	0	1	1	0	0	1
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   в том числе: 
   за счет средств: 
      лиц, зачисляемых на обучение (родителей (законных
      представителей) несовершеннолетних обучающихся) / 2.0"	85	111	299	3	0	0	1252	2796	7468	308	478	1072
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   получают второе или последующее среднее профессиональное
   образование / 6.0"	0	1	1	0	0	0	3	4	14	13	23	41
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   получают среднее профессиональное образование впервые / 5.0	85	115	342	3	0	0	1261	2797	7466	295	455	1032
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"Из стр. 01 - студенты, использующие образовательный кредит
для оплаты обучения / 7.0"	0	0	1	0	0	0	2	9	15	1	1	2
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"Студенты, обучающиеся по договорам об оказании платных
образовательных услуг - всего (сумма стр. 02-04; 05, 06) / 1.0"	85	116	343	3	0	0	1264	2801	7480	308	478	1073
Астраханская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	      иных физических лиц / 3.0	0	0	0	0	0	0	0	0	0	0	0	0
Астраханская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	      юридических лиц / 4.0	0	0	0	0	0	0	0	0	2	1	0	0
Астраханская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"   в том числе: 
   за счет средств: 
      лиц, зачисляемых на обучение (родителей (законных
      представителей) несовершеннолетних обучающихся) / 2.0"	0	0	0	0	0	0	37	0	151	93	176	717
Астраханская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"   получают второе или последующее среднее профессиональное
   образование / 6.0"	0	0	0	0	0	0	0	0	0	16	50	91
Астраханская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	   получают среднее профессиональное образование впервые / 5.0	0	0	0	0	0	0	37	0	153	78	126	626
Астраханская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"Из стр. 01 - студенты, использующие образовательный кредит
для оплаты обучения / 7.0"	0	0	0	0	0	0	0	0	0	0	0	0
Астраханская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"Студенты, обучающиеся по договорам об оказании платных
образовательных услуг - всего (сумма стр. 02-04; 05, 06) / 1.0"	0	0	0	0	0	0	37	0	153	94	176	717
Астраханская область	Частные; Заочная	      иных физических лиц / 3.0	0	0	0	0	0	0	0	0	0	0	0	0
Астраханская область	Частные; Заочная	      юридических лиц / 4.0	0	0	0	0	0	0	0	0	0	0	0	0
Астраханская область	Частные; Заочная	"   в том числе: 
   за счет средств: 
      лиц, зачисляемых на обучение (родителей (законных
      представителей) несовершеннолетних обучающихся) / 2.0"	0	0	0	0	0	0	6	16	52	71	19	148
Астраханская область	Частные; Заочная	"   получают второе или последующее среднее профессиональное
   образование / 6.0"	0	0	0	0	0	0	0	0	0	0	0	0
Астраханская область	Частные; Заочная	   получают среднее профессиональное образование впервые / 5.0	0	0	0	0	0	0	6	16	52	71	19	148
Астраханская область	Частные; Заочная	"Из стр. 01 - студенты, использующие образовательный кредит
для оплаты обучения / 7.0"	0	0	0	0	0	0	0	0	0	0	0	0
Астраханская область	Частные; Заочная	"Студенты, обучающиеся по договорам об оказании платных
образовательных услуг - всего (сумма стр. 02-04; 05, 06) / 1.0"	0	0	0	0	0	0	6	16	52	71	19	148
Астраханская область	Частные; Очная	      иных физических лиц / 3.0	0	0	0	0	0	0	0	0	0	0	0	0
