region	tags	indicator	 Выбыло работников, человек > всего > 10.0	" Выбыло работников, человек > из них по собственному желанию
 > 11.0"	Принято работников, человек > всего > 7.0	Принято работников, человек > из них выпускники: > с высшим образованием > 9.0	Принято работников, человек > из них выпускники: > со средним профессиональ-ным образованием по программам подготовки специалистов среднего звена > 8.0	Фактически занято, единиц > всего > 4.0	"Фактически занято, единиц > работниками списочного состава
 > 5.0"	Численность работников на начало отчетного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек > 12.0	Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек > 6.0	Число ставок по штату, единиц > 3.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       преподаватели-организаторы
       (основ безопасности
       жизнедеятельности, 
       допризывной подготовки) / 16.0"	8.0	4.0	3.0	0.0	2.0	26.2	24.2	24.0	29.0	33.9
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       прочие / 20.0	33.0	32.0	57.0	10.0	13.0	249.77999999999997	239.62	222.0	193.0	320.53999999999996
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       руководители физического
       воспитания / 17.0"	22.0	4.0	5.0	2.0	2.0	32.5	29.5	31.0	49.0	42.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       руководитель филиала / 5.0	4.0	4.0	6.0	5.0	0.0	26.0	26.0	24.0	22.0	29.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       социальные педагоги / 13.0	9.0	6.0	10.0	1.0	0.0	43.0	40.5	42.0	41.0	55.5
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       тьюторы / 19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    в том числе: 
    руководящие работники - всего / 2.0"	59.0	51.0	58.0	32.0	0.0	481.05	451.55	474.0	474.0	547.75
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    обслуживающий персонал / 22.0	487.0	375.0	412.0	21.0	69.0	2206.85	1910.95	1924.0	2011.0	2963.1500000000005
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    педагогические работники - всего
    (сумма строк 07,12-20) / 6.0"	821.0	497.0	702.0	269.0	131.0	4134.27	3500.7	3042.0	3164.0	5346.219999999998
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    учебно-вспомогательный
    персонал / 21.0"	172.0	131.0	146.0	17.0	32.0	829.2	681.35	733.0	745.0	1108.9
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 23.0	82.0	60.0	66.0	33.0	13.0	527.8600000000001	459.57000000000005	446.0	451.0	676.6799999999998
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 24.0	476.0	221.0	384.0	155.0	55.0	2305.8300000000004	1874.8	1630.0	1619.0	2980.3199999999997
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 25.0	30.0	30.0	33.0	9.0	15.0	360.34999999999997	311.84999999999997	305.0	310.0	473.0999999999999
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 26.0	12.0	6.0	9.0	2.0	5.0	65.0	64.0	57.0	60.0	82.61999999999999
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников - всего (сумма строк 02, 06, 21, 22) / 1.0	1539.0	1054.0	1318.0	339.0	232.0	7651.37	6544.549999999999	6173.0	6394.0	9966.02
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"          из них: 
          общеобразовательных
          дисциплин / 8.0"	5.0	5.0	6.0	5.0	0.0	32.0	29.0	30.0	29.0	45.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"          математического и общего
          естественнонаучного учебного
          цикла / 10.0"	1.0	1.0	3.0	3.0	0.0	10.61	8.36	8.0	6.0	13.61
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"          общего гуманитарного и
          социально-экономического
           учебного цикла / 9.0"	1.0	1.0	7.0	7.0	0.0	17.45	15.45	15.0	9.0	21.45
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"          профессионального учебного
          цикла / 11.0"	9.0	9.0	7.0	4.0	3.0	49.0	42.5	43.0	45.0	79.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"       в том числе: 
       преподаватели - всего
       (сумма строк 8-11) / 7.0"	16.0	16.0	23.0	19.0	3.0	109.06	95.31	96.0	89.0	159.06
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"       заместители директора
       (начальника) / 4.0"	0.0	0.0	0.0	0.0	0.0	6.0	6.0	6.0	7.0	7.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"       из них: 
       директор (начальник) / 3.0"	0.0	0.0	0.0	0.0	0.0	4.25	4.25	4.0	4.0	4.25
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"       мастера производственного
       обучения / 12.0"	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.4
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       методисты / 18.0	2.0	2.0	1.0	0.0	0.0	1.8	1.8	2.0	3.0	2.8
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       педагоги-организаторы / 15.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       педагоги-психологи / 14.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	2.0	1.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"       преподаватели-организаторы
       (основ безопасности
       жизнедеятельности, 
       допризывной подготовки) / 16.0"	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       прочие / 20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"       руководители физического
       воспитания / 17.0"	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	2.0	2.6
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       руководитель филиала / 5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       социальные педагоги / 13.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       тьюторы / 19.0	2.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	2.0	1.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"    в том числе: 
    руководящие работники - всего / 2.0"	0.0	0.0	0.0	0.0	0.0	14.0	14.0	14.0	14.0	16.35
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	    обслуживающий персонал / 22.0	9.0	9.0	8.0	4.0	2.0	25.79	23.79	25.0	26.0	29.7
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"    педагогические работники - всего
    (сумма строк 07,12-20) / 6.0"	22.0	22.0	28.0	22.0	4.0	117.86	104.11	105.0	99.0	169.86
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"    учебно-вспомогательный
    персонал / 21.0"	3.0	3.0	6.0	6.0	0.0	21.75	21.75	24.0	21.0	24.45
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 24.0	16.0	16.0	20.0	16.0	3.0	99.06	85.31	93.0	82.0	148.06
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 26.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.4
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников - всего (сумма строк 02, 06, 21, 22) / 1.0	34.0	34.0	42.0	32.0	6.0	179.4	163.65	168.0	160.0	240.36
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          из них: 
          общеобразовательных
          дисциплин / 8.0"	51.0	47.0	70.0	35.0	0.0	275.82	254.96	255.0	219.0	391.78000000000003
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          математического и общего
          естественнонаучного учебного
          цикла / 10.0"	25.0	20.0	10.0	6.0	1.0	78.03999999999999	69.24000000000001	62.0	74.0	104.16
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          общего гуманитарного и
          социально-экономического
           учебного цикла / 9.0"	11.0	8.0	23.0	19.0	0.0	112.75	94.14	97.0	83.0	144.34
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          профессионального учебного
          цикла / 11.0"	29.0	26.0	39.0	16.0	5.0	570.1	485.64	480.0	470.0	924.72
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       в том числе: 
       преподаватели - всего
       (сумма строк 8-11) / 7.0"	116.0	101.0	142.0	76.0	6.0	1036.71	903.9799999999999	894.0	846.0	1565.0000000000002
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       заместители директора
       (начальника) / 4.0"	12.0	11.0	9.0	2.0	0.0	54.5	54.0	58.0	58.0	63.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       из них: 
       директор (начальник) / 3.0"	1.0	0.0	0.0	0.0	0.0	13.0	13.0	15.0	16.0	15.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       мастера производственного
       обучения / 12.0"	11.0	11.0	15.0	0.0	8.0	132.5	119.5	121.0	132.0	165.5
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       методисты / 18.0	5.0	5.0	7.0	1.0	0.0	42.0	41.0	44.0	45.0	64.5
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       педагоги-организаторы / 15.0	6.0	6.0	6.0	1.0	0.0	23.0	21.0	26.0	25.0	27.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       педагоги-психологи / 14.0	3.0	3.0	4.0	1.0	0.0	22.0	21.0	24.0	24.0	28.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       преподаватели-организаторы
       (основ безопасности
       жизнедеятельности, 
       допризывной подготовки) / 16.0"	6.0	3.0	3.0	0.0	0.0	10.0	9.0	11.0	11.0	16.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       прочие / 20.0	10.0	9.0	17.0	3.0	4.0	91.0	85.0	92.0	86.0	124.75
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       руководители физического
       воспитания / 17.0"	1.0	0.0	1.0	0.0	0.0	6.0	6.0	5.0	7.0	7.5
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       руководитель филиала / 5.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0	5.0	4.0	5.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       социальные педагоги / 13.0	1.0	1.0	1.0	0.0	0.0	38.0	38.0	37.0	35.0	39.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       тьюторы / 19.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	2.0	2.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    в том числе: 
    руководящие работники - всего / 2.0"	24.0	21.0	21.0	7.0	0.0	175.0	174.0	177.0	180.0	190.75
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    обслуживающий персонал / 22.0	196.0	147.0	149.0	7.0	26.0	791.9	720.9	734.0	792.0	1058.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    педагогические работники - всего
    (сумма строк 07,12-20) / 6.0"	159.0	139.0	196.0	82.0	18.0	1403.2099999999998	1246.48	1256.0	1213.0	2039.2500000000002
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    учебно-вспомогательный
    персонал / 21.0"	14.0	11.0	21.0	0.0	4.0	116.6	99.55	111.0	99.0	158.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 23.0	20.0	20.0	22.0	6.0	0.0	179.0	159.0	159.0	149.0	224.5
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 24.0	37.0	29.0	32.0	3.0	1.0	718.6	643.9799999999999	655.0	558.0	1139.15
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 25.0	9.0	9.0	5.0	0.0	2.0	89.0	76.0	77.0	88.0	119.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 26.0	0.0	0.0	1.0	0.0	0.0	20.0	20.0	21.0	16.0	21.5
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников - всего (сумма строк 02, 06, 21, 22) / 1.0	393.0	318.0	387.0	96.0	48.0	2486.71	2240.93	2278.0	2284.0	3446.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	"          из них: 
          общеобразовательных
          дисциплин / 8.0"	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	"          математического и общего
          естественнонаучного учебного
          цикла / 10.0"	1.0	1.0	0.0	0.0	0.0	2.0	1.0	1.0	2.0	3.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	"          общего гуманитарного и
          социально-экономического
           учебного цикла / 9.0"	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	3.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	"          профессионального учебного
          цикла / 11.0"	0.0	0.0	1.0	1.0	0.0	6.0	5.0	5.0	4.0	6.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	"       в том числе: 
       преподаватели - всего
       (сумма строк 8-11) / 7.0"	4.0	4.0	1.0	1.0	0.0	10.0	6.0	6.0	9.0	14.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	"       заместители директора
       (начальника) / 4.0"	2.0	2.0	0.0	0.0	0.0	4.0	4.0	4.0	6.0	6.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	"       из них: 
       директор (начальник) / 3.0"	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	"       мастера производственного
       обучения / 12.0"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	       методисты / 18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	       педагоги-организаторы / 15.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	       педагоги-психологи / 14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	"       преподаватели-организаторы
       (основ безопасности
       жизнедеятельности, 
       допризывной подготовки) / 16.0"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	       прочие / 20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	"       руководители физического
       воспитания / 17.0"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	       руководитель филиала / 5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	       социальные педагоги / 13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	       тьюторы / 19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	"    в том числе: 
    руководящие работники - всего / 2.0"	2.0	2.0	1.0	1.0	0.0	5.0	5.0	5.0	6.0	7.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	    обслуживающий персонал / 22.0	2.0	2.0	4.0	0.0	0.0	28.0	28.0	28.0	26.0	31.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	"    педагогические работники - всего
    (сумма строк 07,12-20) / 6.0"	4.0	4.0	1.0	1.0	0.0	11.0	7.0	7.0	10.0	15.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	"    учебно-вспомогательный
    персонал / 21.0"	0.0	0.0	2.0	2.0	0.0	6.0	6.0	6.0	4.0	7.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 23.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	2.0	3.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 24.0	0.0	0.0	0.0	0.0	0.0	8.0	4.0	4.0	5.0	11.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников - всего (сумма строк 02, 06, 21, 22) / 1.0	8.0	8.0	8.0	4.0	0.0	50.0	46.0	46.0	46.0	60.0
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          из них: 
          общеобразовательных
          дисциплин / 8.0"	36.0	33.0	38.0	27.0	3.0	367.97	339.7	371.0	375.0	496.05000000000007
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          математического и общего
          естественнонаучного учебного
          цикла / 10.0"	11.0	10.0	10.0	5.0	0.0	108.81	100.16	94.0	92.0	140.04999999999998
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          общего гуманитарного и
          социально-экономического
           учебного цикла / 9.0"	16.0	13.0	17.0	9.0	1.0	155.04	143.62	142.0	136.0	205.51000000000002
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          профессионального учебного
          цикла / 11.0"	72.0	59.0	99.0	41.0	13.0	771.4399999999999	672.3299999999999	653.0	621.0	953.49
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       в том числе: 
       преподаватели - всего
       (сумма строк 8-11) / 7.0"	135.0	115.0	164.0	82.0	17.0	1403.2599999999998	1255.8099999999995	1260.0	1224.0	1795.1
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       заместители директора
       (начальника) / 4.0"	8.0	7.0	7.0	4.0	0.0	106.5	98.5	120.0	116.0	115.0
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       из них: 
       директор (начальник) / 3.0"	6.0	4.0	1.0	0.0	0.0	32.0	31.0	36.0	41.0	37.0
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       мастера производственного
       обучения / 12.0"	43.0	37.0	29.0	12.0	12.0	268.0	246.0	307.0	326.0	348.78
