region	tags	indicator	Всего, человек > 3.0	Из гр. 3 > жен-щины > 16.0	Из гр. 3 > имеют квалификацион-ные категории > высшую > 14.0	Из гр. 3 > имеют квалификацион-ные категории > первую > 15.0	Из них (из гр.3) имеют образование > Из гр.4 имеют: > ученое звание > доцента > 10.0	Из них (из гр.3) имеют образование > Из гр.4 имеют: > ученое звание > профессора > 9.0	Из них (из гр.3) имеют образование > Из гр.4 имеют: > ученую степень > PhD > 8.0	Из них (из гр.3) имеют образование > Из гр.4 имеют: > ученую степень > доктора наук > 6.0	Из них (из гр.3) имеют образование > Из гр.4 имеют: > ученую степень > кандидата наук > 7.0	Из них (из гр.3) имеют образование > высшее > 4.0	"Из них (из гр.3) имеют образование > из них (гр. 11) педаго-гическое
 > 12.0"	Из них (из гр.3) имеют образование > из них (из гр.4) педаго- гическое > 5.0	"Из них (из гр.3) имеют образование > среднее профес-сиональное образование по программам подготовки квалифици-
рованных рабочих (служащих) > 13.0"	Из них (из гр.3) имеют образование > среднее профес-сиональное образование по программам подготовки специалистов среднего звена > 11.0	численность работников в пересчете на полную занятость, единиц > 17.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       педагоги-психологи / 14.0	56.0	56.0	14.0	15.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	44.0	0.0	3.0	55.2
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       преподаватели-организаторы (основ безопасности 
       жизнедеятельности, допризывной подготовки) / 16.0"	24.0	4.0	10.0	7.0	0.0	0.0	0.0	0.0	0.0	16.0	4.0	13.0	0.0	7.0	24.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       прочие / 20.0	222.0	177.0	52.0	44.0	2.0	0.0	0.0	0.0	2.0	147.0	45.0	115.0	5.0	67.0	216.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       руководители физического воспитания / 17.0	31.0	8.0	22.0	4.0	0.0	0.0	0.0	0.0	0.0	19.0	9.0	18.0	0.0	10.0	31.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       руководитель филиала / 5.0	24.0	14.0	9.0	4.0	1.0	0.0	0.0	0.0	1.0	24.0	0.0	13.0	0.0	0.0	0.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       социальные педагоги / 13.0	42.0	42.0	9.0	7.0	0.0	0.0	0.0	0.0	0.0	29.0	4.0	20.0	1.0	11.0	42.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       тьюторы / 19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    в том числе: 
    руководящие работники - всего / 2.0"	474.0	364.0	131.0	19.0	6.0	0.0	0.0	0.0	24.0	439.0	2.0	255.0	1.0	22.0	0.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    обслуживающий персонал / 22.0	1924.0	1250.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	367.0	27.0	59.0	479.0	574.0	0.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    педагогические работники - всего (сумма строк 07,12-20) / 6.0	3042.0	2272.0	1207.0	607.0	42.0	0.0	0.0	0.0	101.0	2421.0	247.0	1700.0	53.0	530.0	3238.5
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    учебно-вспомогательный персонал / 21.0	733.0	638.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0	295.0	28.0	75.0	81.0	247.0	0.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 23.0	446.0	349.0	210.0	97.0	2.0	0.0	0.0	0.0	6.0	391.0	19.0	292.0	5.0	42.0	457.5
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 24.0	1630.0	1264.0	682.0	291.0	37.0	0.0	0.0	0.0	83.0	1453.0	73.0	1000.0	0.0	173.0	1828.2
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 25.0	305.0	144.0	107.0	73.0	0.0	0.0	0.0	0.0	0.0	99.0	48.0	41.0	35.0	122.0	305.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 26.0	57.0	31.0	20.0	13.0	0.0	0.0	0.0	0.0	0.0	24.0	8.0	5.0	1.0	29.0	55.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Справка 7. (заполняется за прошлый учебный год): Численность преподавателей, направленных для преподавания в другие профессиональные образовательные организации России / 27.0	0.0														
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Справка 7. (заполняется за прошлый учебный год): Численность преподавателей, направленных для преподавания за рубеж / 28.0	0.0														
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Справка 8.     из них реализующие образовательные программы: подготовки квалифицированных рабочих, служащих / 30.0	359.0														
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Справка 8.     из них реализующие образовательные программы: подготовки специалистов среднего звена / 31.0	1446.0														
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Справка 8. Численность преподавателей, использующих в учебном процессе персональные компьютеры / 29.0	1952.0														
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Справка 9.    из них преподавателей и мастеров производственного обучения / 33.0	0.0														
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Справка 9.    из них преподавателей и мастеров производственного обучения / 35.0	0.0														
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Справка 9. Численность работников, имеющих свидетельство Союза «Молодые профессионалы»                  (Worldskills Russia) с правом на участие в оценке демонстрационного экзамена по стандартам Ворлдскиллс / 34.0	0.0														
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Справка 9. Численность работников, имеющих сертификат эксперта Ворлдскиллс / 32.0	0.0														
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников - всего (сумма строк 02, 06, 21, 22) / 1.0	6173.0	4524.0	1345.0	632.0	48.0	0.0	0.0	0.0	125.0	3522.0	304.0	2089.0	614.0	1373.0	0.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"          из них: 
          по общеобразовательных дисциплин / 8.0"	30.0	23.0	5.0	9.0	1.0	0.0	0.0	0.0	1.0	28.0	0.0	26.0	0.0	1.0	41.4
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	          математического и общего естественнонаучного учебного цикла / 10.0	8.0	7.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	5.0	0.0	0.0	10.6
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"          общего гуманитарного и социально-экономического учебного
          цикла / 9.0"	15.0	10.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	15.0	0.0	12.0	0.0	0.0	18.9
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	          профессионального учебного цикла / 11.0	43.0	36.0	16.0	9.0	0.0	0.0	0.0	0.0	2.0	37.0	1.0	15.0	0.0	6.0	67.1
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"       в том числе: 
       преподаватели - всего (сумма строк 8-11) / 7.0"	96.0	76.0	25.0	23.0	1.0	0.0	0.0	0.0	5.0	88.0	1.0	58.0	0.0	7.0	138.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       в том числе: педагоги-организаторы / 15.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       заместители директора (начальника) / 4.0	6.0	5.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	6.0	0.0	4.0	0.0	0.0	0.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"       из них: 
       директор (начальник) / 3.0"	4.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	2.0	0.0	0.0	0.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       мастера производственного обучения / 12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       методисты / 18.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.8
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       педагоги-психологи / 14.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"       преподаватели-организаторы (основ безопасности 
       жизнедеятельности, допризывной подготовки) / 16.0"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       прочие / 20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       руководители физического воспитания / 17.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	1.5
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       руководитель филиала / 5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       социальные педагоги / 13.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       тьюторы / 19.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"    в том числе: 
    руководящие работники - всего / 2.0"	14.0	12.0	5.0	2.0	0.0	0.0	0.0	0.0	2.0	14.0	0.0	7.0	0.0	0.0	0.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	    обслуживающий персонал / 22.0	25.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	4.0	3.0	9.0	0.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	    педагогические работники - всего (сумма строк 07,12-20) / 6.0	105.0	83.0	26.0	25.0	1.0	0.0	0.0	0.0	5.0	97.0	1.0	63.0	0.0	7.0	146.3
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	    учебно-вспомогательный персонал / 21.0	24.0	20.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	2.0	0.0	4.0	0.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 24.0	93.0	75.0	25.0	22.0	1.0	0.0	0.0	0.0	4.0	81.0	0.0	55.0	0.0	6.0	136.5
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Справка 7. (заполняется за прошлый учебный год): Численность преподавателей, направленных для преподавания в другие профессиональные образовательные организации России / 27.0	0.0														
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Справка 7. (заполняется за прошлый учебный год): Численность преподавателей, направленных для преподавания за рубеж / 28.0	0.0														
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Справка 8.     из них реализующие образовательные программы: подготовки квалифицированных рабочих, служащих / 30.0	0.0														
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Справка 8.     из них реализующие образовательные программы: подготовки специалистов среднего звена / 31.0	21.0														
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Справка 8. Численность преподавателей, использующих в учебном процессе персональные компьютеры / 29.0	52.0														
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Справка 9.    из них преподавателей и мастеров производственного обучения / 33.0	0.0														
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Справка 9.    из них преподавателей и мастеров производственного обучения / 35.0	0.0														
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Справка 9. Численность работников, имеющих свидетельство Союза «Молодые профессионалы»                  (Worldskills Russia) с правом на участие в оценке демонстрационного экзамена по стандартам Ворлдскиллс / 34.0	0.0														
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Справка 9. Численность работников, имеющих сертификат эксперта Ворлдскиллс / 32.0	0.0														
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников - всего (сумма строк 02, 06, 21, 22) / 1.0	168.0	133.0	31.0	28.0	1.0	0.0	0.0	0.0	7.0	140.0	1.0	76.0	3.0	20.0	0.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          из них: 
          по общеобразовательных дисциплин / 8.0"	255.0	209.0	56.0	73.0	1.0	0.0	0.0	0.0	2.0	251.0	3.0	233.0	0.0	4.0	265.2
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	          математического и общего естественнонаучного учебного цикла / 10.0	62.0	51.0	11.0	19.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	60.0	0.0	0.0	66.19999999999999
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          общего гуманитарного и социально-экономического учебного
          цикла / 9.0"	97.0	65.0	26.0	21.0	0.0	0.0	0.0	0.0	1.0	95.0	2.0	85.0	0.0	2.0	112.10000000000001
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	          профессионального учебного цикла / 11.0	480.0	375.0	187.0	104.0	2.0	0.0	0.0	0.0	7.0	434.0	6.0	192.0	1.0	42.0	540.1
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       в том числе: 
       преподаватели - всего (сумма строк 8-11) / 7.0"	894.0	700.0	280.0	217.0	3.0	0.0	0.0	0.0	10.0	842.0	11.0	570.0	1.0	48.0	983.6
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       в том числе: педагоги-организаторы / 15.0	26.0	20.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	16.0	7.0	14.0	0.0	10.0	25.5
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       заместители директора (начальника) / 4.0	58.0	44.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	37.0	1.0	1.0	0.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       из них: 
       директор (начальник) / 3.0"	15.0	10.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	15.0	0.0	10.0	0.0	0.0	0.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       мастера производственного обучения / 12.0	121.0	54.0	16.0	22.0	0.0	0.0	0.0	0.0	0.0	58.0	4.0	17.0	14.0	46.0	121.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       методисты / 18.0	44.0	41.0	6.0	3.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	29.0	0.0	1.0	43.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       педагоги-психологи / 14.0	24.0	23.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	20.0	0.0	1.0	23.5
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       преподаватели-организаторы (основ безопасности 
       жизнедеятельности, допризывной подготовки) / 16.0"	11.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	9.0	0.0	4.0	0.0	2.0	11.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       прочие / 20.0	92.0	72.0	4.0	13.0	0.0	0.0	0.0	0.0	0.0	48.0	12.0	27.0	9.0	30.0	92.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       руководители физического воспитания / 17.0	5.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	0.0	4.0	0.0	0.0	5.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       руководитель филиала / 5.0	5.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	3.0	0.0	0.0	0.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       социальные педагоги / 13.0	37.0	30.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	27.0	4.0	21.0	0.0	10.0	37.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       тьюторы / 19.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    в том числе: 
    руководящие работники - всего / 2.0"	177.0	139.0	16.0	5.0	0.0	0.0	0.0	0.0	1.0	171.0	0.0	85.0	3.0	3.0	0.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    обслуживающий персонал / 22.0	734.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	209.0	5.0	26.0	91.0	276.0	0.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    педагогические работники - всего (сумма строк 07,12-20) / 6.0	1256.0	945.0	320.0	262.0	4.0	0.0	0.0	0.0	11.0	1072.0	38.0	708.0	24.0	148.0	1343.6
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    учебно-вспомогательный персонал / 21.0	111.0	91.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	63.0	3.0	19.0	7.0	35.0	0.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 23.0	159.0	129.0	25.0	40.0	0.0	0.0	0.0	0.0	0.0	154.0	2.0	135.0	0.0	3.0	159.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 24.0	655.0	506.0	186.0	141.0	3.0	0.0	0.0	0.0	8.0	604.0	9.0	376.0	0.0	44.0	725.3000000000001
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 25.0	77.0	41.0	11.0	12.0	0.0	0.0	0.0	0.0	0.0	35.0	2.0	13.0	14.0	15.0	77.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 26.0	21.0	7.0	3.0	5.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	1.0	0.0	9.0	21.0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Справка 7. (заполняется за прошлый учебный год): Численность преподавателей, направленных для преподавания в другие профессиональные образовательные организации России / 27.0	0.0														
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Справка 7. (заполняется за прошлый учебный год): Численность преподавателей, направленных для преподавания за рубеж / 28.0	0.0														
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Справка 8.     из них реализующие образовательные программы: подготовки квалифицированных рабочих, служащих / 30.0	126.0														
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Справка 8.     из них реализующие образовательные программы: подготовки специалистов среднего звена / 31.0	323.0														
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Справка 8. Численность преподавателей, использующих в учебном процессе персональные компьютеры / 29.0	473.0														
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Справка 9.    из них преподавателей и мастеров производственного обучения / 33.0	0.0														
